"","Table 1#13# National Income by Sector, Legal Form of Organizatio","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 7, 2013    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/26/2014 1:58:43 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"8","1","      National income","A032RC1",899.5,940.1,1017,1123,1257,1350.8,1451.1,1614.8,1798.7,2029.9,2248.2,2426.8,2722.1,2840.4,3060.5,3444,3684.2,3848.2,4119.2,4493.4,4782.2,5036.1,5186.1,5499.7,5754.8,6140.2,6479.5,6899.4,7380.4,7857.3,8324.4,8907,9184.6,9436.8,9865.1,10541.9,11240.8,12005.6,12322.3,12430.8,12124.5,12739.5,13395.7,13971.6
"9","2","Domestic business","A368RC1",705,726.7,781.2,865.6,976.8,1045.7,1119.5,1256.1,1410.5,1604.4,1775.5,1901.8,2143,2204.4,2375.1,2705.1,2901,3018.1,3225.6,3515.6,3723.6,3879.4,3956.1,4191.4,4380.2,4707.6,4976.8,5335.2,5751.6,6145.7,6499.3,6954.5,7098,7224.9,7517.4,8053.8,8641.1,9318.1,9464.8,9349.3,8949.6,9434.4,9984.6,10513.7
"10","3","  Corporate business","A441RC1",535.1,550.5,593.5,659.7,738.5,793.9,852.4,962.7,1092.5,1248.3,1381.7,1490.7,1690.3,1746.2,1887.1,2132.1,2279,2362.6,2531.6,2751.9,2901.8,3022,3083.2,3254.3,3407.1,3668.9,3890.3,4150.4,4479.6,4766.5,5040.9,5382.8,5331.1,5398.3,5602.8,5985,6432.4,6897.7,6991.6,6835,6565.3,6974.9,7330.2,7724
"11","4","    Compensation of employees","A442RC1",377.5,398,421.7,468.2,526.1,577.3,607.8,682.8,771.7,884.7,1004.4,1102,1220.6,1275.1,1353,1501.1,1615.9,1723.4,1847.6,2002.3,2119.3,2234.9,2277.8,2420.5,2515.7,2649,2787.9,2953.7,3176.6,3447.5,3684.3,4008.9,4015.6,3973.9,4042,4241.5,4444.5,4683.2,4893,4939.7,4610,4714.7,4952.7,5202.9
"12","5","      Wages and salaries","A443RC1",338,356,376.2,414.8,464.6,508.9,528.4,591.2,662.7,756.2,855.6,935.6,1033.4,1073.1,1132.6,1256.8,1351.4,1432.3,1536.6,1666.1,1756.5,1849.3,1875.3,1977.8,2049.1,2160.3,2296.1,2448.2,2650.8,2883.2,3092.4,3363.8,3354.2,3296.7,3337,3503.6,3665.6,3886.1,4068.8,4106.4,3816.7,3903.3,4107.4,4331.4
"13","6","      Supplements to wages and salaries","A444RC1",39.4,42,45.5,53.4,61.5,68.4,79.4,91.6,109,128.5,148.8,166.4,187.1,202,220.3,244.3,264.5,291.1,311.1,336.3,362.8,385.7,402.5,442.7,466.7,488.7,491.8,505.5,525.7,564.3,591.9,645.1,661.4,677.2,705,737.9,779,797.1,824.2,833.3,793.2,811.4,845.3,871.5
"14","7","    Corporate profits with IVA and CCAdj","A445RC1",91.8,79.1,92.8,107.7,118.5,108.2,124.2,157.8,186.7,215.7,214.4,188.1,217.8,197.3,244.7,301.3,316.4,284.9,318,357.9,347.1,341.1,374.9,402.2,445.1,543.9,610.1,684.1,758.2,701.3,708.2,635,583.6,748.4,889.7,1078.3,1238.7,1390.3,1175.6,878.4,1039.8,1345.4,1441.2,1590.5
"15","8","    Net interest and miscellaneous payments","A453RC1",8.6,12.6,12.8,12.7,15.1,23.4,27.7,23.2,28.1,31.3,37,59.9,83.3,95.9,92.4,107.2,106.7,105.4,107.7,113.3,134.2,127.6,89,71.8,70.8,67.6,70.7,70.4,93.5,134.1,140.5,186.6,170.4,107.7,87.3,39.2,72.9,120.1,172.9,234.5,157.5,129.1,109.9,110.7
"16","9","    Taxes on production and imports less subsidies plus business current transfer payments","W460RC1",57.2,60.7,66.2,71.2,78.9,84.9,92.7,99,106,116.6,125.8,140.6,168.7,177.9,196.9,222.5,239.9,248.9,258.3,278.4,301.2,318.5,341.6,359.9,375.5,408.3,421.6,442.2,451.3,483.6,507.9,552.2,561.4,568.2,583.7,626,676.3,704,750.1,782.4,758,785.6,826.4,819.9
"17","10","  Noncorporate business","W461RC1",169.9,176.2,187.8,205.9,238.3,251.8,267.1,293.3,318,356.1,393.8,411.1,452.7,458.1,488,573.1,622.1,655.5,694,763.7,821.8,857.4,872.9,937.1,973.1,1038.7,1086.5,1184.8,1272,1379.2,1458.4,1571.7,1766.9,1826.6,1914.6,2068.8,2208.7,2420.3,2473.3,2514.3,2384.3,2459.5,2654.4,2789.7
"18","11","    Compensation of employees","W462RC1",63,66.4,68.6,72.2,80.7,87.6,93.9,101.6,109,120.1,133.6,145.4,157.3,165.2,174.4,190.9,205.6,215.2,224.3,237.3,253.2,271.7,279.5,295.7,309.6,325.9,341.7,359.3,381.9,411.6,438.8,476.5,579.1,614,669.5,751.2,821.4,913.7,1004,1024.1,981.7,993.2,1035.2,1079.9
"19","12","      Wages and salaries","W463RC1",57.1,59.7,61,63.8,71,76.8,81.7,88,93.9,104.7,116.5,126.9,137,143.9,150.8,164.4,176.5,184.5,193.8,201.4,212.6,226.8,231.9,244.1,255.3,270.2,284.1,299.9,320.2,345,367.7,399,482.9,510.1,553,617.6,676.3,756.7,835.9,849.5,807.4,818.4,853.1,891.2
"20","13","      Supplements to wages and salaries","W464RC1",5.9,6.6,7.6,8.4,9.7,10.8,12.1,13.7,15.1,15.4,17.1,18.6,20.3,21.4,23.5,26.4,29.1,30.7,30.6,35.9,40.6,44.9,47.5,51.6,54.3,55.7,57.5,59.5,61.7,66.6,71.2,77.5,96.2,103.9,116.5,133.6,145.1,157,168.1,174.7,174.3,174.8,182.1,188.6
"21","14","    Proprietors' income with IVA and CCAdj","A041RC1",77,77.8,83.9,95.1,112.5,112.2,118.2,131,144.5,166,179.4,171.6,179.7,171.2,186.3,228.2,241.1,256.5,286.5,325.8,341.9,354.4,356,402.4,430.5,459.5,484.5,547.4,587.9,644.2,700.4,757.8,836.8,871,900.1,962.1,979,1053.7,979.2,1026.5,973,1032.7,1155.1,1224.9
