"","Table 3#15#3# Real Government Consumption Expenditures and Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"1","[Index numbers, 2009=100]                                                       ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published February 14, 2014 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/26/2014 2:05:18 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"8","1","      Government","B822RA3",48.171,47.189,46.323,46.103,45.954,46.999,48.034,48.285,48.856,50.297,51.232,52.199,52.703,53.674,55.731,57.727,61.637,64.992,66.911,67.812,69.764,72.004,72.865,73.228,72.62,72.693,73.08,73.781,75.169,76.738,79.366,80.872,83.921,87.591,89.485,90.907,91.489,92.884,94.345,96.946,100,100.074,96.868,95.921
"9","2","General public service","W575RA3",31.604,33,35.72,38.312,40.501,44.138,46.981,46.81,48.17,48.325,48.451,48.388,46.119,47.412,49.09,50.002,54.498,58.15,60.654,60.316,62.245,65.683,67.541,69.78,67.857,68.816,70.364,69.18,73.185,77.435,81.294,81.196,85.997,92.025,90.659,92.829,93.304,93.563,93.762,95.075,100,98.637,94.4,95.054
"10","3","National defense","B824RA3",69.292,63.637,57.169,53.224,50.505,50.025,49.537,49.304,49.781,50.184,51.536,53.528,56.867,60.967,65.392,68.822,74.873,80.065,84.125,83.915,83.71,83.925,83.1,79.402,75.391,71.73,68.873,67.804,65.962,64.581,65.579,64.984,67.234,71.967,78.073,82.795,84.427,86.114,88.245,94.9,100,103.203,100.802,97.562
"11","4","Public order and safety","W579RA3",25.848,27.326,29.154,30.692,31.718,33.376,34.723,35.502,35.866,36.698,38.129,38.884,39.561,41.511,41.944,43.323,45.685,48.218,50.288,52.771,56.005,58.601,60.922,62.78,65.604,67.644,70.061,73.116,74.72,77.749,80.78,82.854,86.036,89.708,89.134,89.778,90.592,92.436,95.246,97.999,100,98.118,96.782,97.107
"12","5","Economic affairs","W584RA3",60.914,59.415,59.933,60.604,59.497,58.779,59.95,60.574,62.329,68.114,70.576,71.73,71.705,68.624,70.8,71.827,76.713,78.905,77.388,75.082,78.677,82.956,83.066,86.206,87.07,87.492,86.181,86.461,88.92,89.864,94.101,96.788,99.395,100.479,101.158,99.139,96.308,96.291,96.718,96.753,100,101.8,96.109,95.25
"13","6","  Transportation","W589RA3",61.772,61.696,61.356,61.242,60.213,58.044,57.871,57.419,57.882,62.123,65.665,64.737,60.798,58.842,61.822,67.445,71.173,72.787,73.016,74.649,75.414,79.001,80.38,81.683,84.349,87.17,85.104,85.803,87.903,90.293,94.154,96.868,101.742,105.768,107.496,105.028,101.318,100.265,97.608,97.509,100,99.671,96.485,96.243
"14","7","  Space","W595RA3",90.891,83.632,79.094,75.486,69.529,68.344,67.307,64.549,62.827,60.07,59.872,62.206,63.063,62.023,64.824,64.11,66.354,64.897,69.16,74.886,84.483,94.105,96.826,96.404,95.495,91.067,88.958,91.507,92.929,89.709,87.496,85.537,86.685,91.435,92.227,93.734,92.795,90.26,95.064,98.615,100,97.301,90.797,82.293
"15","8","  Other economic affairs","W596RA3",50.529,48.731,51.903,54.892,55.057,56.716,60.68,63.951,68.637,79.095,80.723,84.654,90.474,85.051,85.724,80.138,87.498,91.598,85.713,74.894,81.183,84.946,82.305,89.271,87.844,85.932,86.019,85.017,88.295,88,94.55,98.405,97.557,92.719,91.601,89.473,87.712,90.161,95.345,94.827,100,107.03,96.566,96.187
