"","Table 6#1C# National Income Without Capital Consumption Adjustme","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Millions of dollars]                                                           ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1987 To 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 07, 2013   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/26/2014 3:13:10 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000"
"19","1","    National income without capital consumption adjustment","A422RC1","4,050,603.0","4,428,085.0","4,724,501.0","5,003,986.0","5,166,287.0","5,479,234.0","5,730,107.0","6,107,624.0","6,443,323.0","6,849,421.0","7,311,275.0","7,776,289.0","8,225,544.0","8,817,473.0"
"20","2","Domestic industries","A423RC1","4,033,115.0","4,405,428.0","4,699,712.0","4,969,294.0","5,134,701.0","5,448,157.0","5,698,109.0","6,083,759.0","6,414,565.0","6,817,639.0","7,287,173.0","7,758,055.0","8,198,413.0","8,780,466.0"
"21","3","  Private industries","A736RC1","3,498,213.0","3,828,319.0","4,076,701.0","4,298,976.0","4,417,399.0","4,684,603.0","4,911,569.0","5,268,826.0","5,574,672.0","5,953,310.0","6,388,001.0","6,818,300.0","7,205,970.0","7,729,442.0"
"22","4","    Agriculture, forestry, and fishing","B424RC1","66,594.0","68,615.0","77,862.0","83,336.0","77,799.0","85,604.0","79,430.0","89,902.0","80,631.0","99,195.0","97,872.0","92,459.0","90,757.0","96,219.0"
"23","5","    Mining","B734RC1","42,996.0","50,693.0","52,753.0","59,187.0","55,855.0","55,229.0","55,277.0","58,303.0","58,145.0","69,607.0","79,130.0","67,348.0","64,314.0","84,400.0"
"24","6","    Construction","B735RC1","201,165.0","218,721.0","222,881.0","231,620.0","218,531.0","220,673.0","234,130.0","260,666.0","279,749.0","306,420.0","332,108.0","369,988.0","417,833.0","457,475.0"
"25","7","    Manufacturing","A426RC1","790,838.0","881,057.0","889,480.0","923,412.0","920,819.0","937,833.0","964,741.0","1,039,121.0","1,098,127.0","1,130,855.0","1,199,111.0","1,218,475.0","1,264,814.0","1,330,183.0"
"26","8","      Durable goods","B428RC1","464,121.0","511,065.0","511,193.0","515,810.0","508,949.0","523,349.0","544,839.0","594,036.0","620,390.0","641,721.0","688,780.0","709,726.0","726,115.0","764,347.0"
"27","9","      Nondurable goods","B427RC1","326,716.0","369,995.0","378,287.0","407,603.0","411,872.0","414,482.0","419,902.0","445,084.0","477,740.0","489,134.0","510,332.0","508,749.0","538,698.0","565,835.0"
"28","10","    Transportation and public utilities","A737RC1","320,943.0","348,374.0","359,379.0","384,522.0","403,422.0","419,915.0","443,304.0","476,336.0","492,671.0","511,525.0","518,203.0","542,204.0","563,502.0","591,010.0"
"29","11","      Transportation","B429RC1","127,624.0","139,550.0","138,529.0","147,120.0","155,685.0","162,482.0","173,880.0","188,463.0","196,089.0","205,037.0","224,571.0","242,626.0","255,059.0","269,202.0"
"30","12","      Communications","B430RC1","98,045.0","105,353.0","107,637.0","117,065.0","121,717.0","127,590.0","136,710.0","146,030.0","149,000.0","155,398.0","144,068.0","152,981.0","152,682.0","165,163.0"
"31","13","      Electric, gas, and sanitary services","B431RC1","95,274.0","103,472.0","113,214.0","120,337.0","126,021.0","129,842.0","132,718.0","141,842.0","147,582.0","151,089.0","149,565.0","146,596.0","155,762.0","156,645.0"
