"","Table 2#2B# Wages and Salaries by Industry                      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published May 29, 2014      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/29/2014 9:24:44 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"8","1","    Wages and salaries","A576RC1",4181.6,4458,4825.9,4954.4,4996.4,5138.8,5422.9,5692.9,6058.2,6396,6532.8,6252.2,6377.5,6638.7,6926.8,7137.5
"9","2","Private industries","A132RC1",3480.3,3724.2,4046.1,4132.4,4123.3,4225.5,4470.2,4701.4,5023.3,5307.2,5388.7,5077.1,5186.4,5444.3,5729.4,5942.5
"10","3","  Goods-producing industries","N231RC1",946.2,992.6,1057.3,1044.4,1011.3,1010.5,1053,1100.9,1171.1,1208.8,1201.8,1058,1053.3,1102.1,1154,1188.9
"11","4","    Manufacturing","N552RC1",681,705.8,745,713.4,680.1,674.2,693.6,710.4,737.7,751.7,740.6,661.3,674.1,707.1,735.4,747.4
"12","5","  Services-producing industries","N233RC1",2534.1,2731.7,2988.8,3088.1,3112,3215,3417.2,3600.5,3852.2,4098.4,4186.9,4019.1,4133.1,4342.2,4575.4,4753.6
"13","6","    Trade, transportation, and utilities","N234RC1",724.7,772.5,831,846.7,846.8,863.1,905.1,943.2,994,1042.2,1045.3,984.6,998.9,1046.2,1093.7,1127.7
"14","7","    Other services-producing industries \1\","N235RC1",1809.5,1959.2,2157.8,2241.4,2265.2,2351.9,2512.1,2657.3,2858.1,3056.2,3141.6,3034.5,3134.2,3296,3481.7,3625.9
"15","8","Government","B202RC1",701.3,733.8,779.8,822,873.2,913.3,952.7,991.5,1035,1088.8,1144.1,1175.1,1191.1,1194.4,1197.3,1195
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","1. Other services-producing industries consists of information; finance and insurance; real estate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","and rental and leasing; professional, scientific, and technical services; management of companies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","and enterprises, administrative and support and waste management and remediation services;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","educational services; health care and social assistance; arts, entertainment, and recreation;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","accommodation and food services; and other services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Note. Estimates in this table are based on the 2002 North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
