"","Table 5#9#5B# Gross Government Fixed Investment by Type         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1997 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 07, 2013   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/28/2014 5:21:13 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"8","1","      Gross government fixed investment \1\","A782RC1",329.5,341.4,368.5,390.3,413.6,443.6,465.3,488.5,513.6,552.3,592.2,634.6,647,651.8,632.6,619
"9","2","        Federal","A787RC1",143.7,147.7,154.9,157.4,163.8,180.3,196.4,211,222.9,238,251.4,275.8,284,300,295.4,284
"10","3","          National defense","A788RC1",79,79.2,81.5,83.4,87.7,98.7,111,123.4,132.3,142.1,152.7,171.3,175,179.6,173,165.1
"11","4","          Nondefense","A798RC1",64.7,68.4,73.4,74,76.2,81.5,85.4,87.6,90.5,96,98.8,104.4,109,120.4,122.4,118.9
"12","5","        State and local","A799RC1",185.8,193.7,213.6,232.9,249.8,263.3,268.9,277.5,290.8,314.3,340.8,358.8,363,351.9,337.2,334.9
"13","6","Structures \2\","A760RC1",155.6,160.2,175.8,189.7,205.8,221.9,228.6,235.7,246.8,268.5,292.5,310.3,318.9,313.2,295.8,285.3
"14","7","  Federal","A801RC1",16,16.6,16.1,13.8,13.5,16.1,17.4,16.6,15.2,17.2,21.4,25.1,29.1,32.6,30,22.7
"15","8","    National defense","A808RC1",6.1,5.8,5.4,5.4,5.3,6.1,7.1,6.9,7.2,7.8,10,13.7,17.1,16.7,13.4,8.4
"16","9","      New","A814RC1",6.1,5.8,5.4,5.4,5.3,6.1,7.1,6.9,7.2,7.8,10,13.7,17.1,16.7,13.4,8.4
"17","10","        Residential","B816RC1",1.4,1.3,1.2,1.1,1.2,1.2,1.4,1.3,1.6,1.5,1.7,1.8,1.2,1.6,1.4,1
"18","11","        Industrial","B817RC1",0.5,0.2,0.2,0.3,0.4,0.6,0.6,0.4,0.3,0.3,0.4,0.6,0.8,0.7,0.7,0.6
"19","12","        Military facilities \3\","B818RC1",4.2,4.3,4,4,3.7,4.3,5.1,5.2,5.2,6,8,11.3,15.1,14.4,11.2,6.8
"20","13","      Net purchases of used structures","B819RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","14","    Nondefense","A830RC1",9.9,10.8,10.7,8.4,8.1,10,10.3,9.6,8.1,9.4,11.4,11.4,12,16,16.7,14.2
"22","15","      New","A831RC1",10.2,9.9,9.8,9.5,9.2,9.9,10.5,11.1,10.7,10.7,11.3,10.3,11.7,14.5,17.2,14.7
"23","16","        Residential","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","17","        Office","W182RC1",1.9,1.9,1.8,1.6,1.5,1.4,1.8,2.5,2.3,1.8,2,1.4,1.2,1.6,2.6,2.5
"25","18","        Commercial","W183RC1",0.7,0.8,0.9,0.8,0.7,0.5,0.8,1.4,1.2,1.2,1.2,0.9,0.8,0.7,1.2,1.1
"26","19","        Health care","W184RC1",1.3,1,0.9,0.8,0.7,0.9,0.7,0.7,0.7,0.7,1,0.9,1.8,2.1,2.6,2.5
"27","20","        Educational","W185RC1",0.4,0.3,0.3,0.4,0.5,0.8,0.7,0.8,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.4
