"","Table 1#8#6# Command-Basis Real Gross Domestic Product and Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"1","[Billions of chained (2009) dollars]                                            ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 30, 2014     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/5/2014 11:32:33 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"8","1","Gross domestic product","A191RX1",4712.5,4722,4877.6,5134.3,5424.1,5396,5385.4,5675.4,5937,6267.2,6466.2,6450.4,6617.7,6491.3,6792,7285,7593.8,7860.5,8132.6,8474.5,8786.4,8955,8948.4,9266.6,9521,9905.4,10174.8,10561,11034.9,11525.9,12065.9,12559.7,12682.2,12908.8,13271.1,13773.5,14234.2,14613.8,14873.7,14830.4,14418.7,14783.8,15020.6,15369.2,15710.3
"9","2","Less: Exports of goods and services","A020RX1",169,187,190.3,205.1,243.8,263,261.4,272.8,279.4,308.8,339.4,376,380.6,351.5,342.5,370.4,382.8,412.2,457.1,531.2,592.7,645,687.6,735.3,759.4,826.5,911.5,986,1103.5,1129.3,1159.1,1258.4,1184.9,1164.5,1185,1300.6,1381.9,1506.8,1646.4,1740.8,1587.7,1776.6,1898.3,1960.1,2019.8
"10","3","Plus: Imports of goods and services","A021RX1",243.2,253.6,267.1,297.2,311,303.9,270.1,323,358.3,389.3,395.8,369.5,379.3,374.5,421.7,524.4,558.4,606.1,642,667.2,696.6,721.5,720.4,771,837.6,937.5,1012.5,1100.6,1248.8,1394.8,1536.2,1736.2,1687,1748.8,1826.9,2035.3,2164.2,2301,2359,2298.6,1983.2,2235.4,2357.7,2412.6,2440.3
"11","4","Equals: Gross domestic purchases","A712RX1",4821.8,4815.7,4983.7,5255.4,5509.2,5440.6,5383.1,5732.8,6036.4,6365.7,6524.8,6403.9,6578.8,6492,6876.6,7473.8,7811.2,8100.3,8359.3,8634.9,8903.2,9036,8974.1,9295.3,9600.8,10023.2,10280.2,10681.6,11188.6,11807.1,12462.1,13057.9,13208.5,13518.4,13938.5,14531.7,15040.3,15431.6,15606.8,15399.9,14814.2,15244.9,15483.9,15824.6,16131
"12","5","Plus: Exports of goods and services, command basis \1\","C020RX1",245.5,267.9,268.5,289.2,368,444.2,445.8,455.5,455.6,498.9,565,624.5,621.8,545.9,515.8,545,530.5,550.2,606.7,716,781.7,823.2,860.8,895.2,905.4,976.4,1077.7,1130.7,1225.1,1216.2,1246.5,1343.4,1233.9,1188.4,1206.9,1331.6,1425,1557.6,1709.6,1837.5,1587.7,1824.5,2025.9,2075.1,2112.1
"13","6","Less: Imports of goods and services, command basis \1\","C021RX1",238.7,250.2,265.9,302.9,352.1,447.1,394.4,460.5,521.6,566.6,620.4,653.5,647.3,584.4,612,730.1,730,776.2,848.1,892.2,916.1,939.3,902.2,944.3,995.5,1101.7,1196.7,1256.3,1356.1,1423.8,1569,1803.7,1677,1693.9,1791.2,2029.4,2210.2,2371,2447.5,2558.8,1983.2,2329.4,2583.8,2612.5,2586.6
"14","7","Equals: Command-basis gross domestic product \1,2\","C191RX1",4822.3,4827.4,4979.9,5234.9,5518.1,5432.4,5427.8,5720.6,5963.7,6291,6462.5,6366.4,6541.2,6448.1,6775.3,7282.8,7605.7,7867.2,8119,8459.5,8769.5,8919.5,8933.4,9246.8,9511,9898.7,10161.7,10556.9,11057.5,11599.3,12139.7,12597.2,12765.2,13012.7,13354.1,13834.1,14255.4,14618.6,14868.4,14682.8,14418.7,14739.3,14925.4,15286,15655.6
"15","8","Plus: Income receipts from the rest of the world, command basis \1\","C645RX1",55.7,57.6,59.8,66.4,90.9,104.6,90.1,98.6,106.4,123.5,167.7,175.9,187.5,194.7,189.7,219.6,197.1,190.8,205.5,245,275.4,281.7,243.6,215,215.1,249.9,304.7,321.1,359.7,366,403.9,468.7,391,374.4,413.1,508.8,626.9,764.1,899.3,854.8,648.9,709.2,762.4,750.8,756.6
"16","9","Less: Income payments to the rest of the world, command basis \1\","C655RX1",26.8,28.9,27.4,31.5,42.2,50.2,48.3,47.3,48.3,65.9,89.3,99.9,120.4,124.3,120.7,154.2,152.7,161.7,176.4,208.5,237,229.9,197.9,171.1,170.9,217.6,266.6,279.7,328.8,342.7,369.8,423.4,328.7,316.7,335.3,408.3,526.1,692.8,770.3,683.3,497.8,506.3,525.2,535.7,547.2
"17","10","Equals: Command-basis gross national product \1,3\","CB22RX1",4851.2,4856.1,5012.3,5269.8,5566.9,5486.9,5469.6,5772,6021.7,6348.6,6540.8,6442.5,6608.3,6518.5,6844.3,7348.2,7650.1,7896.3,8148.2,8496,8807.9,8971.2,8979.1,9290.7,9555.3,9931,10199.9,10598.3,11088.4,11622.6,12173.8,12642.5,12827.5,13070.3,13432,13934.6,14356.2,14689.9,14997.4,14854.4,14569.8,14942.2,15162.6,15501.1,15865.1
"18",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","11","  Command-basis net domestic product \4\","C362RX1",4385.8,4364.6,4500.5,4739.5,4998.3,4878.7,4849.7,5129.7,5350.4,5651.9,5785.1,5642.5,5786.1,5648.5,5953,6433.3,6706.6,6918.3,7119.7,7416.6,7682.4,7786.6,7760.8,8044.8,8272.4,8619,8828.5,9165.4,9595.9,10051.4,10492.6,10846.1,10924.6,11108.5,11392.2,11804,12145.9,12424.1,12593.1,12343.8,12050.4,12357.9,12514.3,12831.5,13150.4
"20","12","  Net domestic product","A362RX1",4276.1,4260.1,4399.4,4640.3,4906,4846.5,4811.2,5088.5,5328.7,5633.6,5795.7,5736.2,5872,5698.9,5975.9,6441.3,6699.7,6916.9,7139.8,7438.2,7705.8,7828.8,7781.6,8070.6,8288.2,8631.7,8847.8,9175.5,9578.5,9982.6,10423.5,10813.4,10845.8,11008,11311.5,11745.4,12127.8,12423.2,12601.8,12492.9,12050.4,12401.1,12607.2,12912.3,13203.2
"21","13","  Command-basis net national product \4\","C027RX1",4415.8,4394.3,4534,4775.7,5048.8,4935.1,4893.1,5183.1,5410.7,5712,5866.8,5721.6,5856,5721.8,6024.8,6501.1,6752.5,6948.3,7149.8,7454.2,7721.9,7839.6,7807.6,8089.6,8317.4,8651.8,8867.4,9207.5,9627.2,10075,10527.1,10891.8,10987.3,11166.5,11470.3,11904.8,12247.1,12495.8,12722.6,12515.7,12201.4,12560.1,12750.5,13045.5,13359.1
"22","14","  Net national product","A027RX1",4314,4297.6,4440.7,4684.6,4964.1,4911.9,4862.9,5149.5,5396.8,5701.6,5885.8,5825.3,5951,5780.9,6056,6518,6754.8,6955.7,7176.8,7482.7,7751.4,7886.7,7831.4,8119,8337.3,8668.9,8890.1,9220.9,9613.3,10009.3,10460.5,10862.2,10911.2,11068.6,11392.3,11849.1,12231.7,12497.7,12733.7,12667.4,12201.4,12588,12827.4,13110.3,13395.3
"23",NA,"  Trade indexes (seasonally adjusted):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","15","    Trading gains index \5\","W368RG3",102.566,102.459,102.33,102.204,101.976,100.887,101.026,101.037,100.675,100.604,100.161,98.939,99.135,99.527,99.939,100.158,100.344,100.284,99.927,99.921,99.907,99.715,99.931,99.887,99.999,100.033,99.976,100.062,100.315,100.747,100.619,100.309,100.675,100.825,100.648,100.452,100.151,100.036,99.967,98.968,100,99.692,99.371,99.466,99.658
"25","16","    Terms of trade index \6\","W369RG3",148.849,145.922,142.556,139.434,134.406,115.742,117.764,118.074,112.932,111.911,107.07,94.678,96.49,100.316,104.633,106.523,106.869,105.064,101.28,101.607,101.089,98.826,100.758,100.188,101.124,101.351,100.859,101.279,103.071,106.356,104.847,102.38,104.512,105.158,103.77,102.589,100.875,100.276,100.068,94.736,100,98.498,97.383,97.763,98.654
"26","17","      Terms of trade, goods \7\","W370RG3",166.467,162.904,159.103,151.705,149.386,126.337,129.563,129.417,122.872,121.831,116.958,101.601,103.036,106.144,109.968,111.691,110.45,109.278,104.641,106.315,104.768,101.903,103.758,102.653,103.226,103.574,103.28,103.23,104.703,107.919,106.359,102.788,105.176,106.264,105.273,104.02,100.952,100.17,100,94.152,100,98.4,97.306,97.153,97.754
"27","18","      Terms of trade, nonpetroleum goods \8\","W371RG3",115.836,112.979,110.671,105.235,104.515,104.902,105.729,106.943,101.157,97.991,100.061,97.089,101.261,102.66,104.396,106.137,104.575,95.432,92.51,91.759,91.823,91.31,91.07,89.688,89.456,89.151,89.479,91.084,92.28,92.768,93.089,93.948,94.67,96.038,96.801,98.091,99,101.311,102.8,102.755,100,102.859,106.76,107.03,107.026
"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","1. Uses gross domestic purchases price index as deflator.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2. This measure is called ""real gross domestic income"" in the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","System of National Accounts, 2008.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","3. This measure is called ""real gross national income"" in the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","System of National Accounts, 2008.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","4. Uses net domestic purchases price index as deflator.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","5. Ratio (multiplied by 100) of price index for gross domestic product",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","to the price index for gross domestic purchases.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","6. Ratio (multiplied by 100) of the price index for exports of goods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","and services to the price index for imports of goods and services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","7. Ratio (multiplied by 100) of the price index for goods exports",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","to the price index for goods imports.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","8. Ratio (multiplied by 100) of the price index for goods exports",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","to the price index for nonpetroleum goods imports.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
