"","Table 3#13# Subsidies                                           ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1960 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2014   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/5/2014 12:56:54 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","    Subsidies","A107RC1",1.1,2,2.3,2.2,2.7,3,3.9,3.8,4.2,4.5
"9","2","Federal","B096RC1",1.1,2,2.3,2.2,2.7,3,3.9,3.8,4.1,4.5
"10","3","  Agricultural","L312041",0.7,1.5,1.7,1.7,2.2,2.5,3.3,3.1,3.5,3.8
"11","4","  Housing","L312051",0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4
"12","5","  Maritime","L312061",0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
"13","6","  Air carriers","L312071",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
"14","7","  Other \1\","L312081",0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1
"15","8","State and local","B114RC1",0,0,0,0,0,0,0,0,0,0
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","1. Consists largely of subsidies to railroads, mass transit systems, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","the Federal Crop Insurance Corporation (FCIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
