"","Table 4#2#4U# Price Indexes for Exports and Imports of Goods and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"1","[Index numbers, 2009=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1999 To 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 29, 2014   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/28/2014 12:37:40 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"8","1","    Exports of goods and services","B020RG3",85.578,87.159,86.649,86.092,87.786,90.845,94.717,97.979,101.107,105.809,100,104.263,110.96,111.94,112.001
"9","2","Exports of goods \1\","B253RG3",86.859,88.365,87.85,87.205,88.991,92.248,95.469,98.828,102.186,107.204,100,105.033,113.048,113.547,113.009
"10","3","  Foods, feeds, and beverages","B638RG3",62.226,61.701,62.016,63.582,69.322,75.897,75.035,77.787,91.399,110.114,100,103.957,122.234,129.893,130.267
"11","4","  Industrial supplies and materials","B639RG3",68.382,73.766,71.654,70.33,75.356,84.073,94.187,103.364,111.183,122.583,100,114.498,134.228,131.255,128.637
"12","5","    Durable goods","B686RG3",72.98,74.773,73.526,73.715,76.974,86.834,94.74,106.597,113.491,115.935,100,111.431,123.349,120.817,117.193
"13","6","    Nondurable goods","B687RG3",65.839,73.212,70.615,68.524,74.383,82.526,93.743,101.474,109.785,126.041,100,116.003,139.527,136.343,134.174
"14","7","  Capital goods, except automotive","B640RG3",103.243,102.929,102.985,101.808,100.562,100.181,100.464,101.173,100.284,99.999,100,100.609,101.432,102.272,102.936
"15","8","    Civilian aircraft, engines, and parts","B688RG3",65.54,68.827,72.755,74.755,77.291,80.014,83.557,86.986,90.909,95.289,100,102.646,106.422,109.411,111.502
"16","9","    Computers, peripherals, and parts","B850RG3",172.871,164.388,159.194,149.346,145.83,143.721,132.615,126.645,117.093,107.284,100,97.41,92.272,92.886,90.582
"17","10","    Other","B689RG3",104.711,104.286,103.862,102.799,100.666,99.679,100.618,101.506,100.484,100.235,100,100.559,101.599,101.999,102.74
"18","11","  Automotive vehicles, engines, and parts","B641RG3",91.586,92.595,93.011,93.484,94.145,94.791,95.967,97.149,98.264,99.305,100,100.477,102.223,104.049,104.615
"19","12","  Consumer goods, except food and automotive","B642RG3",92.472,92.852,92.517,92.046,92.57,93.443,94.482,95.689,97.703,99.784,100,101.086,102.445,103.973,102.849
"20","13","    Durable goods","B690RG3",93.303,93.968,94.061,93.809,94.194,94.52,95.484,96.372,97.373,99.293,100,98.788,100.025,101.867,100.185
