"","Table 2BU# Real Manufacturing and Trade Sales, Seasonally Adjust","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20"
"1","[Millions of chained (2009) dollars]                                                                                                                                                                                                                      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1997 To 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published November 26, 2014 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/25/2014 10:23:31 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"8","1","      Manufacturing and trade industries","KPMT0",853255,894447,944068,971916,959212,988001,1006041,1042696,1087146,1116381,1139005,1093885,991475,1035075,1069068,1100769,1139237
"9","2","Manufacturing industries","KP300",400687,413835,427012,432138,408173,406013,406831,415325,433956,439385,450109,426375,368789,388169,402515,412016,419529
"10","3","  Durable goods manufacturing industries","KP30D0",194973,205146,216292,220149,202979,199654,201517,205808,215982,221762,228576,214918,172159,188688,201097,212536,219111
"11","4","    Wood product manufacturing","KP3210",7765,8032,8388,8268,7787,8034,8022,8238,8807,8922,8129,6996,5425,5673,5711,5886,6318
"12","5","    Nonmetallic mineral product manufacturing","KP3270",9616,10159,10297,10289,9966,9920,10041,10299,10849,11118,11036,9734,7481,7589,7732,7754,7930
"13","6","    Primary metal manufacturing","KP3310",18706,19086,18866,18133,16619,16742,16218,17635,18245,18295,18924,18591,14180,16891,18423,20787,21790
"14","7","    Fabricated metal product manufacturing","KP3320",27861,28819,29056,29901,27999,27178,26902,26829,28372,29819,31067,29896,23448,24498,26297,27032,27291
"15","8","    Machinery manufacturing","KP3330",28766,29443,28771,30043,27217,25883,25902,26694,28774,30080,31252,30367,24024,26429,29728,31583,32333
"16","9","    Computer and electronic product manufacturing","KP3340",23134,25005,27968,31658,27620,23949,24784,26676,28005,29856,31404,31434,26726,28493,29918,30519,29773
"17","10","    Electrical equipment, appliance, and component manufacturing","KP3350",11493,11922,12195,12838,11693,10589,10348,10565,10866,10856,11295,10896,8795,9016,9531,9636,9618
"18","11","    Transportation equipment manufacturing","KP3360",53490,56959,62831,58799,55240,58734,60091,59223,61330,61621,65002,57064,45049,52836,56218,61262,65290
"19","12","      Motor vehicle and parts manufacturing","KP3MV0",36362,37970,43082,40568,36991,41145,43112,42521,43379,43409,43205,35073,25272,33166,36311,39249,42911
"20","13","      Other transportation equipment manufacturing","KP3OT0",17346,19450,19909,18312,18597,17575,16780,16501,17820,18093,21771,21998,19777,19695,19956,22058,22454
"21","14","    Furniture and related product manufacturing","KP3370",6842,7321,7544,7656,7288,7582,7461,7596,7910,7814,7618,6852,5032,4914,5065,5127,5286
"22","15","    Miscellaneous durable goods manufacturing","KP3390",10129,10614,10859,11366,11273,12015,12213,12242,13052,13522,13016,12993,11999,12250,12285,12454,12786
"23","16","  Nondurable goods manufacturing industries","KP30N0",208573,210262,210730,211638,206031,207712,206376,210587,218997,218522,222439,212235,196630,199767,202339,201513,202939
"24","17","    Food manufacturing","KP3110",45824,47470,47663,47960,48217,49293,50052,49523,50977,51286,52092,52291,52316,51837,51694,51033,51773
"25","18","    Beverage and tobacco product manufacturing","KP3120",13187,13168,12123,12090,12071,10465,10983,11233,11821,11650,11673,10911,10666,10698,10723,10741,10687
"26","19","    Textile mills","KP3130",5223,5128,5005,4797,4249,4319,4055,3830,3843,3400,3119,2660,2200,2369,2315,2295,2357
"27","20","    Textile product mills","KP3140",3085,3081,3243,3292,3100,3105,3006,3185,3207,2967,2520,2291,1786,1758,1777,1823,1943
"28","21","    Apparel manufacturing","KP3150",5913,5617,5368,5162,4680,3620,3338,2832,2715,2618,2020,1614,1162,1110,1045,1047,1057
"29","22","    Leather and allied product manufacturing","KP3160",1030,971,921,907,809,539,519,513,547,516,464,431,362,413,445,440,425
"30","23","    Paper manufacturing","KP3220",16623,16767,16981,16656,15699,15825,15463,15477,15474,15340,15581,14830,13486,13711,13711,13454,12899
"31","24","    Printing and related support activities","KP3230",9571,9655,9711,9738,9278,8804,8489,8440,8596,8647,8782,8175,6924,6877,6749,6524,6250
"32","25","    Petroleum and coal product manufacturing","KP3240",37780,37802,38381,37708,38178,39668,36852,39716,43074,41931,42953,41926,41371,39565,39991,41400,42661
"33","26","    Chemical manufacturing","KP3250",51746,51269,51444,53053,51221,54308,55170,58033,60777,62362,65865,60866,52072,56445,58643,56213,55562
"34","27","    Plastics and rubber product manufacturing","KP3260",17166,17751,18570,18835,17874,18324,18285,18458,18844,18911,18575,16954,14285,15312,15598,16050,16280
"35","28","Merchant wholesale industries","KP42W0",227361,243190,262833,276548,278316,286582,292496,309783,324829,338169,346371,338704,308302,323624,334248,346139,362121
"36","29","  Durable goods merchant wholesale industries","KP42WD0",95423,104044,115846,124189,122694,125001,129346,143732,154961,166978,172451,167404,139105,153677,167734,177277,185601
"37","30","    Motor vehicles, parts, and supplies wholesalers","KP42110",14465,15572,17861,18626,19745,21544,22458,24357,25939,28982,29521,26090,20931,24122,26751,30622,31764
"38","31","    Furniture and home furnishings wholesalers","KP42120",4143,4400,4783,5309,5243,5319,5464,5764,5880,6263,6118,5495,4251,4343,4351,4473,4731
"39","32","    Lumber and other construction materials wholesalers","KP42130",6759,7258,7752,7799,8090,8596,9321,10172,11087,11266,10313,9438,7530,7250,7527,7958,8341
"40","33","    Professional and commercial equipment wholesalers","KP42140",7016,9125,11756,12855,13848,15417,16611,18827,21301,23953,27041,28481,27840,31993,35518,36298,37576
"41","34","      Computers and software wholesalers","KP42430",1673,2509,3643,4191,4576,5278,5757,6835,8256,9572,11491,13162,13747,17858,20808,21336,22448
"42","35","      Other professional and commercial equipment wholesalers","KP424X0",8986,9396,9979,10041,10599,11275,11975,12900,13600,14832,15801,15373,14094,14197,14871,15138,15381
"43","36","    Metal and mineral (except petroleum) wholesalers","KP42150",11711,11826,12250,12767,12093,11375,10755,12302,12978,13281,12781,11557,8670,8787,9785,10472,10659
"44","37","    Electrical goods wholesalers","KP42160",14553,15354,17307,20413,18536,18027,19078,22067,23882,26528,29109,29456,25858,29246,31007,33228,35254
"45","38","    Hardware and plumbing and heating equipment wholesalers","KP42170",6917,7213,7481,7767,7357,7449,7797,8507,9232,10186,9989,9129,7475,7820,8176,8555,8992
"46","39","    Machinery, equipment, and supplies wholesalers","KP42180",24438,26371,26587,27321,26080,23843,23819,25897,27629,28943,29371,29742,22526,24524,27807,29764,32818
"47","40","    Miscellaneous durable goods wholesalers","KP42190",15575,14778,15570,16331,15299,15475,15183,16864,17657,17916,18226,17962,14025,15695,16933,16245,15967
"48","41","  Nondurable goods merchant wholesale industries","KP42WN0",137402,143771,150037,154533,158659,165161,166303,167898,171147,172019,174721,172018,169196,170216,167909,170947,178727
"49","42","    Paper and paper products wholesalers","KP42210",7519,7650,8115,7829,7762,7682,7737,8229,8416,8172,7968,7323,6773,6708,6628,6715,6801
"50","43","    Drugs and druggists' sundries wholesalers","KP42220",12624,13927,16372,18755,22198,25579,27737,28990,30913,31751,31718,31796,31367,31421,32353,31438,31939
"51","44","    Apparel, piece goods, and notions wholesalers","KP42230",7198,7385,7728,8262,8490,9187,9280,9801,10461,11012,11869,11403,10287,10970,10821,10795,10791
"52","45","    Grocery and related products wholesalers","KP42240",36068,37307,38569,40446,39631,40722,41297,39488,40358,40951,41747,40472,40026,40063,40177,41322,42616
"53","46","    Farm product raw material wholesalers","KP42250",13480,13062,13619,13534,13359,13100,12495,12433,12607,12507,12333,12851,13701,13534,12102,12478,13713
"54","47","    Chemical and allied products wholesalers","KP42260",7482,7613,7843,8031,8225,8721,8579,8779,9140,8705,9000,8758,7417,7790,7617,8086,8404
"55","48","    Petroleum and petroleum products wholesalers","KP42270",30957,36131,35391,31902,34772,36618,34792,34183,32843,32276,33115,33350,33560,33639,32687,33454,36186
"56","49","    Beer, wine, and distilled alcoholic beverages wholesalers","KP42280",6173,6526,7039,7273,7382,7711,7958,8105,8341,8812,9270,9396,9067,9060,9244,9505,9546
"57","50","    Miscellaneous nondurable goods wholesalers","KP42290",18752,19270,19132,20157,19075,18029,17639,18889,18900,18663,18367,16967,17000,17057,16854,17464,18084
"58","51","Retail trade industries","KP440",238228,252185,270578,280746,287978,296082,307533,319919,332016,342804,347456,332651,314385,324901,335128,346730,362818
"59","52","  Motor vehicle and parts dealers","KP4410",58603,61923,68029,70125,71277,71487,74743,76986,77626,78288,78521,68049,58198,61884,65942,70756,76730
"60","53","  Furniture, furnishings, electronics, and appliance stores","KP44230",7919,8697,9782,10791,11231,12218,13168,14752,16247,17681,18382,17935,16466,17640,18805,20316,21788
"61","54","  Building material and garden equipment and supplies dealers","KP4440",16756,18297,19761,20887,21853,22952,24465,26535,28340,29330,28084,26592,23624,23796,24462,25367,26432
"62","55","  Food and beverage stores","KP4450",48264,48277,49010,48787,49359,48765,48753,48729,49620,50555,50679,49487,48720,49150,49523,49769,50701
"63","56","  Clothing and clothing accessories stores","KP4480",11033,11964,12974,13800,14039,14797,15794,16793,17925,19031,19733,19270,18035,18870,19711,20158,20737
"64","57","  General merchandise stores","KP4520",30428,32324,34955,37006,39293,41321,43628,45669,48472,50387,52043,52494,52005,53914,55268,56604,57846
"65","58","    Department stores","KP45210",18313,18727,19416,19623,19550,19165,18846,18925,19119,18887,18608,17678,16653,16884,16813,16173,15780
"66","59","    Other general merchandise stores","KP45290",11187,12755,14780,16731,19234,21794,24551,26574,29246,31448,33419,34816,35352,37028,38441,40388,42002
"67","60","  Other retail stores","KP44X0",69705,74746,79281,81830,83183,86485,88332,91273,94324,97910,100337,98996,97336,99663,101525,104026,108824
"68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Chained (2009) dollar final sales series are calculated as the product of the chain-type quantity index",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","and the 2009 current-dollar value of the corresponding series, divided by 100.  Because the formula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","for the chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","estimates are usually not additive.  The residual line is the difference between the first line and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
