"","Table 2#4#6U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66"
"1","[Millions of chained (2009) dollars; quarters and months are seasonally adjusted at annual rates];                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1999 To 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published December 23, 2014 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/22/2014 1:08:06 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"9","1","      Personal consumption expenditures","DPCERX0",7618691,7731528,7819273,7934144,8054859,8132194,8211276,8284400,8319403,8340761,8371247,8499132,8524579,8568126,8628043,8674353,8712527,8809507,8939387,9008815,9096415,9155468,9243002,9337837,9409222,9511451,9585233,9621339,9729225,9781025,9838106,9938409,9990657,10024604,10069158,10081798,10060966,10077940,10005097,9884724,9850832,9806377,9865864,9864805,9917689,9998389,10063083,10166127,10217123,10237676,10282234,10316777,10387551,10420180,10470382,10520581,10613655,10660396,10713300,10811431,10844293,10912567,10999543
"10","2","Goods","DGDSRX0",2393599,2449834,2478775,2521287,2559102,2572582,2599387,2621931,2628045,2635071,2653920,2749540,2742596,2753580,2788314,2796217,2811721,2872229,2953462,2980393,3012806,3029450,3066039,3099389,3136535,3177837,3195493,3198775,3262214,3267844,3294479,3345579,3363481,3376314,3392331,3394925,3348724,3360387,3296562,3185498,3188798,3166888,3222890,3215201,3246978,3288034,3319130,3380462,3404859,3398248,3405495,3438505,3477983,3488971,3516870,3542294,3593656,3605168,3636105,3668962,3678323,3731609,3774513
"11","3","  Durable goods","DDURRX0",664025,695778,712454,720989,761222,747154,759844,765106,777690,777013,785934,851425,840968,849219,874118,862044,864685,904370,944695,956807,972679,982167,1001345,1015506,1026252,1055365,1067330,1038837,1081348,1080152,1095075,1109606,1122037,1138252,1150899,1155460,1122489,1118994,1084703,1006754,1008610,1002566,1050555,1031542,1045163,1076300,1093761,1127409,1141775,1134221,1148617,1181511,1212000,1218770,1242413,1269702,1295721,1309988,1325866,1344507,1354992,1400378,1431539
"12","4","    Motor vehicles and parts","DMOTRX0",320664,343486,344517,334334,362723,336659,342687,343673,353227,347326,351460,404553,375776,377863,401703,377911,377403,393801,406582,400511,402409,401972,407284,410304,401196,414390,416623,367774,382073,381919,388514,388023,390477,396212,393296,391170,371918,355180,337369,298790,307597,308944,342159,309531,306206,319712,325749,341956,342720,324192,325170,343011,351354,351695,359456,369080,374127,373995,375487,380532,385658,402852,413734
"13","5","      New motor vehicles (55)","DNMVRX0",179459,188591,190487,194229,206667,196610,199587,190933,205274,203686,201348,260977,234622,223758,247277,232210,230573,248626,255716,248072,251330,245342,248193,247961,237084,258302,263246,215395,227222,227784,232904,229985,235603,234881,227949,229710,213437,197866,184930,152397,152962,154703,190325,164503,163469,176196,180853,193838,198842,190200,192629,212306,219372,220292,222420,228406,230212,231337,233190,234097,234221,244483,249931
"14","6","        New autos","DNEARX0",86788,92996,93787,97713,102598,98896,96139,92010,95408,91462,87834,110611,96096,93153,98761,91329,93292,91172,92938,90294,94005,91653,90601,95445,94379,99465,102397,94530,99751,99227,101063,97749,97674,97165,90919,97464,94618,98997,83611,66787,61938,63498,89895,69378,63953,67338,70130,73612,79108,76718,72089,80233,90464,88866,89767,91338,90536,88833,90649,92480,85851,88704,90288
"15","7","          New domestic autos","DNDCRX0",57563,60477,60910,61263,68215,64972,62673,58243,63961,58530,56373,76560,63706,61921,66753,60250,60423,60741,61527,59797,61281,58120,58666,60186,61226,65065,66396,59548,65073,61905,63339,58599,61009,60684,55811,61440,59468,60056,50546,41701,37984,39314,60306,44120,40998,43243,44324,47896,52398,50576,46840,54178,59572,58987,60290,60224,62348,60244,60939,61802,57113,58327,61405
