"","Table 7#25# Transactions of Defined Contribution Pension Plans  ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33"
"1","                                                                                ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1984 To 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2014   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/26/2015 5:11:43 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"19","1","Current receipts","Y338RC1","82,633.0","102,166.0","120,450.0","135,838.0","142,084.0","164,218.0","177,695.0","191,090.0","204,301.0","215,444.0","227,742.0","248,387.0","274,743.0","299,654.0","317,632.0","348,113.0","370,079.0","375,699.0","379,486.0","375,851.0","407,695.0","448,530.0","509,034.0","566,607.0","602,433.0","575,105.0","587,822.0","604,856.0","624,685.0","658,984.0"
"20","2","  Output \1\","Y349RC1","373.0","461.0","527.0","572.0","654.0","1,027.0","937.0","1,152.0","1,300.0","1,561.0","1,718.0","1,471.0","1,680.0","2,403.0","3,118.0","2,108.0","2,123.0","2,049.0","1,984.0","1,976.0","2,091.0","2,328.0","2,525.0","2,753.0","2,808.0","3,403.0","4,538.0","4,805.0","4,463.0","5,356.0"
"21","3","  Contributions","Y339RC1","65,408.0","81,358.0","97,180.0","108,797.0","112,406.0","128,350.0","136,962.0","146,411.0","158,014.0","168,358.0","176,839.0","193,066.0","213,977.0","234,682.0","250,844.0","278,723.0","297,594.0","304,456.0","310,938.0","311,811.0","338,018.0","370,123.0","416,863.0","459,121.0","484,799.0","464,128.0","478,054.0","494,683.0","510,623.0","535,712.0"
"22","4","    Claims to benefits","Y347RC1","48,929.0","61,472.0","74,964.0","82,900.0","84,036.0","94,536.0","98,103.0","104,036.0","114,327.0","124,394.0","129,372.0","140,687.0","156,571.0","174,516.0","190,292.0","213,549.0","229,355.0","237,311.0","246,358.0","251,723.0","272,523.0","296,372.0","329,742.0","357,141.0","372,781.0","359,957.0","377,362.0","394,120.0","405,487.0","423,152.0"
"23","5","      Actual employer contributions","Y340RC1","20,411.0","26,679.0","36,745.0","41,327.0","40,159.0","44,948.0","45,999.0","47,828.0","49,190.0","53,379.0","54,876.0","57,632.0","62,004.0","68,968.0","76,110.0","79,584.0","86,639.0","89,352.0","92,724.0","95,106.0","101,136.0","110,614.0","121,083.0","130,626.0","142,631.0","133,105.0","141,391.0","145,645.0","149,525.0","154,743.0"
"24","6","        Private plans","Y934RC1","19,438.0","25,612.0","35,566.0","39,645.0","38,377.0","42,872.0","43,420.0","44,856.0","45,780.0","49,591.0","50,671.0","53,015.0","56,909.0","63,093.0","69,664.0","72,230.0","78,451.0","80,440.0","83,113.0","84,685.0","89,870.0","97,890.0","106,700.0","115,896.0","126,588.0","116,506.0","124,264.0","127,903.0","131,740.0","135,692.0"
