"","Table 6U# Real BEA Retail and Food Service Sales                ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"1","[Millions of chained (2009) dollars]                                                                                                                                                                                                                      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1999 To 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published March 30, 2015    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/27/2015 11:35:36 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"8","1","S1 QN04472AMG       Retail and food services","T060010",3653579,3792300,3884920,3989624,4143265,4307974,4468915,4615874,4680000,4492450,4252161,4388077,4525215,4679071,4877031,5075077
"9","2","S1 QN44ZZZZMG Retail trade","T060020",3246938,3368946,3455730,3552989,3690390,3839028,3984188,4113644,4169476,3991813,3772619,3898812,4021541,4160757,4353818,4535821
"10","3","S1 QN441ZZZMG   Motor vehicle and parts dealers","T060030",816352,841503,855327,857843,896917,923831,931516,939455,942249,816582,698375,742604,791306,849067,920760,995547
"11","4","S4 QN4411ZZMG     Automobile dealers","T060040",687244,706477,722579,721916,752887,771724,774855,781945,785415,672951,573553,618603,664686,719310,787770,856969
"12","5","S4 QN4412ZZMG     Other motor vehicle dealers","T060050",45382,50907,52399,55395,62133,68019,70567,71721,71405,61453,47391,44136,44367,48836,52958,57778
"13","6","S2 QN4413ZZMG     Automotive parts, accessories and tire stores","T060060",84098,84344,79240,79687,80873,83257,85604,85162,84715,82057,77432,79743,81963,80462,79355,79933
"14","7","S1 QN44DZZZMG   Furniture, home furnishings, electronics and appliance stores","T060070",117380,129491,134776,146620,158014,177028,194959,212177,220578,215221,197591,211682,225663,243797,261459,283354
"15","8","S1 QN442ZZZMG     Furniture and home furnishings stores","T060080",84284,91187,92110,96374,100897,108552,114593,118541,117264,105630,91658,96405,100181,106061,111972,118288
"16","9","S4 QN4421ZZMG       Furniture Stores","T060090",46392,50114,50897,52720,53977,58204,61876,63217,62611,56322,49313,52561,54254,56396,57784,61819
"17","10","S4 QN4422ZZMG       Home furnishings stores","T060100",37884,41068,41200,43647,46922,50348,52711,55325,54653,49308,42345,43847,45926,49666,54225,56496
"18","11","S1 QN443ZZZMG     Electronics and appliance stores","T060110",40202,45286,48728,55373,61628,72184,83189,95474,104362,109791,105933,115312,125695,138274,150439,166958
"19","12","S1 QN444ZZZMG   Building material and garden equipment and supplies dealers","T060120",237133,250649,262236,275421,293578,318414,340081,351960,337005,319102,283494,285547,293549,304399,317179,332016
"20","13","S2 QN4441ZZMG     Building material and supplies dealers","T060130",204328,217555,230029,242782,259816,282839,304609,316077,298964,278114,245924,244350,248785,254958,263319,274091
"21","14","S3 QN4442ZZMG     Lawn and garden equipment and supplies stores","T060140",32512,32807,32031,32522,33684,35515,35402,35802,37996,40983,37570,41224,44841,49619,54169,58362
"22","15","S1 QN445ZZZMG   Food and beverage stores","T060150",588124,585439,592306,585185,585039,584743,595437,606654,608153,593839,584643,589802,594271,597227,608409,614657
"23","16","S1 QN4451ZZMG     Grocery stores","T060160",535611,530676,536182,529152,528347,526270,535912,544650,544806,531124,523006,526815,530364,531119,539389,542121
"24","17","S3 QN4452ZZMG     Specialty food stores","T060170",17347,17987,18620,18912,19439,20003,19964,19958,20084,19315,18951,19394,19452,19991,20825,22608
"25","18","S2 QN4453ZZMG     Beer, wine, liquor stores","T060180",35385,36906,37620,37230,37352,38522,39604,42055,43255,43400,42686,43595,44466,46204,48357,50176
"26","19","S1 QN448ZZZMG   Clothing and clothing accessories stores","T060190",155689,165600,168471,177563,189528,201518,215100,228367,236800,231244,216423,226437,236526,241898,248846,254233
"27","20","S2 QN4481ZZMG     Clothing stores","T060200",105085,111844,115642,122284,131487,140654,151556,161568,170161,168188,160435,169011,175901,179611,183299,186113
"28","21","S2 QN4482ZZMG     Shoe stores","T060210",23715,24188,24444,25174,25828,26386,27496,28965,29232,28703,26473,27725,29276,29950,29829,30748
"29","22","S3 QN4483ZZMG     Jewelry, luggage, and leather goods stores","T060220",27738,30520,29007,30726,32782,35022,36449,38184,37531,34373,29514,29717,31347,32316,35575,37166
"30","23","S1 QN452ZZZMG   General merchandise stores","T060230",419462,444075,471513,495850,523539,548029,581662,604639,624516,629930,624061,646968,663212,679248,694156,714288
"31","24","S1 QN4521ZZMG     Department stores","T060240",232988,235470,234597,229975,226151,227105,229423,226641,223298,212141,199840,202604,201759,194081,189365,188298
"32","25","S2 QN4529ZZMG     Other general merchandise stores","T060250",177361,200778,230808,261533,294608,318892,350948,377371,401031,417797,424221,444332,461292,484658,504029,525010
"33","26","S1 QN44EZZZMG   Other retail stores","T060260",951375,981962,998199,1037821,1059987,1095276,1131886,1174923,1204048,1187956,1168032,1195956,1218301,1248316,1305889,1347408
"34","27","S1 QN446ZZZMG     Health and personal care stores","T060270",188722,198559,205660,215408,225479,227707,235534,242735,253556,257194,257260,257986,262444,258309,263336,273129
"35","28","S1 QN447ZZZMG     Gasoline stations","T060280",406449,387527,399592,415384,405164,416190,417941,420046,416448,407530,399356,396298,385139,389310,394975,393712
"36","29","S1 QN451ZZZMG     Sporting goods, hobby, book, and music stores","T060290",70596,74809,76177,77134,78722,81298,83883,87603,89892,89199,86126,87356,88383,90742,94250,94507
"37","30","S4 QN4511ZZMG       Sporting goods, hobby, and musical instrument stores","T060300",43296,46757,48398,49971,52217,54739,57655,62156,65647,66431,65424,67388,70114,74117,77612,78481
"38","31","S4 QN4512ZZMG       Book, periodical, and music Stores","T060310",28651,29204,28734,27909,27051,27011,26564,25619,24301,22781,20702,19973,18285,16641,16655,16055
"39","32","S1 QN453ZZZMG     Miscellaneous store retailers","T060320",106535,108338,104620,104975,107990,111326,116090,123784,127069,119680,108643,112149,116592,118431,124307,128509
"40","33","S3 QN4531ZZMG       Florists","T060330",8528,8575,8038,7656,7193,7099,7496,7719,7659,7118,6113,6205,5870,5844,5085,5468
"41","34","S3 QN4532ZZMG       Office supplies, stationery, and gift stores","T060340",30247,31991,30888,31654,33111,35564,37856,41115,42825,40578,38027,39092,39923,40530,43594,45064
"42","35","S4 QN4533ZZMG       Used merchandise stores","T060350",8464,8885,8744,8958,8998,9191,9451,10720,11405,11462,10823,11779,12796,13992,15444,16277
