"","Table 1#1#6D# Real Gross Domestic Product, Chained (1992) Dollar","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24"
"1","[Millions of chained (1982) dollars]                                            ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1982 To 2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2014   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/28/2015 3:39:17 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002"
"19","1","    Gross domestic product","A191DX1","4,580,824.0","4,793,028.0","5,140,958.0","5,358,870.0","5,547,053.0","5,739,078.0","5,980,347.0","6,200,455.0","6,319,465.0","6,314,783.0","6,539,299.0","6,718,859.0","6,990,142.0","7,180,202.0","7,452,754.0","7,787,161.0","8,133,683.0","8,514,763.0","8,863,201.0","8,949,705.0","9,109,558.0"
"20","2","Personal consumption expenditures","DPCEDX1","2,937,227.0","3,104,673.0","3,268,395.0","3,440,233.0","3,584,713.0","3,705,970.0","3,860,989.0","3,973,673.0","4,055,589.0","4,064,853.0","4,215,656.0","4,362,101.0","4,531,288.0","4,666,815.0","4,829,839.0","5,011,631.0","5,279,622.0","5,559,291.0","5,841,530.0","5,993,063.0","6,147,590.0"
"21","3","  Goods","DGDSDX1","1,120,115.0","1,191,372.0","1,277,221.0","1,344,404.0","1,419,604.0","1,445,159.0","1,498,845.0","1,536,664.0","1,546,189.0","1,515,505.0","1,563,268.0","1,628,205.0","1,714,078.0","1,765,281.0","1,844,324.0","1,932,258.0","2,061,409.0","2,223,799.0","2,338,905.0","2,409,746.0","2,503,305.0"
"22","4","    Durable goods","DDURDX1","294,089.0","336,074.0","384,074.0","422,495.0","463,026.0","472,057.0","499,100.0","510,057.0","507,850.0","480,479.0","508,081.0","546,158.0","589,711.0","612,985.0","658,739.0","712,512.0","798,579.0","901,016.0","978,459.0","1,029,662.0","1,105,236.0"
"23","5","    Nondurable goods","DNDGDX1","834,294.0","861,455.0","897,118.0","924,207.0","957,109.0","973,556.0","999,157.0","1,026,145.0","1,038,119.0","1,035,074.0","1,055,186.0","1,082,020.0","1,124,204.0","1,152,041.0","1,185,332.0","1,220,204.0","1,265,595.0","1,329,442.0","1,371,861.0","1,395,730.0","1,421,557.0"
"24","6","  Services","DSERDX1","1,820,505.0","1,915,281.0","1,989,271.0","2,093,818.0","2,161,247.0","2,258,401.0","2,360,028.0","2,435,092.0","2,508,296.0","2,549,257.0","2,652,388.0","2,734,025.0","2,818,095.0","2,902,434.0","2,987,562.0","3,083,050.0","3,225,025.0","3,349,911.0","3,518,094.0","3,600,823.0","3,668,185.0"
"25","7","Gross private domestic investment","A006DX1","679,072.0","742,449.0","945,073.0","944,471.0","945,964.0","972,848.0","996,866.0","1,037,233.0","1,010,507.0","943,879.0","1,013,010.0","1,094,012.0","1,223,654.0","1,263,205.0","1,373,873.0","1,530,500.0","1,676,595.0","1,817,544.0","1,934,958.0","1,817,605.0","1,806,846.0"
"26","8","  Fixed investment","A007DX1","702,352.0","755,240.0","877,504.0","925,799.0","942,558.0","948,382.0","979,666.0","1,010,733.0","996,170.0","944,927.0","996,683.0","1,073,121.0","1,160,931.0","1,231,890.0","1,341,092.0","1,456,606.0","1,605,603.0","1,747,409.0","1,868,682.0","1,839,473.0","1,775,845.0"
"27","9","    Nonresidential","A008DX1","549,365.0","546,937.0","638,119.0","680,205.0","668,492.0","669,079.0","702,560.0","742,323.0","750,354.0","720,890.0","741,942.0","797,505.0","860,470.0","943,875.0","1,029,777.0","1,140,626.0","1,263,291.0","1,385,856.0","1,512,103.0","1,476,063.0","1,374,748.0"
"28","10","      Structures","B009DX1","210,732.0","187,961.0","214,167.0","229,382.0","204,251.0","198,373.0","199,683.0","203,644.0","206,641.0","183,649.0","172,572.0","172,105.0","175,259.0","186,424.0","196,989.0","211,445.0","222,279.0","222,528.0","239,891.0","236,254.0","194,504.0"
"29","11","      Equipment","Y033DX1","256,784.0","268,703.0","320,825.0","338,446.0","342,327.0","343,566.0","366,226.0","385,616.0","377,619.0","360,302.0","381,699.0","430,169.0","482,873.0","541,252.0","592,802.0","658,739.0","745,182.0","838,064.0","919,668.0","880,098.0","832,486.0"
"30","12","      Intellectual property products","Y001DX1","86,245.0","93,057.0","105,772.0","115,292.0","123,326.0","128,170.0","137,292.0","153,407.0","166,339.0","177,017.0","187,671.0","195,553.0","203,469.0","218,259.0","242,892.0","274,572.0","304,236.0","342,088.0","372,629.0","374,321.0","372,507.0"
"31","13","    Residential","A011DX1","146,598.0","208,145.0","238,863.0","244,337.0","274,643.0","280,047.0","277,573.0","268,590.0","245,778.0","223,877.0","254,741.0","275,587.0","300,312.0","290,143.0","313,840.0","321,447.0","349,226.0","371,144.0","373,587.0","376,946.0","399,777.0"
"32","14","  Change in private inventories","A014DX1","-18,239.0","-7,229.0","71,951.0","23,160.0","7,576.0","30,460.0","19,986.0","27,911.0","15,056.0","-1,648.0","16,328.0","20,210.0","63,281.0","29,010.0","28,400.0","71,186.0","66,303.0","63,333.0","55,590.0","-38,819.0","18,919.0"
"33","15","Net exports of goods and services","A019DX1","-21,718.0","-70,450.0","-135,321.0","-154,139.0","-170,124.0","-162,542.0","-120,593.0","-93,113.0","-69,685.0","-32,020.0","-34,738.0","-71,736.0","-100,479.0","-92,318.0","-104,385.0","-131,648.0","-235,892.0","-332,688.0","-420,430.0","-441,078.0","-512,227.0"
