"","Table 5#4#6U# Real Private Fixed Investment in Structures by Typ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"1","[Millions of chained (2009) dollars; quarters seasonally adjusted at annual rates]                                                                                                                                                                        ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1999 To 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published April 30, 2015    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/29/2015 10:29:47 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"8","1","    Private fixed investment in structures","A349RX0",1112135,1149338,1148469,1110147,1162488,1240972,1304904,1262145,1158306,1028680,822138,740052,750199,851006,899463,941339
"9","2","Nonresidential","B009RX0",494868,533480,525392,432548,415840,414120,421230,451488,509046,540186,438211,366277,374709,423763,421680,456243
"10","3","  Commercial and health care","W001RX0",198951,212280,201994,171074,160270,164235,162792,172637,189879,182833,126687,95195,94697,102790,106295,114506
"11","4","    Office \1\","W031RX0",85651,95577,88064,61027,51381,52026,53451,59626,66140,65507,42849,28778,27420,30863,32988,39553
"12","5","    Health care","W032RX0",30305,30696,29464,33202,34855,35655,35705,36949,39220,41485,39741,34822,33794,36313,34279,31152
"13","6","      Hospitals and special care","C311RX0",22217,22707,22462,25903,26126,25325,25638,28677,30421,31508,31265,28601,27445,28900,26296,23967
"14","7","        Hospitals","W033RX0",15648,16073,17095,20659,21934,21917,22865,25287,27034,27596,27827,25368,23949,24524,22366,19792
"15","8","        Special care","W034RX0",6565,6630,5365,5242,4191,3408,2773,3390,3388,3913,3439,3234,3495,4374,3929,4173
"16","9","      Medical buildings","W035RX0",8090,7991,7004,7301,8731,10331,10068,8272,8799,9977,8476,6220,6349,7413,7983,7185
"17","10","    Multimerchandise shopping","W036RX0",24013,22870,24440,22738,21889,25125,27664,33057,37138,32655,18391,12861,13422,14439,15278,16852
