"","Table 9#5U# Contributions to Percent Change in Real Gross Domest","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"1","                                                                                                                                                                                                                                                          ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1999 To 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 04, 2014   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/29/2015 10:40:24 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"8",NA,"[Percent change at annual rate]:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","    Gross domestic product","A191RL1",4.7,4.1,1,1.8,2.8,3.8,3.3,2.7,1.8,-0.3,-2.8,2.5,1.6,2.3,2.2
"10",NA,"[Percentage points at annual rates]:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2","Final sales of computers, software, and communications","SWSGTY2",1.24,1.09,0.29,-0.14,0.41,0.54,0.41,0.57,0.64,0.37,0.01,0.24,0.39,0.37,0.37
"12","3","  Computers","SWSHTY2",0.4,0.29,0.12,0.03,0.12,0.03,0.1,0.14,0.09,0.09,0.02,-0.02,0.04,0.05,0.05
"13","4","    Personal consumption expenditures","SWSHPY2",0.14,0.1,0.08,0.09,0.08,0.07,0.07,0.07,0.05,0.04,0.03,0.05,0.05,0.05,0.05
"14","5","    Private fixed investment","SWSHBY2",0.36,0.2,0.02,0.04,0.07,0.08,0.07,0.13,0.08,0.03,0,0.05,-0.01,0.02,0
"15","6","    Net exports","SWSNXY2",-0.15,-0.02,0.01,-0.13,-0.04,-0.12,-0.05,-0.09,-0.06,0,-0.01,-0.12,-0.01,-0.03,0
"16","7","      Exports","SWSHXY2",0.07,0.12,-0.06,-0.06,0.02,0.03,0.05,0.03,0.01,0.02,-0.02,0.05,0.05,0,0
"17","8","      Imports","SWSHMY2",-0.22,-0.14,0.07,-0.07,-0.06,-0.15,-0.1,-0.12,-0.07,-0.01,0.01,-0.17,-0.06,-0.03,0
"18","9","    Government","SWSHGY2",0.04,0.01,0,0.02,0.01,0.01,0.01,0.02,0.02,0.01,0,0,0,0,0
"19","10","      Federal","SWSHFY2",0.02,0,0,0.01,0,0,0,0.01,0.01,0.01,0,0,0,0,0
"20","11","      State and local","SWSHSY2",0.02,0.01,0,0.02,0.01,0.01,0.01,0.01,0.01,0,0,0.01,0,0.01,0
"21","12","  Software","SWSSTY2",0.36,0.26,0.01,-0.01,0.15,0.24,0.18,0.15,0.2,0.11,-0.02,0.08,0.11,0.11,0.08
"22","13","    Personal consumption expenditures","SWSSPY2",0.02,0.02,0.01,0.02,0.06,0.07,0.05,0.06,0.07,0,0,0.06,0.01,0.03,0.02
"23","14","    Private fixed investment","SWSSBY2",0.32,0.23,0.01,0,0.11,0.16,0.1,0.07,0.1,0.08,0,-0.02,0.11,0.1,0.05
"24","15","    Net exports","SWSSNY2",0,0.01,-0.02,-0.01,-0.03,0,0.01,0.02,0.03,0.02,-0.02,0.03,-0.02,-0.02,0.01
"25","16","      Exports","SWSSXY2",0.02,0.02,0,0,0,0.01,0.02,0.03,0.04,0.04,-0.01,0.03,0,0,0.01
"26","17","      Imports","SWSSMY2",0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.02,0.02,0.01,0,0.02,0.02,0.01
"27","18","    Government","SWSSGY2",0.02,0.01,0,-0.01,0,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0
"28","19","      Federal","SWSSFY2",0.01,0.01,0,-0.01,0,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0,0
"29","20","      State and local","SWSSSY2",0,0.01,0,0,0,0.01,0,0,0,0,0,0,0,0,0
"30","21","  Communication equipment","SWSCTY2",0.28,0.31,0.06,-0.17,0.1,0.17,0.06,0.19,0.19,0.08,0.02,0.1,0.11,0.13,0.12
"31","22","    Personal consumption expenditures \1\","SWSCPY2",0.15,0.13,0.08,0.09,0.09,0.13,0.13,0.14,0.12,0.09,0.06,0.1,0.1,0.11,0.08
"32","23","    Private fixed investment","SWSCBY2",0.2,0.29,-0.07,-0.19,0.07,0.07,0.03,0.09,0.09,-0.03,-0.08,0.07,0.01,0.06,0.05
"33","24","    Net exports","SWSCNY2",-0.07,-0.13,0.05,-0.07,-0.06,-0.05,-0.11,-0.06,-0.04,0,0.04,-0.08,0.02,-0.03,0
"34","25","      Exports","SWSCXY2",0.02,0.07,-0.03,-0.05,-0.01,0.04,0.01,0.03,0.04,0.03,-0.02,0.04,0.04,0.02,0.02
"35","26","      Imports","SWSCMY2",-0.09,-0.2,0.08,-0.03,-0.05,-0.09,-0.12,-0.09,-0.08,-0.03,0.06,-0.12,-0.02,-0.05,-0.01
"36","27","    Government","SWSCGY2",0.01,0,0,0,0.01,0.01,0.02,0.02,0.02,0.02,0.01,0,-0.02,-0.01,-0.01
"37","28","      Federal \2\","SWSCFY2",0,0,0,0,0,0.01,0.01,0.01,0.01,0.02,0,0,-0.01,-0.01,-0.01
"38","29","      State and local","SWSCSY2",0,0,0,0,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0
"39","30","  Communication services \3\","SWSSVY2",0.19,0.22,0.1,0.02,0.04,0.09,0.06,0.1,0.16,0.09,-0.01,0.08,0.13,0.08,0.12
"40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","1. Video and audio equipment, and telephone and facsimile equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2. Federal defense communications equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","3. Personal consumption expenditures for telecommunication services, cable and satellite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","television and radio services, and internet access.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
