"","Table 3#15#1# Percent Change From Preceding Period in Real Gover","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13"
"1","[Percent]                                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1960 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published September 17, 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/28/2014 2:26:22 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","      Government","A822RL1",0.6,5.3,6.5,2.4,2.5,3.2,8.7,7.9,3.4,0.2
"9","2","General public service","W575RL1",6.6,4.8,5.7,3.9,4.7,8.1,1.3,2.6,8.1,14.2
"10","3","National defense","A824RL1",-0.8,5,6.6,-2.2,-3.1,-1.3,12.9,12.5,1.6,-4.1
"11","4","Public order and safety","W579RL1",5,4.2,1.5,3.8,6.2,4.8,4.4,3.7,9.1,4.3
"12","5","Economic affairs","W584RL1",-3.7,4.7,11.1,11.2,9.1,7.2,2.6,2.2,2.9,0.3
"13","6","  Transportation","W589RL1",2,5.7,3.5,6.3,1.3,3.8,5.1,2.3,3,-0.6
"14","7","  Space","W595RL1",142.1,61.6,80.6,87.8,34.4,20.2,7,-14.2,-8.3,-11
"15","8","  Other economic affairs","W596RL1",-18.5,-4.7,10.9,-7,7.7,2.5,-7.1,20.8,11.9,9.2
"16","9","Housing and community services","W597RL1",1.7,9.5,12.5,-6.6,14.4,2.7,0.8,3.6,10.5,-7.7
"17","10","Health","W598RL1",5.9,5.2,1.6,4.4,6,0.2,7.5,8.6,9.9,5.9
"18","11","Recreation and culture","W599RL1",3.8,8,3.4,7.3,1.8,4.7,3.9,7.2,10,9.3
"19","12","Education","W600RL1",6.2,5.6,3,7.4,7.1,8.1,10.2,5.7,4.1,3.9
"20","13","Income security","W605RL1",-4.4,26,12.9,0.2,0.1,22.8,13,9.6,-5.2,11.1
"21","14","      Federal","A823RL1",-1.7,4.8,8.9,0.2,-0.4,0.8,10.7,10.1,1.5,-2.4
"22","15","General public service","W611RL1",7.9,-0.7,8.3,2.3,-1.7,7.7,-6.6,-10.6,-4.2,17.1
"23","16","National defense","A824RL1",-0.8,5,6.6,-2.2,-3.1,-1.3,12.9,12.5,1.6,-4.1
"24","17","Public order and safety","W615RL1",3.5,1.6,2.5,3.8,-0.4,2.6,2.1,5.7,2.5,13.3
"25","18","Economic affairs","W620RL1",-13.1,1,28.9,16.5,18,9.7,0.7,0.8,3.8,1.8
"26","19","  Transportation","W625RL1",10.8,4.9,2.5,0.6,-1.6,2.9,5,5,0.8,5.6
"27","20","  Space","W631RL1",142.1,61.6,80.6,87.8,34.4,20.2,7,-14.2,-8.3,-11
"28","21","  Other economic affairs","W632RL1",-26.9,-12,19.8,-16.7,5.5,-3.5,-12.4,32.1,22,14.1
"29","22","Housing and community services","W633RL1",72.1,83.1,33.9,25.3,-18,-17.2,28.8,35,-51.1,-1.2
"30","23","Health","W634RL1",6.9,3.8,5.2,2.9,5.3,-6.5,19.3,14.3,15.2,4.1
"31","24","Recreation and culture","W635RL1",29.3,7.1,16.5,13.8,-15.4,13.7,4.4,2.9,13.1,16.4
"32","25","Education","W636RL1",-7.5,10.6,19.7,15.1,9.9,4.4,65.2,9.2,-11.9,-13.7
"33","26","Income security","W640RL1",-14.9,68,23,-8,-17.9,36.7,13.2,6.9,-32.1,7.3
"34","27","      State and local","A829RL1",4.3,6.1,2.9,5.9,6.7,6.6,6.2,5,6,3.5
"35","28","General public service","W646RL1",5.8,8.3,4.2,4.9,8.6,8.3,5.9,9.2,13.2,13.2
"36","29","Public order and safety","W650RL1",5.1,4.4,1.4,3.7,6.7,5,4.6,3.5,9.5,3.7
"37","30","Economic affairs","W655RL1",1.9,6.6,2.3,8,3.2,5.3,4.1,3.2,2.3,-0.8
"38","31","  Transportation","W660RL1",1,5.8,3.6,7,1.6,4,5.1,2,3.3,-1.3
"39","32","  Other economic affairs","W665RL1",6.4,10.4,-3.8,13,11,11.3,-0.3,8.6,-1.7,1.4
"40","33","Housing and community services","W666RL1",0.4,7.2,11.4,-8.7,17.5,4,-0.7,1.4,16.2,-8
"41","34","Health (net)","W671RL1",5.4,5.9,-0.3,5.3,6.4,3.9,1.6,5.4,6.6,7
"42","35","  Gross expenditures","Y650RL1",2.2,4.9,3.8,5,6.9,6.9,5.3,8,10,5.8
"43","36","  Less: Sales to other sectors","Y651RL1",-7.2,1.9,17.1,4.2,8.4,14.6,14.5,13.5,16.7,3.5
"44","37","Recreation and culture","W672RL1",0.2,8.1,1,5.9,5.8,3,3.8,8.1,9.4,7.9
"45","38","Education","W673RL1",6.4,5.6,2.8,7.3,7.1,8.2,9.4,5.6,4.5,4.2
"46","39","  Elementary and secondary","W674RL1",6.7,4.8,2.5,5.8,6.9,7.3,7.5,3.9,3.6,3.2
"47","40","  Higher","W675RL1",4.7,9.9,4.5,15.3,7,10.7,17.1,11.6,8.1,7.6
"48","41","  Libraries and other","W677RL1",5.9,8.8,5.7,12.6,11.6,17.9,19.1,15,7.3,8.9
"49","42","Income security","W678RL1",2,4.6,4.7,8,14.9,14.5,12.8,11.5,12.5,12.6
