"","Table 5#1# Saving and Investment by Sector","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published May 29, 2015      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/28/2015 1:07:45 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"8","1","    Gross saving","A929RC1",233.1,228.2,246.2,277.7,335.3,349.3,348.2,399.5,459.6,548.2,613.8,630.6,745.2,727.9,719.5,884.5,884,867.8,952.2,1080.1,1113.6,1117.6,1157.9,1152.7,1167.8,1299.1,1429.5,1581.3,1783.6,1932.4,2003.1,2119.2,2068.3,1990.4,1990.3,2147.3,2333.4,2646.3,2500.8,2273.9,2072.5,2255.5,2435.6,2825.5,3034.1,3155.6
"9","2","Net saving","W201RC1",108.2,91.4,97.3,116.8,157.2,143.1,110.7,140.3,171.3,223.1,242.7,204.6,260.2,193.6,158.9,290.2,247.3,185.6,224.2,297.7,277.5,230.7,226.8,192.9,164.3,243.6,306.8,405.3,543.6,622.1,602.3,605,464.3,328.4,263.1,315.6,351.4,510.2,236.5,-89.5,-295.8,-126.1,-15.1,295.4,406.8,419.4
"10","3","  Net private saving","W202RC1",109.2,123.2,147.5,157.2,185.3,181.4,213.3,217.3,234.7,269.5,279,285.5,341.9,363.3,362.7,461.6,422.7,377.9,375.3,438.1,426.7,438.1,498.1,563.1,513.3,524.2,579.2,596.3,633.1,604,526.4,438.6,515.1,719.8,787.3,823.2,722.8,776.7,574.9,709.6,1224.9,1439.9,1445,1607.1,1281.1,1224.6
"11","4","    Domestic business","A127RC1",34.2,27.2,37.5,48,53.5,39.7,54.3,70,86.6,102.9,101.4,72.3,89.4,85.6,115.7,149.5,157.5,108.5,123.2,143.3,110.2,102.7,132.2,137.1,145.6,192.8,226.2,251.1,280.9,198.7,223.5,131.4,180.2,314.7,378.6,413.2,484.8,447.1,264.6,167.3,552.9,811.9,733.9,710.9,673,592.1
