"","Table 5#5#6# Real Private Fixed Investment in Equipment by Type,","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"1","[Billions of chained (2009) dollars]                                            ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1999 To 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2014   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/28/2015 1:11:54 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"8","1","      Private fixed investment in equipment","Y032RX1",669.6,734.6,703.4,666,687.5,740.6,811.5,880.8,908.1,845.3,652.6,755.5,857.2,915,957.3
"9","2","Nonresidential equipment","Y033RX1",662.4,726.9,695.7,658,679,731.2,801.6,870.8,898.3,836.1,644.3,746.7,847.9,905.6,947.2
"10","3","  Information processing equipment","Y034RX1",149.5,180.4,178.2,169.9,185.8,204.5,222.2,250.9,279.9,281,256.1,281.4,285.9,295,304
"11","4","    Computers and peripheral equipment \1\","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","5","    Communication equipment","C275RX1",60.1,77.8,72.9,59.2,64.8,71.8,74.6,85.2,96.2,91.5,79.4,90.2,91.8,102.3,110.4
"13","6","    Medical equipment and instruments","W176RX1",32.9,36.2,39.4,44.6,48.7,52.9,61.5,64.4,72.9,73.6,68.3,71.8,73.9,72.3,74.5
"14","7","    Nonmedical instruments","W177RX1",19.8,21,21.8,22.1,20.8,22.5,23.4,24.4,27.1,27,22.2,24.9,26.6,23.9,22.8
"15","8","    Photocopy and related equipment","C285RX1",9.4,9,6.3,4.6,5.4,5.4,5.1,4.5,6.8,7.2,5.7,6.3,7.3,7.4,7.5
"16","9","    Office and accounting equipment","B936RX1",3.7,3.9,4.9,5.3,8.2,8.5,8.7,9.1,4.5,4.9,3.8,3.5,3.2,2.8,2.8
"17","10","  Industrial equipment","A680RX1",182.8,198.5,183.9,171.6,172.2,169.1,183.6,199.1,205.3,195.5,152.1,151.3,183.3,190.3,197.7
"18","11","    Fabricated metal products","C263RX1",16.4,17.1,16.8,14.9,16.3,16.4,17.6,19.8,21.4,22.2,17.5,16.1,18.5,18.5,18.4
"19","12","    Engines and turbines","A668RX1",6.7,8.6,13.1,13.9,12.3,5.9,6.9,8.6,12.7,12.8,9.9,7,10.3,8.8,7.7
"20","13","    Metalworking machinery","C271RX1",33.1,33.8,28.6,25.9,25.6,25.7,27.8,29.1,29.6,28.9,20.7,20.2,25.6,30.5,33
"21","14","    Special industry machinery, n.e.c.","C272RX1",40.6,46.1,40.9,35.9,33.7,32.4,33.9,36,36.4,33.3,25.2,24.5,35,37.5,42.5
"22","15","    General industrial, including materials handling, equipment","C273RX1",58.4,61.9,56.5,55.9,59.4,61.2,67.8,72.2,71,66.6,53.1,56,64.4,66.9,68.5
"23","16","    Electrical transmission, distribution, and industrial apparatus","C276RX1",26.2,29.5,27,24.2,24.4,27.1,29.2,33.1,34.2,31.7,25.7,27.4,29.5,28.1,27.7
"24","17","  Transportation equipment","A681RX1",208.4,204.1,184.9,167.2,154.8,176.5,197.9,212.6,203.6,156.9,70.6,136.9,183,217.6,231.1
"25","18","    Trucks, buses, and truck trailers","C279RX1",103,95.4,77.6,71.9,74.3,94.5,111.9,124.1,106.2,71.4,23.8,64.6,97.2,109.4,121.9
"26","19","      Light trucks (including utility vehicles) \2\","W178RX1",86.7,83.9,73,65.1,69.3,85.6,101.6,114.6,104.7,64.1,4.8,90.6,146.3,164.9,196.1
"27","20","      Other trucks, buses, and truck trailers \2\","W179RX1",42.6,36.5,26,26.1,25.4,34.2,40.4,43.4,32.6,26,19.1,24.3,33.1,37.1,36.8
"28","21","    Autos \2\","C280RX1",49.5,51.7,51.9,52.1,46.8,44.7,49.8,54.2,54.5,40.3,17.3,41,46,64.5,69.7
"29","22","    Aircraft","C281RX1",46.2,47.9,49.8,36.4,25.7,28.4,25.9,23.6,30.2,30,17.7,22.1,27.9,31,30.7
"30","23","    Ships and boats","C282RX1",4.1,4.7,4.2,4.8,5.2,5.7,5.4,4.9,6.3,7.1,5.2,5.2,4.7,5.1,6
"31","24","    Railroad equipment","C283RX1",10.4,9.9,7.5,6.6,6,6.3,7.9,8.9,9.2,9.5,6.5,6.7,10.4,12.3,8.8
"32","25","  Other equipment","A682RX1",166.9,175.8,173.7,172.6,184,198.4,217.2,227.2,225.4,216.7,174.2,188.5,203.2,211.1,222.9
