"","Table 3#11#6# Real National Defense Consumption Expenditures and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"1","[Millions of chained (2009) dollars]                                            ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1999 To 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published June 24, 2015     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/23/2015 2:43:16 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"19","1","    National defense consumption expenditures and gross investment","A824RX1","516,945.0","512,250.0","529,992.0","567,302.0","615,433.0","652,654.0","665,519.0","678,819.0","695,617.0","748,072.0","788,276.0","813,526.0","795,010.0","768,704.0","717,725.0","702,393.0"
"20","2","Consumption expenditures \1\","A997RX1","429,363.0","423,251.0","435,346.0","458,958.0","494,634.0","519,940.0","525,714.0","530,969.0","539,472.0","576,702.0","613,288.0","636,008.0","626,240.0","608,551.0","571,754.0","567,837.0"
"21","3","  Gross output of general government","W085RX1","443,452.0","438,267.0","452,421.0","477,705.0","514,115.0","539,211.0","546,448.0","553,531.0","562,179.0","600,069.0","636,543.0","659,034.0","650,932.0","634,966.0","596,746.0","591,140.0"
"22","4","    Value added","W086RX1","311,574.0","308,082.0","308,061.0","312,194.0","320,837.0","328,327.0","333,825.0","335,732.0","340,320.0","353,963.0","373,452.0","385,426.0","390,964.0","387,817.0","379,049.0","375,203.0"
"23","5","      Compensation of general government employees","B237RX1","194,662.0","193,215.0","194,443.0","199,475.0","206,422.0","210,236.0","210,986.0","207,835.0","207,139.0","214,930.0","228,806.0","236,227.0","238,598.0","233,951.0","225,548.0","220,490.0"
"24","6","        Military","B4080X1","123,335.0","124,398.0","126,911.0","131,560.0","138,758.0","140,344.0","139,504.0","136,252.0","135,186.0","141,166.0","152,002.0","154,446.0","153,839.0","149,793.0","146,024.0","141,376.0"
"25","7","        Civilian","W090RX1","70,892.0","68,537.0","67,388.0","67,863.0","67,718.0","69,927.0","71,506.0","71,630.0","72,021.0","73,800.0","76,804.0","81,767.0","84,705.0","84,085.0","79,502.0","78,977.0"
"26","8","      Consumption of general government fixed capital \2\","B432RX1","116,013.0","114,206.0","113,316.0","112,993.0","114,928.0","118,506.0","123,056.0","127,946.0","133,180.0","139,030.0","144,646.0","149,198.0","152,384.0","153,911.0","153,561.0","154,778.0"
"27","9","    Intermediate goods and services purchased \3\","W087RX1","134,815.0","133,103.0","146,356.0","166,547.0","193,663.0","211,044.0","212,809.0","217,953.0","222,010.0","246,130.0","263,091.0","273,609.0","260,071.0","247,401.0","218,320.0","216,470.0"
"28","10","      Durable goods","A998RX1","24,289.0","24,048.0","24,217.0","25,214.0","27,698.0","30,640.0","30,876.0","33,614.0","36,916.0","43,154.0","45,807.0","46,947.0","44,596.0","43,291.0","37,722.0","34,048.0"
"29","11","        Aircraft","B999RX1","11,646.0","10,840.0","10,694.0","10,729.0","12,102.0","12,609.0","11,134.0","11,203.0","11,622.0","12,914.0","14,680.0","16,129.0","17,945.0","19,152.0","17,606.0","15,848.0"
"30","12","        Missiles","B277RX1","2,563.0","2,814.0","2,987.0","2,774.0","2,642.0","2,851.0","3,526.0","4,261.0","4,612.0","4,723.0","4,525.0","4,472.0","3,615.0","3,295.0","3,182.0","3,242.0"
"31","13","        Ships","B278RX1","1,399.0","1,530.0","1,413.0","1,484.0","1,463.0","1,602.0","1,507.0","1,496.0","1,192.0","824.0","720.0","782.0","715.0","720.0","716.0","642.0"
"32","14","        Vehicles","B288RX1","910.0","754.0","816.0","794.0","812.0","847.0","1,195.0","1,786.0","2,461.0","3,149.0","3,510.0","3,457.0","2,895.0","2,405.0","1,582.0","1,338.0"
"33","15","        Electronics","B388RX1","2,520.0","2,797.0","2,894.0","3,231.0","3,793.0","4,468.0","5,479.0","6,393.0","7,839.0","10,844.0","11,283.0","11,077.0","8,870.0","7,681.0","6,050.0","4,825.0"
"34","16","        Other durable goods","B389RX1","5,400.0","5,419.0","5,512.0","6,265.0","6,915.0","8,288.0","8,059.0","8,513.0","9,218.0","10,699.0","11,089.0","11,032.0","10,560.0","10,051.0","8,606.0","8,152.0"
"35","17","      Nondurable goods","A725RX1","14,978.0","15,714.0","16,163.0","18,463.0","19,992.0","22,739.0","22,890.0","22,378.0","22,630.0","23,366.0","24,449.0","23,572.0","24,147.0","23,078.0","19,814.0","19,101.0"
"36","18","        Petroleum products","B780RX1","8,492.0","7,838.0","9,161.0","10,556.0","10,236.0","10,796.0","10,514.0","10,399.0","10,289.0","10,390.0","10,459.0","10,600.0","10,941.0","10,384.0","8,124.0","7,753.0"
