"","Table 6#16A# Corporate Profits by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1947",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 06, 2015   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/13/2015 8:40:10 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947
"8","1","    Corporate profits with inventory valuation and capital consumption adjustments","A051RC1",10.8,7.5,3,-0.2,-0.2,2.5,4,6.2,7.1,5,6.6,9.9,15.7,20.8,24.9,25,20.5,18.2,24.2
"9","2","Domestic industries","A445RC1",10.6,7.4,3,-0.2,-0.2,2.5,3.9,6.1,6.8,4.7,6.3,9.6,15.3,20.4,24.5,24.5,20.1,17.6,23.2
"10","3","  Financial","A587RC1",1.6,0.7,0.5,0.6,0.8,0.5,0.5,0.9,0.8,0.9,0.9,1.1,1.2,1.2,1.3,1.6,1.6,2,1.7
"11","4","  Nonfinancial","A463RC1",9,6.7,2.4,-0.8,-1,1.9,3.3,5.3,6,3.8,5.4,8.5,14.2,19.2,23.2,23,18.5,15.5,21.4
"12","5","Rest of the world","B394RC1",0.2,0.1,0,0,0,0.1,0.2,0.1,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.3,0.7,1
"13","6","    Corporate profits with inventory valuation adjustment","A052RC1",11.4,7.8,3,-0.3,-0.3,2.6,4.1,6.4,7.6,5.6,7.1,10.4,16.3,21.3,25.1,24.5,19.8,20.3,26.7
"14","7","Domestic industries","A390RC1",11.1,7.7,3,-0.3,-0.3,2.5,4,6.3,7.3,5.3,6.7,10.2,15.9,20.9,24.7,24.1,19.5,19.6,25.8
"15","8","  Financial","A392RC1",1.7,0.8,0.6,0.7,0.8,0.6,0.6,0.9,0.9,1,1,1.1,1.2,1.4,1.5,1.7,1.8,2.2,1.9
"16","9","    Federal Reserve banks","A397RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1
"17","10","    Other","B398RC1",1.6,0.7,0.6,0.7,0.8,0.6,0.6,0.9,0.9,1,1,1.1,1.2,1.3,1.5,1.7,1.7,2.1,1.9
"18","11","  Nonfinancial","A399RC1",9.5,6.9,2.4,-1,-1.1,2,3.4,5.4,6.5,4.3,5.8,9.1,14.7,19.5,23.2,22.3,17.7,17.4,23.8
"19","12","    Manufacturing","A400RC1",5.4,4,1.4,-0.5,-0.4,1,2.1,3.2,3.8,2.3,3.4,5.6,9.8,12.1,13.9,13.4,9.9,9.4,14
"20","13","      Durable goods","A406RC1",2.6,1.4,0,-1.1,-0.6,0.2,0.9,1.6,1.7,0.7,1.6,3.1,6.5,7.3,8.1,7.4,4.6,2.6,6
"21","14","      Nondurable goods","A401RC1",2.7,2.6,1.5,0.6,0.1,0.8,1.2,1.6,2.2,1.6,1.7,2.5,3.2,4.8,5.8,6,5.3,6.7,8
"22","15","    Transportation and public utilities","A416RC1",1.9,1.2,0.6,0.2,0.1,0.4,0.5,0.7,0.8,0.6,1,1.3,2,3.5,4.4,3.9,2.8,1.9,2.2
"23","16","    Wholesale trade and retail trade and automobile services","A413RC1",1.2,1.1,0.5,-0.1,-0.3,0.6,0.8,1,1.1,0.9,0.8,1.3,1.5,2.4,3.1,3.3,3.4,3.9,4.7
"24","17","    Other","A420RC1",1.1,0.6,-0.1,-0.6,-0.5,-0.1,0.1,0.5,0.7,0.5,0.6,0.8,1.3,1.6,1.8,1.8,1.7,2.3,2.9
"25","18","Rest of the world","B394RC1",0.2,0.1,0,0,0,0.1,0.2,0.1,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.3,0.7,1
"26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Note. Estimates in this table are based on the 1942 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
