"","Table 6#10D# Employer Contributions for Government Social Insura","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20"
"1","[Millions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 06, 2015   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/12/2015 3:40:33 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"8","1","      Employer contributions for government social insurance","B039RC0",307237,323339,345220,357986,366045,382517,408689,428053,447360,461670,471313,458104,469361,493886,514333,527453,547184
"9","2","Domestic industries","B4802C0",307237,323339,345220,357986,366044,382517,408690,428053,447360,461670,471313,458104,469361,493886,514333,527453,547184
"10","3","  Private industries","B4803C0",262637,276574,295929,305651,310543,323725,347134,364072,379897,391701,398303,381338,390721,414719,434777,448310,467351
"11","4","    Agriculture, forestry, fishing, and hunting","N4804C0",2097,2116,2278,2303,2431,2543,2775,2720,2835,3186,3104,2988,2933,2765,3386,3473,3683
"12","5","    Mining","N4805C0",2198,2086,2185,2361,2021,2049,2225,2488,2864,3075,3453,3197,3480,4144,4648,4695,4964
"13","6","    Utilities","N4806C0",2324,2412,2553,2728,2727,2706,2780,2802,2869,2931,3297,3199,3233,3326,3400,3512,3661
"14","7","    Construction","N4807C0",18382,20426,22116,23506,24201,25146,27319,29512,31726,31819,31020,26453,24992,26484,27516,29115,31014
"15","8","    Manufacturing","N4808C0",53732,54605,57225,55936,51176,51755,54350,55156,56076,55273,54764,49637,50887,54205,56263,56917,58186
"16","9","      Durable goods","N4809C0",35687,36487,38491,37191,33662,33926,35965,36779,37672,37023,36515,32339,33270,36057,37744,38070,38894
"17","10","      Nondurable goods","N4810C0",18045,18118,18734,18745,17514,17830,18385,18377,18404,18250,18249,17298,17617,18148,18519,18847,19291
"18","11","    Wholesale trade","N4811C0",17671,18534,19706,19569,19492,20358,21709,22759,23965,24828,25347,23877,24507,26025,27088,27599,28455
"19","12","    Retail trade","N4812C0",24884,26065,27605,28809,29429,30875,33101,34150,34987,35505,35132,33230,34100,35955,37217,37834,39130
"20","13","    Transportation and warehousing","N4813C0",13627,14226,14807,15186,15225,15712,16705,17316,17811,18279,18310,17294,17789,19079,20180,20544,21568
"21","14","    Information","N4814C0",11354,12598,13865,13665,12677,12608,13057,13263,13817,14154,14316,13815,13884,14521,14974,15623,16292
"22","15","    Finance and insurance, real estate, rental, and leasing","N4815C0",21289,22508,24200,26074,27168,28710,30748,32552,33993,35140,35231,33823,34361,36026,37495,38733,40354
"23","16","    Professional, and business services \1\","N4816C0",40332,43910,48952,49984,51732,53987,59115,63915,67967,72062,74271,70994,74486,80640,85233,89305,93989
"24","17","    Educational services, health care, and social assistance","N4828C0",32123,33290,35119,38416,42950,46203,49710,52469,55356,58218,62175,65340,67483,70683,74029,76587,79413
"25","18","    Arts, entertainment, recreation, accommodation, and food services","N4829C0",13695,14420,15325,16303,17936,19121,20827,21918,22117,22988,23088,22859,23744,25327,26884,27765,29348
"26","19","    Other services, except government","N4830C0",8931,9379,9993,10811,11378,11953,12711,13053,13514,14241,14796,14631,14841,15540,16465,16609,17295
"27","20","  Government","B4818C0",44600,46765,49291,52335,55501,58792,61556,63981,67463,69969,73010,76766,78640,79167,79556,79143,79833
"28","21","Rest of the world","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","1. Consists of professional, scientific, and technical services; management of companies and enterprises;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","and administrative and waste management services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Note. Estimates in this table are based on the 2002 North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
