"","Table 1#7#3# Real Gross Domestic Product, Real Gross National Pr","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"1","[Index numbers, 2009=100]; Seasonally adjusted                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1947 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 30, 2015     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/13/2015 8:26:20 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1947,1947,1947,1947,1948,1948,1948,1948,1949,1949,1949,1949,1950,1950,1950,1950,1951,1951,1951,1951,1952,1952,1952,1952,1953,1953,1953,1953,1954,1954,1954,1954,1955,1955,1955,1955,1956,1956,1956,1956,1957,1957,1957,1957,1958,1958,1958,1958,1959,1959,1959,1959,1960,1960,1960,1960,1961,1961,1961,1961,1962,1962,1962,1962,1963,1963,1963,1963,1964,1964,1964,1964,1965,1965,1965,1965,1966,1966,1966,1966,1967,1967,1967,1967,1968,1968,1968,1968,1969,1969,1969,1969
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
"9","1","Gross domestic product","A191RA3",13.416,13.401,13.388,13.598,13.798,14.022,14.101,14.116,13.923,13.876,14.029,13.903,14.457,14.894,15.468,15.767,15.983,16.26,16.595,16.632,16.808,16.843,16.965,17.521,17.847,17.987,17.886,17.614,17.533,17.551,17.75,18.096,18.613,18.916,19.17,19.286,19.211,19.37,19.354,19.671,19.797,19.753,19.946,19.741,19.23,19.356,19.804,20.267,20.644,21.146,21.105,21.188,21.66,21.578,21.632,21.37,21.515,21.915,22.281,22.732,23.142,23.391,23.614,23.706,23.969,24.282,24.756,24.933,25.472,25.775,26.125,26.217,26.864,27.231,27.784,28.44,29.142,29.261,29.47,29.722,29.995,30.021,30.281,30.524,31.144,31.67,31.898,32.04,32.538,32.643,32.847,32.704
"10","2","Plus: Income receipts from the rest of the world","B645RA3",2.142,2.216,2.186,2.399,2.533,2.645,2.785,2.682,2.707,2.62,2.579,2.403,2.552,2.683,3.077,3.075,3.034,3.447,3.536,3.691,3.477,3.568,3.525,3.501,3.43,3.585,3.318,3.39,3.551,3.53,3.546,3.891,3.982,4.021,4.075,4.138,4.504,4.431,4.572,4.14,4.701,4.971,4.83,4.06,4.176,4.133,4.079,4.1,4.134,4.193,4.51,4.806,4.853,4.875,4.994,5.136,5.38,5.18,5.323,5.455,5.336,5.741,5.793,6.444,6.238,6.158,6.321,6.532,6.979,6.826,6.973,6.738,7.384,7.599,7.277,6.884,7.07,7.127,7.19,7.468,7.407,7.267,7.731,7.716,8.013,8.315,8.553,8.55,8.93,9.165,9.44,9.623
"11","3","Less: Income payments to the rest of the world","A655RA3",0.816,0.794,0.767,0.902,0.847,0.852,1.005,0.884,1.025,0.995,1.026,1.036,1.081,1.108,1.138,1.154,1.233,1.242,1.219,1.212,1.166,1.252,1.265,1.313,1.291,1.283,1.325,1.393,1.346,1.339,1.32,1.323,1.362,1.477,1.506,1.5,1.516,1.473,1.544,1.55,1.555,1.544,1.581,1.59,1.627,1.516,1.59,1.665,1.738,1.818,1.924,2.041,2.263,2.197,2.166,2.092,2.125,2.136,2.215,2.278,2.17,2.209,2.225,2.25,2.283,2.399,2.504,2.587,2.628,2.688,2.69,2.841,2.86,2.916,2.994,3.08,3.121,3.181,3.394,3.48,3.482,3.478,3.451,3.619,3.834,4.082,4.182,4.229,4.673,5.206,5.832,6.056
"12","4","Equals: Gross national product","B001RA3",13.363,13.352,13.338,13.551,13.756,13.982,14.061,14.076,13.881,13.832,13.981,13.849,14.403,14.84,15.424,15.72,15.93,16.22,16.556,16.599,16.767,16.802,16.921,17.471,17.792,17.937,17.825,17.557,17.483,17.501,17.7,18.056,18.57,18.869,19.122,19.239,19.179,19.335,19.322,19.619,19.766,19.733,19.918,19.685,19.181,19.309,19.748,20.206,20.579,21.077,21.045,21.135,21.598,21.519,21.578,21.326,21.479,21.867,22.233,22.684,23.089,23.35,23.573,23.689,23.941,24.244,24.717,24.898,25.449,25.741,26.094,26.172,26.838,27.209,27.742,28.373,29.076,29.194,29.397,29.656,29.924,29.944,30.221,30.456,31.076,31.601,31.834,31.973,32.467,32.563,32.756,32.614
"13","5","Less: Consumption of fixed capital","A262RA3",8.051,8.115,8.156,8.152,8.133,8.126,8.13,8.147,8.182,8.21,8.247,8.27,8.309,8.359,8.415,8.491,8.572,8.664,8.761,8.868,8.977,9.095,9.22,9.353,9.493,9.63,9.761,9.89,10.026,10.146,10.264,10.376,10.492,10.612,10.727,10.84,10.966,11.088,11.209,11.324,11.445,11.568,11.703,11.848,12.001,12.138,12.261,12.366,12.455,12.545,12.634,12.731,12.826,12.926,13.037,13.158,13.288,13.418,13.549,13.686,13.835,13.978,14.136,14.302,14.472,14.64,14.812,14.99,15.16,15.339,15.531,15.728,15.937,16.16,16.39,16.628,16.882,17.134,17.389,17.646,17.9,18.158,18.41,18.659,18.902,19.155,19.41,19.663,19.931,20.176,20.419,20.652
"14","6","  Private","A024RA3",5.796,5.907,6.024,6.146,6.275,6.395,6.506,6.607,6.698,6.789,6.88,6.971,7.062,7.155,7.248,7.343,7.439,7.527,7.606,7.678,7.74,7.811,7.89,7.978,8.074,8.169,8.262,8.355,8.445,8.539,8.635,8.734,8.835,8.94,9.048,9.158,9.272,9.381,9.486,9.587,9.684,9.791,9.909,10.037,10.178,10.298,10.396,10.473,10.528,10.583,10.637,10.691,10.745,10.809,10.884,10.969,11.065,11.162,11.26,11.359,11.459,11.567,11.684,11.81,11.944,12.08,12.218,12.356,12.495,12.648,12.814,12.995,13.19,13.395,13.611,13.839,14.077,14.312,14.544,14.771,14.994,15.215,15.433,15.65,15.863,16.086,16.319,16.562,16.814,17.058,17.294,17.522
"15","7","  Government","A264RA3",19.376,19.215,18.883,18.253,17.496,16.845,16.313,15.901,15.647,15.349,15.106,14.77,14.536,14.356,14.209,14.185,14.187,14.297,14.481,14.768,15.114,15.479,15.842,16.209,16.581,16.934,17.26,17.58,17.952,18.206,18.438,18.61,18.798,18.994,19.143,19.263,19.451,19.635,19.834,20.014,20.263,20.467,20.682,20.905,21.121,21.344,21.59,21.838,22.102,22.379,22.65,22.97,23.279,23.57,23.869,24.17,24.473,24.776,25.075,25.406,25.814,26.134,26.503,26.871,27.22,27.551,27.902,28.279,28.602,28.913,29.234,29.507,29.788,30.095,30.391,30.674,31.001,31.333,31.708,32.111,32.519,32.959,33.378,33.794,34.181,34.581,34.946,35.239,35.581,35.822,36.09,36.341
"16","8","    General government","A265RA3",20.698,20.517,20.13,19.432,18.591,17.865,17.263,16.801,16.511,16.175,15.894,15.517,15.248,15.032,14.848,14.814,14.81,14.924,15.113,15.424,15.792,16.176,16.562,16.961,17.365,17.747,18.1,18.439,18.836,19.109,19.356,19.537,19.734,19.937,20.088,20.21,20.405,20.592,20.802,20.991,21.25,21.458,21.686,21.921,22.145,22.379,22.633,22.894,23.171,23.458,23.746,24.072,24.401,24.694,25.012,25.32,25.639,25.948,26.257,26.607,27.036,27.369,27.754,28.135,28.504,28.853,29.223,29.612,29.95,30.274,30.601,30.88,31.166,31.481,31.79,32.078,32.416,32.755,33.142,33.567,33.987,34.455,34.889,35.319,35.718,36.122,36.502,36.79,37.132,37.373,37.639,37.886
"17","9","    Government enterprises","A266RA3",7.487,7.52,7.732,7.742,7.785,7.835,7.948,8.009,8.083,8.147,8.258,8.306,8.398,8.55,8.756,8.829,8.89,8.97,9.105,9.189,9.337,9.544,9.697,9.778,9.869,9.949,10.035,10.195,10.352,10.437,10.535,10.627,10.741,10.871,11.018,11.118,11.244,11.411,11.507,11.619,11.785,11.95,12.059,12.179,12.326,12.456,12.638,12.77,12.926,13.117,13.238,13.511,13.652,13.936,14.06,14.31,14.474,14.74,14.958,15.118,15.341,15.559,15.789,16.053,16.231,16.405,16.589,16.869,17.064,17.259,17.539,17.781,18.018,18.268,18.458,18.701,18.944,19.217,19.488,19.708,20.02,20.216,20.507,20.811,21.096,21.478,21.719,22.072,22.415,22.672,22.963,23.265
"18","10","Equals: Net national product","A027RA3",14.567,14.538,14.511,14.774,15.032,15.314,15.409,15.423,15.174,15.107,15.282,15.113,15.789,16.319,17.029,17.376,17.617,17.954,18.347,18.373,18.554,18.568,18.684,19.334,19.697,19.842,19.67,19.304,19.179,19.171,19.388,19.802,20.411,20.751,21.037,21.154,21.047,21.209,21.162,21.503,21.655,21.581,21.776,21.448,20.781,20.905,21.42,21.963,22.404,23,22.938,23.025,23.577,23.453,23.498,23.154,23.311,23.76,24.181,24.707,25.171,25.46,25.696,25.798,26.069,26.403,26.946,27.126,27.767,28.084,28.474,28.522,29.295,29.699,30.302,31.025,31.831,31.916,32.104,32.361,32.631,32.594,32.874,33.104,33.811,34.399,34.624,34.735,35.281,35.34,35.519,35.288
"19",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","11","  Net domestic product","A362RA3",14.644,14.61,14.583,14.845,15.096,15.376,15.471,15.486,15.238,15.174,15.354,15.192,15.87,16.4,17.099,17.451,17.699,18.02,18.412,18.431,18.622,18.635,18.755,19.414,19.783,19.922,19.763,19.392,19.256,19.249,19.466,19.868,20.481,20.828,21.115,21.229,21.104,21.27,21.219,21.584,21.71,21.623,21.828,21.534,20.856,20.978,21.504,22.055,22.502,23.105,23.031,23.109,23.673,23.544,23.582,23.225,23.373,23.837,24.259,24.786,25.257,25.53,25.767,25.839,26.124,26.469,27.015,27.189,27.816,28.147,28.534,28.6,29.349,29.749,30.378,31.131,31.939,32.024,32.219,32.469,32.744,32.714,32.973,33.213,33.921,34.51,34.73,34.844,35.395,35.464,35.658,35.424
"21","12","  Net domestic purchases","W367RA3",13.789,13.781,13.756,14.185,14.552,14.951,15.055,15.092,14.721,14.657,14.893,14.859,15.557,16.105,16.928,17.217,17.423,17.624,17.912,17.919,18.144,18.27,18.513,19.235,19.591,19.768,19.573,19.19,19.043,18.995,19.185,19.549,20.171,20.586,20.824,20.967,20.837,20.925,20.846,21.108,21.231,21.191,21.409,21.158,20.616,20.775,21.278,21.879,22.281,22.894,22.795,22.875,23.334,23.133,23.172,22.738,22.889,23.381,23.876,24.385,24.891,25.058,25.39,25.506,25.729,25.939,26.593,26.689,27.217,27.546,27.976,28.029,28.906,29.173,29.905,30.602,31.473,31.52,31.873,32.081,32.345,32.318,32.643,32.919,33.672,34.248,34.465,34.588,35.192,35.213,35.43,35.102
