"","Table 4BU2# Real Manufacturing Inventories, by Stage of Fabricat","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77"
"1","[Millions of chained (2009) dollars];                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1997 To 2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 28, 2015   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/27/2015 11:48:47 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2
"9",NA,"    Work-in-process"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","1","Manufacturing industries","KS30W0",157120,157363,157654,160518,163244,167365,167575,168907,168083,167108,167995,169211,168158,166810,163623,163701,161037,159476,159111,153013,151683,151395,152806,153330,153367,152481,151733,152595,152007,151660,149165,150261,153580,153214,156203,158377,159246,161719,161206,162513,165046,167784,170086,176031,179871,176787,175223,171919,170836,169093,167188,168871,171188,172400,176889,181578,184243,188755,187674,191133,192709,193613,196318,195471,196401,197085,197675,197737,202282,208263,211836,213430,214194,218119
"11","2","  Durable goods industries","KS30DW0",118836,118446,117847,119829,122869,126439,127304,128478,127355,125464,127131,127246,126577,124684,121846,121772,119744,118559,117624,112763,111399,111301,111336,112434,112294,111308,110350,111710,110448,110036,108536,109004,111550,111860,113976,116057,116505,117044,117123,118166,120036,121827,124125,128017,128759,126269,124507,126513,124701,123730,121929,123515,126077,128601,132501,136116,139813,142292,142682,145038,146025,147295,148831,148954,149722,150606,151352,151749,155915,160633,164982,169899,171790,174159
"12","3","    Wood product manufacturing","KS321W0",2018,2031,2103,2078,2193,2130,2129,2204,2227,2230,2287,2349,2467,2449,2398,2375,2218,2161,2586,2253,2306,2352,2314,2319,2338,2331,2318,2333,2400,2371,2468,2483,2632,2509,2441,2591,2580,2502,2524,2452,2377,2403,2318,2289,2094,2064,2043,1892,1754,1633,1650,1573,1602,1633,1650,1669,1683,1691,1672,1698,1686,1695,1712,1697,1752,1775,1806,1898,1909,1951,1934,1962,2086,2167
"13","4","    Nonmetallic mineral product manufacturing","KS327W0",1825,1706,1832,1787,1847,1741,1707,1729,1688,1721,1771,1786,1798,1796,1743,1844,1799,1747,1715,1659,1592,1648,1677,1713,1835,1716,1647,1652,1675,1611,1580,1575,1546,1541,1538,1518,1529,1571,1598,1615,1635,1628,1612,1633,1593,1530,1490,1494,1443,1392,1369,1261,1291,1291,1322,1351,1304,1343,1317,1364,1343,1400,1441,1418,1380,1379,1428,1450,1448,1461,1477,1537,1571,1585
"14","5","    Primary metal manufacturing","KS331W0",10494,10574,10504,10557,10633,10486,10733,10767,10887,11052,11006,11278,11026,11100,11018,10929,10269,9956,9821,9480,9151,9207,9392,9581,9509,9033,8572,8501,8721,8412,8702,8799,9112,9404,9360,9521,9580,9591,9707,9898,10044,10066,9747,10017,10123,10009,9758,9120,8185,7717,8238,7803,8163,8385,8650,8857,8919,9275,9345,9538,9443,9507,9245,9051,9215,9340,9384,9559,9513,9839,10264,10649,10663,10554
"15","6","    Fabricated metal product manufacturing","KS332W0",12167,12440,12425,12684,12637,12864,12728,12617,12538,12371,12547,12779,12919,13098,12953,12804,12758,12624,12721,12241,12197,12464,12415,12445,12292,11984,11884,12122,12195,12112,11694,12017,12341,12417,12746,12841,12979,13258,13423,13670,13701,13960,14268,14282,14353,14000,13298,13639,13215,12630,12286,12339,12342,12355,12463,12557,12672,12753,12929,13279,13262,13374,13412,13510,13579,13831,13920,13965,14247,14315,14314,14387,14624,14569
"16","7","    Machinery manufacturing","KS333W0",16464,16549,16112,16480,16474,16481,16584,16468,16013,15935,15809,15895,16096,16498,16437,17560,16829,16098,15502,14848,14685,14367,14002,14144,13423,13230,13522,13491,13267,13456,13240,13099,13354,13336,13561,13844,13903,14034,14144,14319,14293,14294,14449,14413,14595,13963,14562,14580,14177,13987,13427,13444,13558,13403,14285,14539,14934,15504,15432,16152,16436,16456,16346,16721,16775,16641,17274,17104,17326,18178,17981,18131,18097,17970
"17","8","    Computer and electronic product manufacturing","KS334W0",14526,14746,15139,15632,16138,16179,15532,15456,15571,15677,15521,15277,15657,16791,16567,18072,18593,18168,17082,15558,15804,15463,15866,15383,15605,15811,16166,17362,17273,18222,18697,18649,18776,19216,19771,20442,20193,19827,19185,18970,18691,18041,18257,18720,19361,20077,20748,21591,21568,20971,20656,21312,21165,21581,21744,21632,22245,22670,22592,22579,22506,22189,22561,22264,21839,21619,21476,21492,20994,21061,20777,20905,21534,22209
