"","Table 5#2#5U# Gross and Net Domestic Investment by Major Type","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65"
"1","[Billions of dollars; quarters seasonally adjusted at annual rates];                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 2000 To 2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 28, 2015   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/27/2015 11:30:07 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2
"9","1","      Gross domestic investment","W170RC1",2333.6,2457.7,2447.4,2457.3,2369.2,2388.7,2344,2267.1,2344.4,2365,2375.8,2389,2415.5,2431.6,2520.5,2605.2,2630.4,2747.1,2805.7,2877.4,2973.3,2979.1,3046.6,3163.9,3233.9,3250.7,3240.2,3207.2,3209.8,3262.6,3255.5,3215.9,3138.4,3126,3081.6,2891.7,2614.9,2477.8,2437.8,2570.1,2624.9,2748,2825.1,2812.5,2761.1,2851.8,2865.7,3032.5,3084.4,3157.6,3142.8,3119.7,3169.6,3210.7,3306.2,3342.6,3334.7,3438.8,3508.9,3541.1,3589.2,3640.2
"10","2","      Less: Consumption of fixed capital","A262RC1",1481.2,1508.9,1528.1,1538.7,1570.8,1598.7,1616,1630.4,1640.2,1652.5,1669.3,1686.3,1702,1716.5,1735,1755.4,1783.3,1813.2,1846.1,1884.3,1922,1959.3,2000.9,2045.5,2082.2,2119.1,2152.8,2190,2227.4,2253.7,2276.5,2299.8,2327.7,2353,2379.7,2393,2385.6,2367,2355.2,2365.8,2369.8,2374.9,2382.5,2399.1,2419.4,2442.9,2462.6,2477.7,2501.2,2524.4,2546.5,2564.7,2589.7,2618.3,2645.7,2677.6,2708.3,2732.8,2761.5,2784.2,2792.7,2803.8
"11","3","      Equals: Net domestic investment","W171RC1",852.5,948.8,919.2,918.6,798.4,790,728.1,636.7,704.2,712.5,706.6,702.7,713.6,715.1,785.5,849.8,847.2,933.9,959.6,993.1,1051.3,1019.8,1045.7,1118.4,1151.7,1131.6,1087.4,1017.2,982.3,1009,979,916.1,810.6,773,701.9,498.7,229.3,110.8,82.6,204.3,255.1,373.1,442.6,413.4,341.8,408.9,403.1,554.7,583.1,633.2,596.3,555,580,592.4,660.5,665,626.3,706,747.4,756.9,796.5,836.4
"12","4","Gross private domestic investment","A006RC1",1945.9,2071.8,2055.8,2061.6,1967.5,1967,1937.3,1842.7,1910,1925.6,1927.9,1936.5,1960.2,1970.5,2048.3,2132.8,2155.2,2259.5,2311.3,2380.8,2475.2,2469.5,2527.2,2636.5,2699.7,2697,2684.4,2641.6,2634.2,2671.9,2658.2,2610.6,2527,2493.3,2435.9,2243.1,1972.1,1825.9,1786.4,1928,1989.5,2092.7,2164.6,2156.5,2123.5,2212.7,2228.2,2395.2,2460.8,2534.8,2529.9,2521.3,2578.3,2620.4,2711.5,2749.9,2751.1,2841.6,2910.2,2937.2,2995.9,3026.3
"13","5","Less: Consumption of fixed capital","A024RC1",1208.2,1232.5,1248.7,1256.8,1287,1313.2,1328.9,1341.6,1349.3,1359.6,1374.1,1389,1401.6,1413.2,1428.6,1446,1470.1,1494.4,1520.7,1552,1584.9,1616,1650.8,1689.5,1721.4,1751.1,1779,1808.6,1837.5,1857.5,1874,1891,1911.7,1930.3,1949.6,1955.9,1944.4,1924.8,1912.6,1920.7,1919.7,1918.9,1921.9,1933.6,1947.8,1965.5,1979.8,1991.1,2010.2,2029.1,2047.9,2064.7,2087.6,2113.4,2138.4,2167.1,2195.2,2217.3,2243.1,2264,2271.9,2283.6
"14","6","Equals: Net private domestic investment","A557RC1",737.7,839.2,807,804.7,680.5,653.8,608.4,501,560.7,566,553.8,547.5,558.6,557.3,619.7,686.8,685.1,765.1,790.6,828.8,890.2,853.5,876.4,947,978.3,945.9,905.4,833,796.7,814.5,784.3,719.6,615.3,562.9,486.3,287.2,27.7,-98.9,-126.2,7.3,69.9,173.8,242.6,222.9,175.7,247.2,248.4,404,450.6,505.7,482,456.7,490.7,507,573.1,582.7,555.9,624.3,667,673.2,724,742.8
"15","7","  Fixed investment","A007RC1",1929.8,1981.3,1998.5,2007.2,1998.2,1978.6,1967.5,1923.5,1910.2,1906.5,1902.6,1906.7,1929.2,1970.9,2040.1,2094.4,2106.3,2183.3,2249,2312.7,2375.7,2438.9,2509.3,2546.2,2625.2,2619.7,2607.3,2602.5,2614,2624.8,2609.6,2588.7,2547.2,2517.2,2454.7,2308.3,2117.8,2013.8,1992.3,1978.8,1977.5,2042.6,2043,2094.1,2097.2,2149.6,2243.1,2302.5,2395.3,2445.5,2455.9,2502.9,2541.8,2571.7,2606,2653.5,2708.4,2752.7,2821.8,2848.7,2868.6,2890.2
"16","8","  Less: Consumption of fixed capital","A024RC1",1208.2,1232.5,1248.7,1256.8,1287,1313.2,1328.9,1341.6,1349.3,1359.6,1374.1,1389,1401.6,1413.2,1428.6,1446,1470.1,1494.4,1520.7,1552,1584.9,1616,1650.8,1689.5,1721.4,1751.1,1779,1808.6,1837.5,1857.5,1874,1891,1911.7,1930.3,1949.6,1955.9,1944.4,1924.8,1912.6,1920.7,1919.7,1918.9,1921.9,1933.6,1947.8,1965.5,1979.8,1991.1,2010.2,2029.1,2047.9,2064.7,2087.6,2113.4,2138.4,2167.1,2195.2,2217.3,2243.1,2264,2271.9,2283.6
"17","9","  Equals: Net fixed investment","A560RC1",721.5,748.8,749.8,750.4,711.1,665.4,638.5,581.9,560.9,546.9,528.5,517.7,527.6,557.7,611.5,648.4,636.2,688.8,728.3,760.7,790.7,822.9,858.5,856.8,903.9,868.6,828.3,793.9,776.5,767.4,735.6,697.7,635.5,586.9,505,352.4,173.3,89,79.7,58.1,57.8,123.7,121.1,160.5,149.4,184.1,263.3,311.4,385.1,416.4,408,438.3,454.2,458.3,467.6,486.3,513.2,535.4,578.7,584.7,596.7,606.6
"18","10","    Nonresidential","A008RC1",1445.5,1494.7,1515.5,1519.4,1501.5,1467.6,1445,1401.5,1371.9,1351.6,1343.7,1328.4,1327.8,1359.1,1388.5,1411.5,1400.3,1440.2,1485.6,1526.5,1560.5,1595.2,1633.8,1656.4,1729.4,1761,1793.6,1821.2,1864.7,1907.5,1937.9,1972.3,1981.6,1978.7,1947.3,1856.2,1712.3,1637.5,1600.3,1583.6,1594.4,1641.8,1677.4,1719.3,1722.4,1768.5,1854.5,1902.9,1971.5,2016.2,2011.7,2031.2,2052.1,2064.6,2085.9,2134.5,2181.9,2211.7,2267,2274.1,2280.7,2292.2
"19","11","    Less: Consumption of fixed capital","A753RC1",985.5,1005.4,1017.3,1021.3,1046.1,1066.7,1076.9,1087,1092.5,1098.6,1109.1,1117.5,1122.7,1130.2,1139.8,1149.1,1164.7,1179.9,1196.2,1218.3,1242.5,1264.3,1285.5,1313.3,1336.1,1359.7,1383.1,1408.9,1432.9,1451.3,1466.1,1482.9,1504.5,1526,1550.6,1563.3,1556.6,1541.9,1533.1,1539.4,1539.3,1542.6,1546.7,1557.6,1572.7,1590.5,1605.3,1616.7,1636.8,1654.3,1669.4,1681.4,1697.8,1717.6,1735.6,1755.9,1774,1794.1,1813.5,1829.2,1835.9,1846.3
"20","12","    Equals: Net nonresidential","A593RC1",460,489.4,498.1,498.1,455.3,400.9,368.1,314.5,279.4,253.1,234.6,210.9,205.2,228.9,248.7,262.4,235.6,260.3,289.4,308.3,318.1,330.9,348.3,343.1,393.2,401.2,410.5,412.4,431.8,456.2,471.7,489.4,477.1,452.7,396.7,292.8,155.7,95.6,67.2,44.2,55.1,99.2,130.7,161.7,149.7,178,249.2,286.2,334.7,361.8,342.4,349.9,354.4,347,350.4,378.6,408,417.6,453.5,444.9,444.7,445.9
"21","13","      Structures","B009RC1",298.2,313.5,327.9,333,328.3,335.1,343.2,312.4,298.6,285.3,274.2,273.5,274.8,282.2,283.1,287.2,287,295.2,307.9,317.1,330.8,337.9,348.3,365.6,389,410.8,425.9,436.7,458.1,485.3,512.6,531.7,540.2,553.8,559.3,556.2,508,455.2,412.7,376.9,352.4,364.5,361.1,370.1,343.2,371.3,397.1,415,439.7,455.7,452.8,443.8,438.2,453.9,474.4,481.8,504.9,505.7,505.4,512,499.3,500
"22","14","      Less: Consumption of fixed capital","B188RC1",169.7,172.1,175.2,178.5,182.6,187.1,191.3,193.1,196.3,199.8,202.6,205.6,208.5,209,211.2,214.7,219.7,225.2,232.2,240.3,248.9,256.5,267,279.4,287.8,296.3,302.7,312,316.8,319.5,323.4,328.7,334.6,339,346.7,355.2,351.1,339.7,330.5,329.8,330.6,332.3,334.5,337.6,339,342.1,345.4,348.6,353.3,358.3,360.6,362.8,366,371.1,374.1,378.7,382.1,384.6,388.4,390.8,389.7,387.2
"23","15","      Equals: Net structures","A594RC1",128.4,141.4,152.7,154.5,145.6,148,151.9,119.3,102.3,85.5,71.6,67.9,66.3,73.2,71.8,72.6,67.3,70,75.7,76.9,81.8,81.4,81.4,86.2,101.2,114.6,123.1,124.7,141.2,165.8,189.2,203.1,205.7,214.8,212.7,201,156.9,115.4,82.3,47.2,21.8,32.2,26.6,32.6,4.2,29.2,51.7,66.4,86.3,97.5,92.2,81,72.2,82.8,100.3,103.1,122.8,121,117,121.2,109.6,112.8
"24","16","      Equipment","Y033RC1",749.4,774,774,767,751.7,716,692.4,686,671.4,660.7,658.9,647.5,642.2,660.7,679.6,693.4,680.6,709.6,732,754.6,765,782.6,805.2,810,851.3,852.4,857.3,863.6,876.9,888.2,887.6,890.4,878.9,856.9,822.4,742.4,659,634.4,639.1,644.8,682.7,719,751.2,774.4,798.3,809.7,861.7,883.3,920.4,940.7,935.4,955.2,969.1,968,959.3,992.8,1003.5,1023.2,1065.3,1055,1063.5,1062.2
"25","17","      Less: Consumption of fixed capital","Y080RC1",513.9,521.1,519.6,512.5,527.4,537.7,541.6,545.2,544.6,545.2,547.8,550.4,550.6,552.7,555.8,558.5,564.7,570.7,576,585.5,595,602.6,607.8,616.4,624,633.2,644.5,654.8,665.9,674.8,680.3,686.5,694.4,703.1,712.6,714.2,711,707.3,705.5,705,702.1,700.8,702.5,706,714,722.3,728.9,733.5,741,748.1,755.2,762.6,769.1,776.4,784.6,792.9,799.8,810.2,819.8,829.4,832,839.5
"26","18","      Equals: Net equipment","Y081RC1",235.5,252.8,254.4,254.5,224.2,178.3,150.8,140.7,126.9,115.6,111.1,97.2,91.6,108.1,123.8,134.9,115.9,138.9,156,169,169.9,180,197.4,193.6,227.3,219.2,212.8,208.7,211,213.4,207.3,204,184.5,153.8,109.8,28.2,-52,-72.9,-66.4,-60.3,-19.4,18.3,48.7,68.4,84.3,87.4,132.7,149.8,179.4,192.6,180.2,192.6,200.1,191.6,174.7,199.9,203.7,213.1,245.5,225.6,231.5,222.7
"27","19","      Intellectual property products","Y001RC1",397.9,407.3,413.6,419.4,421.5,416.4,409.4,403.1,401.9,405.6,410.6,407.3,410.8,416.1,425.9,430.9,432.6,435.4,445.7,454.8,464.8,474.7,480.3,480.8,489.1,497.7,510.5,521,529.7,534.1,537.6,550.2,562.5,568,565.5,557.6,545.3,548,548.5,561.9,559.2,558.3,565.1,574.8,580.9,587.5,595.7,604.6,611.4,619.7,623.6,632.3,644.8,642.7,652.2,660,673.6,682.8,696.3,707.2,717.8,730
"28","20","      Less: Consumption of fixed capital","Y083RC1",301.8,312.1,322.5,330.2,336,341.9,344.1,348.6,351.6,353.6,358.7,361.5,363.6,368.5,372.7,376,380.3,384,388,392.5,398.5,405.1,410.7,417.5,424.4,430.3,435.9,442.1,450.2,457,462.4,467.8,475.5,483.9,491.3,493.9,494.5,494.9,497.2,504.6,506.6,509.6,509.7,514.1,519.7,526.1,530.9,534.6,542.4,547.9,553.6,556,562.7,570.1,576.9,584.3,592.1,599.3,605.3,609,614.2,619.7
"29","21","      Equals: Net intellectual property products","Y084RC1",96.1,95.1,91.1,89.2,85.5,74.5,65.3,54.5,50.3,52,51.9,45.8,47.3,47.6,53.2,54.9,52.4,51.5,57.7,62.4,66.3,69.5,69.5,63.3,64.7,67.5,74.6,78.9,79.6,77.1,75.3,82.4,87,84.1,74.2,63.7,50.8,53.1,51.3,57.3,52.6,48.7,55.4,60.7,61.2,61.4,64.8,70,69,71.8,69.9,76.3,82.1,72.6,75.3,75.6,81.4,83.5,91,98.1,103.6,110.4
"30","22","    Residential","A011RC1",484.2,486.6,483.1,487.8,496.7,511,522.4,522.1,538.3,554.8,558.9,578.3,601.4,611.9,651.6,682.9,706,743.1,763.4,786.2,815.1,843.7,875.5,889.9,895.9,858.7,813.7,781.3,749.3,717.3,671.7,616.4,565.5,538.4,507.4,452.1,405.5,376.3,392,395.2,383.1,400.8,365.6,374.7,374.8,381.1,388.6,399.6,423.8,429.4,444.1,471.7,489.6,507.1,520,519,526.4,540.9,554.8,574.6,588,597.9
"31","23","    Less: Consumption of fixed capital","A754RC1",222.7,227.2,231.4,235.5,240.9,246.5,252,254.7,256.9,261.1,265,271.6,279,283.1,288.8,296.9,305.4,314.6,324.5,333.7,342.5,351.7,365.3,376.2,385.2,391.4,395.9,399.8,404.6,406.1,407.8,408.1,407.2,404.3,399,392.5,387.8,383,379.5,381.3,380.3,376.3,375.3,376,375.1,375,374.5,374.4,373.4,374.8,378.5,383.3,389.8,395.8,402.8,411.2,421.2,423.2,429.6,434.8,436,437.2
