"","Table 6#1C# National Income Without Capital Consumption Adjustme","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59"
"1","[Billions of dollars]; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1987 To 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 06, 2015   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 9/24/2015 2:54:44 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1987,1987,1987,1987,1988,1988,1988,1988,1989,1989,1989,1989,1990,1990,1990,1990,1991,1991,1991,1991,1992,1992,1992,1992,1993,1993,1993,1993,1994,1994,1994,1994,1995,1995,1995,1995,1996,1996,1996,1996,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
"9","1","      National income without capital consumption adjustment","A422RC1",3905.9,4004.4,4098.8,4193.3,4284.9,4378.7,4471.3,4577.5,4659.6,4694.4,4750.3,4793.7,4911.2,5000.5,5036,5068.2,5099,5136.4,5185.9,5243.9,5372.9,5456.4,5495.3,5592.2,5597.6,5699.1,5743.2,5880.5,5943.9,6069.1,6156.6,6261,6328.1,6389.3,6486.8,6569.1,6686.8,6810.3,6886.4,7014.2,7129.2,7236.3,7381.5,7498.1,7598.2,7721.2,7847.7,7938.1,8082.1,8149.6,8242.7,8427.9,8675.7,8769,8888.9,8936.2
"10","2","Domestic industries","A423RC1",3891.6,3986.3,4081,4173.6,4259.9,4355.9,4451.1,4554.8,4637.2,4672.8,4726,4762.9,4881.7,4968.9,5008.9,5017.7,5059.5,5107.9,5160.7,5210.7,5340.2,5424.4,5466.1,5561.9,5559.5,5667.7,5706.2,5859.1,5915.6,6045.3,6134.4,6239.8,6297.4,6355.9,6467.1,6537.8,6648.6,6780.3,6859.7,6981.9,7105.2,7204.9,7357.7,7480.9,7572,7697.8,7837.4,7925.1,8060,8122.2,8218.1,8393.3,8645,8735.2,8859.6,8882.1
"11","3","  Private industries","A736RC1",3367.7,3455.1,3543.7,3626.3,3699.8,3782.7,3869.2,3961.6,4030.1,4055.6,4097.2,4123.9,4227,4303,4333.5,4332.4,4355.3,4395,4440.2,4479.1,4590.5,4662.6,4696.2,4789.1,4779.8,4884.7,4916.5,5065.4,5110.7,5231.5,5316.1,5417,5462,5517.7,5626.1,5692.8,5793.9,5919.2,5992.5,6107.6,6218.5,6310.4,6454.4,6568.7,6647.2,6763.5,6892.4,6970.1,7087.3,7137.6,7219,7380.1,7611.6,7687.8,7802.8,7815.6
"12","4","    Agriculture, forestry, and fishing","B424RC1",64.5,65.1,66.9,69.9,74.1,68.6,71.3,60.5,79.6,76.6,75.8,79.5,84.5,83.8,83.6,81.5,77.7,78.6,75.2,79.7,84.4,87.2,87.6,83.2,76.5,82,72.5,86.8,94.6,91.6,88.5,85,77.8,76.4,80.2,88.1,96.9,105.5,95.7,98.7,102.5,93.8,98.6,96.7,92.5,90.9,90.1,96.4,95.6,90.4,88.2,88.8,90.9,97.9,97.9,98.2
"13","5","    Mining","B734RC1",38.1,42.3,43.8,47.9,49.3,50.6,50.9,51.9,51,51.7,53.8,54.4,57.5,60.2,60.2,58.8,57.7,57.3,55.4,53,54.7,54.9,54.7,56.5,54.9,54.4,55.1,56.7,57.7,58.1,59.3,58.2,55.1,57.7,59.7,60.1,65.3,67.6,71.6,74,78.8,79.8,80.2,77.7,70.8,67.9,64.9,65.7,61.2,63.1,64.9,68,76.7,82,87.7,91.1
"14","6","    Construction","B735RC1",195.7,200.3,202.8,207.2,212.2,218.5,221.3,222.9,221.8,220.3,221.8,227.6,232.8,233.8,232.5,227.4,219.2,217,219.6,218.4,217.8,220.8,219.6,224.6,225.9,230.9,235.9,243.8,250.1,258.3,264,270.3,272.2,276.2,283.6,287,295.6,303.5,310.6,316.1,323.4,328.9,334,342.1,351.6,363.3,376.3,388.7,406.1,413.6,418.6,433.1,447.3,460.9,458.2,463.5
"15","7","    Manufacturing","A426RC1",757,776.2,807,823.2,854.8,872.6,886.9,909.9,899.4,888.5,886.5,883.4,909,934.2,927.2,923.3,916.7,917.8,927,921.7,923.6,934.5,937.9,955.4,918.4,965.4,964.2,1011,1002.1,1026.3,1049.5,1078.6,1077.6,1089.4,1110.3,1115.2,1107.2,1127.3,1136.4,1152.6,1160.2,1182.3,1218.9,1235.1,1204.4,1210.3,1226.8,1232.4,1251.9,1259.4,1267.1,1280.9,1339.6,1332.5,1341.5,1307.2
"16","8","      Durable goods","B428RC1",458.9,459.6,469.4,471.2,491.7,511.3,515.7,525.6,521.5,511,506.1,506.2,514.6,522.3,521.5,504.8,496.9,510.5,515.2,513.2,515.5,521.6,521.9,534.3,513.1,543.3,547.5,575.4,575.4,586.8,597.1,616.7,615,614.4,624.2,628,623.7,641.4,647,654.7,659.2,676.9,705.7,713.4,695.3,702,711.9,729.7,713.7,717.5,729,744.2,780.1,763.2,770.8,743.2
"17","9","      Nondurable goods","B427RC1",298.1,316.5,337.6,352,363.2,361.3,371.2,384.3,377.9,377.5,380.4,377.2,394.4,411.9,405.7,418.5,419.8,407.3,411.8,408.5,408.1,412.9,416,421,405.3,422.1,416.7,435.6,426.6,439.4,452.4,461.9,462.6,475,486.2,487.1,483.5,485.8,489.3,497.9,501,505.4,513.2,521.7,509.2,508.2,514.9,502.7,538.2,541.9,538,536.7,559.4,569.3,570.6,564
"18","10","    Transportation and public utilities","A737RC1",311.3,322,321.6,328.9,332.3,343.5,354.5,363.3,357.1,357.4,358.2,364.8,372.6,388,391.4,386,398.8,404.5,405,405.4,416.2,416.8,419.6,427,434,441,444.8,453.3,458.9,474.8,481.1,490.6,487.6,489,496.8,497.3,504,512.7,512.3,517.1,504.1,512.6,522.6,533.4,529.6,539.4,553.2,546.7,555,550.8,563.5,584.7,579.7,587.4,595.2,601.7
"19","11","      Transportation","B429RC1",124.3,127.2,126.9,132.3,131.7,138.9,143.4,144.2,138.7,137.3,138.6,139.5,141.2,151.8,149.3,146.2,156.1,157.1,155.1,154.4,164.5,160.7,163.3,161.4,173,172.5,173.8,176.3,180.9,187.2,190.8,194.9,195.9,196.7,195.7,196.1,198.1,204.2,210.1,207.7,213.5,218.1,229.7,237,236,240.6,247.4,246.5,250.4,252.6,254.7,262.6,263.8,273.6,269.5,269.9
"20","12","      Communications","B430RC1",94.8,97.4,99.9,100.1,101.1,103.1,107.2,110,107,106.7,104.9,111.9,113.9,116.6,118.8,118.9,119.5,121.8,123.4,122.1,125.3,125.6,126.5,132.9,129.9,137.4,138.2,141.3,141.4,146.1,146,150.7,147.6,146.2,151.5,150.8,153.4,155.9,155.3,157,141,144,144.6,146.6,149.6,153.4,157.6,151.3,151.3,147.7,151,160.8,156.2,159.4,168.5,176.6
"21","13","      Electric, gas, and sanitary services","B431RC1",92.2,97.5,94.7,96.5,99.5,101.4,103.9,109.1,111.4,113.3,114.8,113.4,117.5,119.6,123.2,121,123.2,125.5,126.5,128.9,126.4,130.5,129.8,132.8,131.1,131.2,132.9,135.8,136.6,141.5,144.3,145,144.1,146.1,149.7,150.4,152.5,152.6,146.9,152.4,149.6,150.6,148.4,149.8,144,145.3,148.2,148.9,153.3,150.5,157.9,161.3,159.7,154.5,157.2,155.2
"22","14","    Wholesale trade","B433RC1",281.3,282.3,288.4,290.3,307.5,316.7,317.8,330.3,328.6,332.3,338.4,338.5,346.5,350.6,352.4,356.6,362.4,366,369.8,370.5,375,380.9,385.5,394.6,375.3,393.5,395.2,410.4,410.6,434,435.7,444,441.8,441.3,453.4,457,469.7,471.7,481.8,500.2,502.5,515.2,527.6,531.1,546.4,560.2,567.5,560.3,575.8,573,572.8,586.9,597.7,616.3,625,619.1
"23","15","    Retail trade","B434RC1",393.2,398,407.2,411.6,417.1,426,431.3,440.7,444.9,446.9,456.7,462.5,472.4,474.9,472.9,479.3,484.1,489.7,488.6,494.2,500.9,504.1,503,506.4,519.9,532.1,544.4,552.9,562.5,576,584.8,597.7,600.6,606.6,614.6,620.8,635.2,646.8,654.8,665.2,691.8,690.3,704.7,711.8,730.4,745.6,761.3,777.4,787.5,799.1,795.8,809.5,836.9,835.5,845.1,842.1
"24","16","    Finance, insurance, and real estate","B435RC1",619.8,646.5,663.1,671,663,666.7,694.9,729.9,778.2,796.8,802.5,785.5,784.7,785.2,793.2,791.5,808.1,817.7,838.5,850.4,899.6,920.2,938,989.4,949.4,989,997.8,1052.9,1008.2,1045.1,1067.3,1080.2,1100.3,1118.2,1142.5,1156.3,1177.4,1213,1231.6,1251.7,1289.1,1311.9,1342.3,1381.9,1417.3,1454,1482.4,1495.5,1512.7,1512.9,1552.4,1584.4,1642.6,1657.2,1692.1,1711.4
"25","17","    Services","B437RC1",707,722.4,743,776.4,789.5,819.3,840.5,852.3,869.4,885.1,903.5,927.7,967,992.2,1020.1,1027.9,1030.5,1046.4,1061,1085.8,1118.3,1143.3,1150.2,1152,1225.5,1196.3,1206.6,1197.4,1266.3,1267.4,1285.9,1312.4,1348.9,1362.9,1385.1,1411,1442.7,1471.2,1497.7,1532.1,1566.1,1595.5,1625.5,1659,1704.2,1732,1770,1806.9,1841.5,1875.3,1895.7,1943.8,2000.2,2018.2,2060,2081.2
"26","18","  Government","B436RC1",523.8,531.1,537.3,547.3,560,573.2,582,593.2,607.1,617.1,628.8,639,654.7,665.9,675.4,685.3,704.2,712.8,720.6,731.5,749.7,761.8,770,772.8,779.8,783,789.7,793.7,804.9,813.8,818.3,822.8,835.4,838.2,841,845,854.7,861.1,867.2,874.3,886.7,894.5,903.3,912.2,924.8,934.3,944.9,954.9,972.7,984.6,999.2,1013.2,1033.4,1047.4,1056.8,1066.5
"27","19","Rest of the world","A192RC1",14.4,18.1,17.8,19.7,25,22.8,20.2,22.7,22.4,21.7,24.3,30.8,29.5,31.6,27.1,50.5,39.5,28.6,25.1,33.2,32.7,32.1,29.2,30.3,38,31.5,37,21.5,28.3,23.8,22.2,21.2,30.7,33.4,19.6,31.3,38.2,29.9,26.7,32.3,23.9,31.5,23.9,17.1,26.2,23.3,10.4,13,22.1,27.4,24.5,34.5,30.8,33.8,29.3,54.1
"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
