"","Table 4#2#5U# Exports and Imports of Goods and Services by Type ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"1","[Millions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1999 To 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published September 28, 2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 9/25/2015 12:34:28 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"8","1","    Exports of goods and services","B020RC0",991980,1096835,1026713,1002509,1040279,1181507,1308901,1476316,1664625,1841942,1587742,1852335,2106371,2198182,2263254,2341933
"9","2","Exports of goods \1\","A253RC0",711723,797256,743835,713161,741420,834384,926583,1049570,1166421,1298804,1065118,1279593,1466862,1525999,1560918,1617989
"10","3","  Foods, feeds, and beverages","B638RC0",45976,47872,49407,49615,55026,56570,58955,65963,84264,108349,93909,107718,126248,133049,136160,143751
"11","4","  Industrial supplies and materials","A639RC0",145723,171108,159469,157282,173273,206276,236813,279121,316284,386918,293541,388562,485259,483232,492296,500007
"12","5","    Durable goods","B686RC0",54259,63618,57079,53499,57305,70065,82190,101334,113930,128645,95970,125138,143428,140291,136890,140717
"13","6","    Nondurable goods","B687RC0",91464,107490,102390,103783,115968,136211,154623,177787,202354,258273,197571,263424,341831,342941,355406,359290
"14","7","      Petroleum and products","LA0000060",11973,16498,14803,14149,17704,23888,31969,43389,50946,84715,60126,85281,131842,142022,154688,161153
"15","8","      Nondurable goods, excluding petroleum and products","LA0000050",79492,90992,87587,89634,98264,112323,122654,134398,151408,173558,137445,178143,209989,200919,200718,198137
"16","9","  Capital goods, except automotive","A640RC0",311249,357000,321725,290435,293673,327541,358426,404026,433019,457656,391497,447840,494200,527459,534524,551321
"17","10","    Civilian aircraft, engines, and parts","B688RC0",52921,48091,52619,50425,46723,46075,55889,64503,73019,73999,74755,71922,80353,94309,104991,113071
"18","11","    Computers, peripherals, and parts","B850RC0",46724,55541,47555,38552,39925,42805,45537,47580,45546,43898,37717,43814,48459,49216,48087,48789
"19","12","    Other","B689RC0",211604,253368,221551,201458,207025,238661,257000,291943,314454,339759,279025,332104,365388,383934,381446,389461
"20","13","  Automotive vehicles, engines, and parts","B641RC0",75257,80356,75435,78943,80633,89212,98407,107263,121264,121452,81714,112008,133036,146158,152670,159690
"21","14","  Consumer goods, except food and automotive","A642RC0",80868,89305,88284,84323,89878,103195,115228,129034,145864,161158,149287,164909,174718,180994,188370,198300
"22","15","    Durable goods","B690RC0",41764,46669,46360,43911,46051,53890,62051,71060,82617,90576,75278,87376,96879,98704,104040,110813
"23","16","    Nondurable goods","B691RC0",39104,42636,41924,40412,43827,49305,53177,57974,63247,70582,74009,77533,77839,82290,84330,87487
"24","17","  Other","A643RC0",52650,51615,49515,52563,48937,51590,58754,64163,65726,63271,55170,58556,53401,55107,56898,64920
"25","18","    Other durable goods n.e.c.","Y973RC0",26172,25728,24686,25983,24154,24996,28712,31332,32090,30903,27187,29073,26445,27277,28218,32312
"26","19","    Other nondurable goods","Y974RC0",26478,25887,24829,26580,24783,26594,30042,32831,33636,32368,27983,29483,26956,27829,28680,32608
"27","20","      Net exports of goods under merchanting","Y975RC0",306,159,143,598,629,1598,1330,1499,1547,1466,797,411,511,552,462,296
"28","21","      Other other nondurable goods n.e.c.","Y976RC0",26172,25728,24686,25983,24154,24996,28712,31332,32090,30903,27186,29073,26445,27277,28218,32312
"29","22","Exports of services \1\","A646RC0",280257,299579,282878,289348,298859,347123,382318,426746,498204,543138,522624,572742,639509,672184,702336,723944
"30","23","  Transport","Y800RC0",43217,45759,41715,41911,41445,47723,52622,57462,65825,74973,62190,71655,79830,83944,87415,90031
"31","24","    Sea Transport","Y977RC0",10489,11554,10946,11187,10900,11801,12207,14616,16412,17779,13603,15905,16460,17012,17322,18152
"32","25","      Freight","Y978RC0",3951,4301,3780,3733,4019,3800,3463,3407,4213,4867,3249,4229,4124,4135,4028,4316
"33","26","      Port","Y979RC0",6538,7253,7166,7454,6881,8001,8744,11209,12199,12912,10354,11676,12336,12877,13294,13836
"34","27","    Air Transport","Y980RC0",29786,31267,27752,27560,27379,32269,36632,38855,45330,52842,44574,51578,59015,62078,65523,67498
"35","28","      Passenger","Y981RC0",19425,20197,17181,16291,15091,17932,20609,21638,25187,30957,26103,30986,36763,39364,41642,43516
"36","29","      Freight","Y982RC0",5044,5776,5428,5787,6869,7726,9327,10076,11311,13483,10941,12280,13482,13871,14321,14261
"37","30","      Port","Y983RC0",5317,5294,5143,5482,5419,6611,6696,7141,8832,8402,7530,8312,8770,8843,9560,9721
"38","31","    Other modes of transport","Y984RC0",2942,2938,3017,3164,3166,3653,3783,3991,4083,4352,4013,4172,4355,4854,4570,4381
"39","32","  Travel","Y801RC0",92338,100188,86733,81869,80332,92387,101469,105140,119037,133761,119902,137010,150867,161632,172901,177241
"40","33","    Business","Y985RC0",39089,42664,35784,32572,30379,33949,38151,39333,42819,45941,36518,39523,40281,39530,39411,40358
"41","34","      Expenditure of seasonal, border, and other short-term workers","Y986RC0",5921,5975,6329,6694,6762,7363,8435,8700,7984,8655,6843,6344,6367,6853,7164,7255
"42","35","      Other business travel","Y987RC0",33168,36689,29455,25878,23617,26586,29716,30633,34835,37286,29675,33179,33914,32677,32247,33103
"43","36","    Personal","Y988RC0",53249,57524,50949,49297,49954,58437,63319,65807,76218,87820,83384,97487,110586,122102,133490,136883
"44","37","      Education related","Y989RC0",9616,10349,11476,12626,13312,13633,14021,14647,15956,17956,19689,20937,22823,24858,27410,30795
"45","38","      Health-related","Y990RC0",1351,1501,1479,1460,1571,1689,2014,2221,2365,2531,2691,2876,3032,3176,3312,3468
"46","39","      Other personal travel","Y991RC0",42282,45674,37994,35211,35071,43115,47284,48939,57897,67334,61004,73674,84731,94068,102768,102620
"47","40","  Charges for the use of intellectual property n.e.c.","B684RC0",47731,51808,49487,53857,56814,67093,74449,83549,97803,102125,98406,107521,123333,124440,127927,130362
"48","41","  Other business services","Y802RC0",79560,83145,87874,95128,102106,118405,128478,150803,183852,202307,210900,226672,249403,263560,276705,292494
"49","42","    Maintenance and repair services","Y992RC0",3812,4686,5575,5769,5458,5342,7218,7673,9062,10019,12077,13860,14279,17186,18648,22389
"50","43","    Insurance services","Y993RC0",3052,3631,3424,4415,5974,7314,7566,9445,10841,13403,14586,14397,15114,16790,17058,17417
"51","44","    Financial services","Y994RC0",19433,22117,21899,24496,27840,36389,39878,47882,61376,63027,64437,72348,78271,76692,84091,87290
"52","45","    Telecommunications, computer, and information services","Y995RC0",12287,12215,12829,12451,14061,14962,15515,17184,20192,23119,23816,25038,29171,32510,35035,35885
"53","46","    Other other business services","Y996RC0",40976,40496,44147,47997,48774,54398,58302,68619,82382,92738,95984,101029,112568,120382,121873,129514
"54","47","  Government goods and services n.e.c.","Y803RC0",7813,8520,7749,7244,8486,11338,14544,18615,20422,18035,19833,18523,22797,21663,22006,19301
"55","48","  Other","B980RC0",9598,10159,9320,9339,9676,10177,10756,11177,11265,11937,11393,11361,13279,16945,15382,14516
"56","49","    Imports of goods and services","B021RC0",1248611,1472630,1395396,1428973,1543934,1800677,2030086,2247263,2383167,2565009,1983178,2364992,2686366,2763844,2771653,2871928
"57","50","Imports of goods \1\","A255RC0",1051210,1251475,1176696,1199336,1296192,1511563,1719374,1899658,2003771,2149379,1590294,1949814,2244732,2305824,2301877,2388513
"58","51","  Foods, feeds, and beverages","B647RC0",44080,46488,47218,50318,56522,62999,69072,76081,82975,90439,82860,92493,108256,111127,116004,126683
"59","52","  Industrial supplies and materials","LA0000040",221908,301289,276785,270660,317754,418088,531130,610204,644595,794857,464350,603092,754863,723164,678938,666951
"60","53","    Durable goods","A820RC0",80064,90146,81983,83196,86083,121451,137097,164352,159943,161489,95502,125189,149594,150394,150876,168986
"61","54","    Nondurable goods","LA0000070",141844,211143,194802,187464,231671,296637,394034,445852,484652,633368,368848,477903,605269,572769,528062,497966
"62","55","      Petroleum and products","B648RC0",72118,126141,109424,109288,140407,189921,263175,316667,346689,476129,267710,353647,462149,434342,387760,350927
"63","56","      Nondurable goods, excluding petroleum and products","B696RC0",69727,85002,85379,78176,91264,106716,130859,129186,137963,157240,101138,124256,143120,138427,140302,147038
"64","57","  Capital goods, except automotive","A650RC0",296096,347708,299150,284923,297643,346117,382833,422612,449116,458698,374056,450407,513430,551777,557893,595732
"65","58","    Civilian aircraft, engines, and parts","B932RC0",23784,26403,31381,25484,24116,24340,25818,28465,34489,35501,30683,31295,35535,40137,46960,53173
"66","59","    Computers, peripherals, and parts","B852RC0",81479,89813,74063,75226,76611,88775,93498,101608,105471,101222,94177,117258,119719,122254,121209,121661
"67","60","    Other","B853RC0",190833,231492,193706,184213,196916,233002,263517,292539,309156,321975,249196,301854,358176,389386,389724,420897
"68","61","  Automotive vehicles, engines, and parts","B651RC0",178241,194954,188745,202777,209172,227332,238715,255962,258498,233204,159188,225641,255226,298498,309572,328499
"69","62","  Consumer goods, except food and automotive","A652RC0",243650,284634,287055,311332,338383,378111,412735,447648,479757,485680,429852,485121,515867,518821,533957,559392
"70","63","    Durable goods","B697RC0",127826,151902,148922,163656,175062,202174,224606,244675,264275,266312,225038,259162,271901,276638,289220,301273
"71","64","    Nondurable goods","B698RC0",115824,132732,138133,147676,163321,175937,188129,202973,215482,219368,204814,225959,243966,242183,244737,258120
"72","65","  Other","A653RC0",67234,76402,77742,79326,76718,78916,84888,87150,88830,86500,79988,93060,97090,102437,105512,111256
"73","66","Imports of services \1\","B656RC0",197401,221155,218700,229637,247742,289114,310712,347605,379396,415630,392884,415178,441634,458020,469776,483415
"74","67","  Transport","Y804RC0",49620,57606,53840,51491,57863,69158,75643,77962,79326,83988,64133,74628,81377,84985,90634,94219
"75","68","    Sea Transport","Y997RC0",17405,21787,20824,20100,25566,31710,35687,35996,34760,34463,23219,29496,31369,33162,36264,36254
"76","69","      Freight","Y998RC0",15760,20100,19425,18651,24193,30373,34311,34274,32888,32496,21656,27872,29703,31357,34207,34013
"77","70","      Port","Y999RC0",1645,1687,1399,1449,1373,1337,1376,1723,1872,1967,1563,1624,1666,1805,2057,2241
"78","71","    Air Transport","Y810RC0",29350,32678,30136,28481,29199,34045,36103,37929,40520,45493,37410,41377,45834,47458,50104,53697
