"","Table 6#16B# Corporate Profits by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1948 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 06, 2015   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/4/2015 6:43:37 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","    Corporate profits with inventory valuation and capital consumption adjustments","A051RC1",31.4,29.1,36.1,41.2,39.7,40.3,39.5,50.2,49.6,49.1,43.9,55.5,54.7,55.9,64,70.5,77.7,89.3,96.1,93.9,101.7,98.4
"9","2","Domestic industries","A445RC1",30.1,27.9,34.8,39.5,37.8,38.5,37.5,47.8,46.8,46,41.3,52.8,51.5,52.6,60.3,66.4,73.2,84.6,91.6,89.1,96.1,91.8
"10","3","  Financial","A587RC1",2.5,3.1,3.1,3.4,4.1,4.6,4.8,5.1,5.4,5.7,6.1,7.3,8.2,8.1,8.5,8.1,8.7,9.2,10.5,11,12.7,13.5
"11","4","  Nonfinancial","A463RC1",27.6,24.8,31.7,36,33.7,33.9,32.7,42.7,41.4,40.3,35.2,45.5,43.3,44.5,51.8,58.3,64.6,75.4,81.1,78.1,83.4,78.3
"12","5","Rest of the world","B394RC1",1.3,1.1,1.3,1.7,1.9,1.8,2,2.4,2.8,3.1,2.5,2.7,3.1,3.3,3.8,4.1,4.5,4.7,4.5,4.8,5.6,6.6
"13","6","  Receipts from the rest of the world","B933RC1",1.7,1.6,1.8,2.2,2.3,2.3,2.4,2.9,3.4,3.6,3.1,3.4,3.8,4,4.5,4.9,5.4,5.8,5.7,6,7,8
"14","7","  Less:  Payments to the rest of the world","B934RC1",0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.7,0.7,0.7,0.7,0.8,0.9,1.1,1.1,1.2,1.4,1.5
"15","8","    Corporate profits with inventory valuation adjustment","A052RC1",34.4,31.9,38.8,44.2,42.3,42.2,40.5,49.7,49.9,49.7,44.8,55.7,53.7,54.2,59.2,64.5,71,81.9,88.3,86.1,94.3,90.8
"16","9","Domestic industries","A390RC1",33.1,30.8,37.5,42.4,40.4,40.4,38.5,47.4,47.1,46.6,42.3,53,50.5,50.9,55.5,60.4,66.5,77.2,83.7,81.3,88.6,84.2
"17","10","  Financial","A392RC1",2.7,3.3,3.3,3.7,4.4,4.8,5.1,5.3,5.7,6,6.5,7.6,8.4,8.3,8.6,8.3,8.8,9.3,10.7,11.2,12.9,13.6
"18","11","    Federal Reserve banks","J397RBC1",0.2,0.2,0.2,0.3,0.3,0.4,0.3,0.3,0.5,0.6,0.6,0.7,0.9,0.8,0.9,1,1.1,1.3,1.7,2,2.5,3.1
"19","12","    Other","B398RC1",2.5,3.1,3.1,3.4,4.1,4.5,4.8,5,5.2,5.4,5.9,6.9,7.5,7.6,7.7,7.3,7.6,8,9.1,9.2,10.4,10.6
"20","13","  Nonfinancial","A399RC1",30.3,27.5,34.2,38.7,36,35.5,33.4,42,41.4,40.6,35.8,45.4,42.1,42.5,46.9,52.1,57.7,67.9,73,70.1,75.7,70.6
"21","14","    Manufacturing","Q400RBC1",18.1,16.5,21.4,25.2,22.6,23.2,21.1,27.2,26.5,25.8,21.2,28.4,25.8,25.2,28.2,31.6,34.6,42.1,45.3,42.4,45.8,41.6
"22","15","      Durable goods","Q406RBC1",7.8,8.3,12.3,13.5,12.3,12.7,11.2,15,14,14.4,10.4,14.8,12.9,12.5,15.2,17.6,19.3,24.7,25.9,23.4,25.2,22.2
"23","16","        Primary metal industries","A407RBC1",1.6,1.5,2.3,3.1,2,2.5,1.7,2.9,3.1,3.1,1.9,2.4,2.1,1.6,1.6,2,2.5,3.2,3.6,2.8,2,1.5
"24","17","        Fabricated metal products","A408RBC1",0.9,0.7,1.1,1.4,1,1,1,1.1,1.1,1.2,1,1.1,0.9,1.1,1.2,1.4,1.5,2.1,2.5,2.5,2.4,2.1
"25","18","        Machinery,except electrical","A409RBC1",1.3,1.3,1.7,2.4,2.4,2,1.8,1.8,2.2,2.1,1.5,2.2,1.9,1.9,2.4,2.6,3.4,4.1,4.7,4.4,4.4,3.9
"26","19","        Electric and electronic equipment","A410RBC1",0.7,0.8,1.3,1.4,1.6,1.6,1.3,1.3,1.6,2,1.8,2.2,1.9,1.9,2.1,2.2,2.3,3.4,3.8,3.8,3.9,3.5
"27","20","        Motor vehicles and equipment","A411RBC1",1.5,2.1,3.2,2.5,2.6,2.9,2.3,4.3,2.5,2.8,1.1,3.2,3.2,2.7,4.2,5.2,4.9,6.5,5.5,4.3,5.9,5.3
"28","21","        Other","A412RC1",1.9,1.7,2.6,2.8,2.7,2.7,2.9,3.5,3.4,3.3,3.2,3.7,2.9,3.2,3.7,4.2,4.6,5.5,5.7,5.7,6.6,5.8
"29","22","      Nondurable goods","Q401RBC1",10.2,8.3,9.1,11.6,10.3,10.5,9.9,12.2,12.5,11.4,10.8,13.5,12.9,12.7,13,14,15.3,17.4,19.5,18.9,20.6,19.4
"30","23","        Food and kindred products","A402RBC1",1.9,1.6,1.6,1.5,1.8,1.8,1.7,2.2,1.8,1.9,2.1,2.5,2.3,2.4,2.4,2.7,2.8,2.9,3.4,3.3,3.3,3.1
"31","24","        Chemicals and allied products","A403RBC1",1.8,1.8,2.4,2.9,2.4,2.4,2.4,3.2,3.2,3.1,2.9,3.9,3.5,3.7,3.6,4.1,4.5,5.1,5.4,4.8,5.8,5.2
"32","25","        Petroleum and coal products","A404RBC1",2.8,1.9,2.3,2.8,2.4,2.8,2.8,3.1,3.3,2.7,2.3,2.7,2.7,2.4,2.3,2.3,2.5,3,3.5,4,3.9,3.6
"33","26","        Other","A405RC1",3.8,2.9,2.8,4.5,3.7,3.4,3,3.7,4.2,3.7,3.5,4.5,4.4,4.3,4.6,4.9,5.5,6.4,7.2,6.8,7.6,7.5
"34","27","    Transportation and public utilities","Q416RBC1",3,3.1,4.1,4.8,5.1,5.2,5,6,6.3,6.2,6.2,7.4,7.8,8.2,8.7,9.7,10.4,11.4,12.6,11.4,11.4,11.1
"35","28","      Transportation","A417RBC1",1.5,1.2,1.9,1.9,1.9,1.6,1,1.5,1.4,1.1,0.9,1.1,0.9,1,1,1.4,1.6,2.1,2.3,1.3,0.9,0.6
"36","29","      Communication","A418RBC1",0.4,0.5,0.8,1.1,1.2,1.5,1.6,2,2.2,2.4,2.6,3.1,3.3,3.5,3.8,4.2,4.2,4.7,5.4,5.2,5.6,5.9
"37","30","      Electric, gas, and sanitary services","A419RBC1",1.1,1.4,1.5,1.8,2,2.2,2.4,2.5,2.7,2.7,2.7,3.1,3.6,3.8,3.9,4.2,4.6,4.6,4.9,4.8,4.9,4.7
"38","31","    Wholesale trade","A414RBC1",2.4,1.9,2.1,2.6,2.3,1.8,1.7,2.4,2.2,2.2,2.2,2.8,2.5,2.5,2.8,2.8,3.4,3.8,4,4.1,4.7,4.9
"39","32","    Retail trade","A415RBC1",3.3,2.8,3,2.6,2.7,2.3,2.3,2.9,2.6,2.6,2.6,3.3,2.8,3,3.4,3.6,4.5,4.9,4.9,5.7,6.4,6.4
"40","33","    Other","A420RC1",3.6,3.2,3.6,3.5,3.2,3,3.3,3.6,3.9,3.8,3.5,3.5,3.3,3.6,3.7,4.3,4.8,5.7,6.3,6.6,7.4,6.5
