"","Table 1#7#4# Price Indexes for Gross Domestic Product, Gross Nat","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50"
"1","[Index numbers, 2009=100]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published January 29, 2016  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 1/28/2016 4:40:18 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"8","1","Gross domestic product","A191RG3",21.691,22.836,23.996,25.035,26.396,28.76,31.431,33.157,35.209,37.68,40.79,44.48,48.658,51.624,53.658,55.564,57.341,58.504,59.935,62.036,64.448,66.841,69.057,70.632,72.315,73.851,75.393,76.767,78.088,78.935,80.065,81.89,83.755,85.04,86.735,89.118,91.985,94.812,97.34,99.218,100,101.226,103.315,105.22,106.935,108.694,109.775
"9","2","Plus: Income receipts from the rest of the world","B645RG3",19.541,20.59,21.762,22.745,24.253,26.214,28.671,30.487,32.543,35.078,38.076,41.408,45.557,48.38,50.297,52.072,53.771,55.211,57.175,59.305,61.807,64.652,67.046,68.857,70.665,72.333,74.031,75.403,76.674,77.31,78.538,80.491,82.116,83.416,85.362,87.955,91.221,94.244,97.001,100.104,100,111.275,114.085,116.078,117.63,119.219,NA
"10","3","Less: Income payments to the rest of the world","A655RG3",20.907,21.945,23.082,24.071,25.481,27.856,30.207,31.71,33.801,36.516,39.671,43.329,47.558,50.56,52.318,54.114,55.883,57.194,58.565,60.655,62.971,65.519,67.463,69.43,71.428,73.243,74.69,75.98,77.259,77.789,78.876,80.891,82.468,83.761,85.702,88.37,91.653,94.709,97.438,100.55,100,111.356,114.065,116.093,117.594,119.367,NA
"11","4","Equals: Gross national product","A001RG3",21.65,22.793,23.953,24.99,26.352,28.707,31.376,33.106,35.156,37.625,40.731,44.411,48.588,51.55,53.585,55.489,57.265,58.432,59.877,61.979,64.396,66.799,69.026,70.6,72.279,73.812,75.361,76.737,78.057,78.907,80.041,81.864,83.73,85.015,86.711,89.093,91.963,94.789,97.32,99.211,100,101.338,103.439,105.344,107.058,108.809,NA
