"","Table 6#8B# Persons Engaged in Production by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"1","[Thousands]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 06, 2015   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 1/28/2016 5:12:29 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987
"8","1","      Persons engaged in production \1\","A4601C0",78917,78322,77988,79908,83350,84669,82882,85207,88175,92630,95718,95880,96737,94744,95564,100039,102308,104024,106967
"9","2","Domestic industries","A4602C0",78939,78342,78007,79929,83374,84690,82907,85232,88198,92658,95740,95904,96799,94808,95634,100112,102380,104091,107033
"10","3","  Private industries","A4603C0",64223,63651,63348,65252,68488,69532,67443,69690,72528,76649,79596,79616,80634,78637,79579,83848,85763,87136,89796
"11","4","    Agriculture, forestry, and fishing","J4604C0",3193,3118,3065,3116,3181,3255,3191,3210,3105,3158,3183,3275,3260,3140,3166,3074,2889,2869,2932
"12","5","      Farms","Q4605BC0",2810,2733,2672,2694,2716,2773,2723,2704,2580,2536,2507,2574,2532,2436,2439,2313,2077,2001,1968
"13","6","      Agricultural services, forestry, and fishing","J4606C0",383,385,393,422,465,482,468,506,525,622,676,701,728,704,727,761,812,868,964
"14","7","    Mining","J4607C0",626,629,617,625,641,701,755,791,831,879,951,1040,1154,1142,968,983,935,792,733
"15","8","      Metal mining","J4608C0",92,96,90,87,90,97,94,94,93,83,90,89,94,75,60,58,48,44,47
"16","9","      Coal mining","J4609C0",135,145,147,160,160,178,213,226,238,233,254,250,235,238,192,197,187,174,161
"17","10","      Oil and gas extraction","J4610C0",284,273,266,266,275,306,331,353,382,440,479,573,706,718,606,618,589,464,413
"18","11","      Nonmetallic minerals, except fuels","Q4611BC0",115,115,114,112,116,120,117,118,118,123,128,128,119,111,110,110,110,109,113
"19","12","    Construction","J4612C0",4256,4179,4261,4499,4835,4816,4296,4400,4735,5313,5626,5417,5240,4871,4968,5505,5826,6037,6141
"20","13","    Manufacturing","J4613C0",20057,19177,18336,18819,19871,19804,18062,18839,19557,20422,20957,20176,20115,18605,18310,19252,19104,18846,18938
"21","14","      Durable goods","J4614C0",11952,11236,10613,10991,11833,11904,10665,11099,11651,12349,12827,12237,12177,11059,10778,11557,11523,11262,11224
"22","15","        Lumber and wood products","J4615C0",745,732,756,781,811,773,661,741,784,824,843,766,730,644,694,743,727,737,787
"23","16","        Furniture and fixtures","J4616C0",463,432,429,469,499,481,406,439,470,491,488,461,463,427,461,491,496,506,517
"24","17","        Stone, clay, and glass products","J4617C0",663,643,631,655,691,681,630,647,667,703,718,669,646,570,572,603,594,588,591
