"","Table 2#5#6# Real Personal Consumption Expenditures by Function,","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"1","[Billions of chained (2009) dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1999 To 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 06, 2015   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 2/26/2016 9:29:22 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"8","1","      Personal consumption expenditures","DPCERX1",7775.9,8170.7,8382.6,8598.8,8867.6,9208.2,9531.8,9821.7,10041.6,10007.2,9847,10036.3,10263.5,10413.2,10590.4,10875.7
"9","2","Household consumption expenditures \1\","DPHCRX1",7632.9,8014.8,8211.7,8407.2,8662.9,9000,9324.8,9586.6,9800.1,9733.7,9571,9758,9987.9,10119.3,10291,10570.3
"10","3","  Food and beverages purchased for off-premises consumption","DFXARX1",668.1,684.5,694,697,713.3,729.8,757.6,780.8,791.3,781.9,770,786.5,795.1,795.7,803.4,807.5
"11","4","    Food and nonalcoholic beverages purchased for off-premises consumption","DTFDRX1",580.9,591.3,597.4,598.8,615.2,629.9,655.3,673.6,682.4,673.7,663.4,674,679,675.8,683.7,686.1
"12","5","    Alcoholic beverages purchased for off-premises consumption","DAOPRX1",87.1,92.9,96.2,97.7,97.8,99.6,102,106.8,108.5,107.8,106.1,112.1,115.9,119.8,119.3,121.1
"13","6","    Food produced and consumed on farms","DFFDRX1",0.4,0.4,0.3,0.3,0.3,0.3,0.4,0.5,0.4,0.4,0.4,0.4,0.3,0.3,0.5,0.5
"14","7","  Clothing, footwear, and related services","DCAFRX1",263.4,275.7,277.6,284.7,297.4,309.8,325,335.4,341.3,338.7,321.6,337.5,350.2,353.6,358.1,363.5
"15","8","    Clothing","DCLTRX1",217.2,227.4,229.3,236,246.1,255.6,267.8,274.5,277.8,276.2,263.1,276.5,285.7,287.3,290.7,295
"16","9","      Garments","DGARRX1",193.8,203.2,205.4,212.4,222.7,232.8,245.6,252.7,256.6,256.1,244.3,258.1,267.2,269,272.5,276.4
"17","10","        Women's and girls' clothing","DWGCRX1",110.9,118,119.8,124.4,130.8,137.5,146,150,152.7,153,145.8,154.2,159.6,162.1,164.1,166.1
"18","11","        Men's and boys' clothing","DMBCRX1",73.4,75.2,75.2,76.9,79.8,81.7,84.5,86.3,86.2,85.2,81.5,86.1,89,88.9,89.9,91.8
"19","12","        Children's and infants' clothing","DCICRX1",9.6,10,10.5,11.1,12.3,13.6,15.1,16.4,17.7,18,17.1,17.8,18.6,18,18.5,18.5
"20","13","      Other clothing materials","DOCMRX1",3.8,4.1,4.3,4.8,4.8,4.7,4.6,4.5,4.3,4.2,4.1,4.1,4,4,4,4
"21","14","      Cleaning, repair, and rental of clothing","DCRCRX1",21.5,21.8,21.1,19.9,19.3,18.6,17.9,17.6,16.9,15.9,14.7,14.4,14.5,14.3,14.3,14.6
"22","15","        Laundry and dry cleaning services","DDRYRX1",13.9,14.5,14.2,13.9,13.5,13.1,12.8,12.7,12.3,11.6,10.9,10.8,10.8,10.7,10.7,11
"23","16","        Clothing repair, rental, and alterations","DLGRRX1",7.7,7.4,7,6.1,5.8,5.5,5.2,4.9,4.6,4.3,3.8,3.7,3.7,3.6,3.6,3.7
"24","17","    Footwear \2\","DFTWRX1",46.2,48.2,48.1,48.5,51.1,54.1,57,60.8,63.5,62.5,58.5,61,64.5,66.3,67.4,68.5
"25","18","  Housing, utilities, and fuels","DHUFRX1",1581.2,1629.1,1671.7,1683.2,1705.6,1746.7,1813.8,1846.9,1864.8,1880.5,1905.3,1926.4,1946.5,1944.6,1955.5,1978.6
"26","19","    Housing","DHSGRX1",1278,1320.5,1364.7,1369.9,1387.7,1428.4,1493.6,1533.6,1547.2,1571.1,1591.6,1608.7,1637.3,1646.6,1651.6,1674.1
"27","20","      Rental of tenant-occupied nonfarm housing \3\","DTENRX1",303.6,306.4,312.2,309.9,300.3,301.6,306.8,316.6,334.6,343.9,359.7,372.1,395.1,399.6,395.2,405.7
"28","21","      Imputed rental of owner-occupied nonfarm housing \4\","DOWNRX1",956.1,993,1031.4,1038.9,1065.5,1104.7,1164.3,1194.6,1190.4,1205.1,1209.9,1214.6,1220.1,1226.3,1236,1247.8
"29","22","      Rental value of farm dwellings","DFARRX1",17.9,21,20.8,20.8,21,20.9,20.9,20.9,20.8,20.8,20.7,20.6,20.6,19,19,18.9
"30","23","      Group housing","DGRHRX1",1.3,1.3,1.2,1.1,1.1,1.1,1.1,1.2,1.3,1.3,1.3,1.3,1.4,1.6,1.6,1.7
"31","24","    Household utilities and fuels","DUTFRX1",306.1,310.9,307.9,314.9,319.7,319,320.2,312.9,317.2,309.4,313.7,317.7,309.6,298.8,304.5,305.4
"32","25","      Water supply and sanitation","DWRSRX1",75.9,76.7,77.4,78.2,78.2,76.6,75.9,77.3,76.4,76.3,74.3,73.4,72.4,70.5,68.9,67.7
"33","26","      Electricity, gas, and other fuels","DEGFRX1",230.1,234.1,230.5,236.7,241.5,242.4,244.2,235.9,240.8,233.4,239.4,244.4,237.2,228.3,236,238.3
"34","27","        Electricity","DELCRX1",142.6,147.5,144.8,151.5,154,157,164.2,160.3,162.6,160.2,157,166.5,163.7,160.4,162.7,162.9
"35","28","        Natural gas","DGHERX1",55.2,57,56.3,55,56.9,56.2,55.3,52.8,54.9,53.3,58.1,55.7,54.8,51.7,56.6,57.9
"36","29","        Fuel oil and other fuels","DFULRX1",33.5,29.4,29.2,30.2,30.5,29.1,25.2,23.6,23.8,21.1,24.3,22.4,19.6,17.5,18.4,19.1
"37","30","  Furnishings, household equipment, and routine household maintenance","DFHHRX1",316,336.2,344.9,360.8,384.1,413.8,435.1,452.4,458,443.8,409.8,429.4,451.4,467.9,489.7,516.1
"38","31","    Furniture, furnishings, and floor coverings \5\","DFURRX1",91.7,100.9,104.6,111.3,118.9,131.1,142.1,151.2,155.9,147.8,134.1,144,152.2,159.7,168.6,179.3
"39","32","    Household textiles","DTEXRX1",22.5,23.8,24.5,25.8,29.5,33.2,36.6,40.4,43.1,43.5,42.2,46.2,49.9,53.7,57.9,61
"40","33","    Household appliances \6\","DHAPRX1",37.1,39.9,41.7,43.9,46.8,52,53.8,54.7,52.8,50.4,45.6,48,50,49.5,51.8,54.9
"41","34","    Glassware, tableware, and household utensils \7\","DUTERX1",27.2,30.4,32.9,36.7,39.6,41.4,43,45.5,45.5,43.8,41.1,43.9,47.2,51.5,54.2,58
"42","35","    Tools and equipment for house and garden","DTOORX1",16.5,17.2,17.8,18.5,19.7,20.9,21.2,21.2,20,19.4,17.5,18.1,18.8,19.3,19.9,21.1
