"","Table 3#2# Federal Government Current Receipts and Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published March 25, 2016    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/24/2016 12:07:42 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"8","1","    Current receipts","W005RC1",191.8,185.1,190.7,219,249.2,278.5,276.8,322.6,363.9,423.8,487,533.7,621.1,618.7,644.8,711.2,775.7,817.9,899.5,962.4,1042.5,1087.6,1107.8,1154.4,1231,1329.3,1417.4,1536.3,1667.3,1789.8,1905.4,2068.2,2031.8,1870.6,1895.1,2027.4,2303.5,2537.7,2667.2,2579.5,2238.4,2443.3,2574.1,2699.1,3141.3,3265.2,3431.5
"9","2","Current tax receipts","W006RC1",146,137.9,138.6,158.2,173,192.1,186.8,218.3,247.6,286.8,326.1,356.2,408.3,387,393.7,425.7,460.7,479.8,544.2,567.2,622.8,644.2,637.9,662.2,715.3,783.9,849.1,937,1035.8,1121.8,1199.9,1313.9,1253.9,1077.7,1075.5,1158.7,1389.3,1563.4,1642.4,1520.7,1171.1,1352.7,1553.8,1661.1,1825,1974.4,2134.5
"10","3","  Personal current taxes \1\","A074RC1",91.7,88.9,85.8,102.8,109.6,126.5,120.7,141.6,162.5,189.2,224.9,250.6,291.2,295.6,286.8,301.9,336.5,350.6,393,403.8,453.1,472.1,463.6,477.5,507.7,545.1,590.3,668.4,749.8,831.2,897.6,999.8,996.3,832.8,778.5,803.2,936.8,1054.6,1169.7,1174.3,864.5,941.6,1129.1,1164.7,1300.6,1396.9,1536
