"","Table 2BU# Real Manufacturing and Trade Sales, Seasonally Adjust","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79"
"1","[Millions of chained (2009) dollars];                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1997 To 2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published March 28, 2016    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/28/2016 1:58:40 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
"9","1","      Manufacturing and trade industries","KPMT0",842186,854626,871646,878383,891383,900453,903231,924992,938883,950669,961626,976140,980432,988947,989136,986481,981085,968045,964110,978831,977631,989219,993761,990674,989634,998193,1016500,1022586,1029603,1038950,1049445,1062580,1075670,1089205,1094928,1103505,1120702,1116946,1118423,1126064,1135716,1141264,1147293,1152035,1136848,1129266,1090088,1035789,997314,976217,990630,1001741,1010334,1031200,1049466,1056026,1065673,1062322,1075078,1084865,1097271,1102053,1104815,1116209,1127680,1132326,1137973,1158175,1158627,1173409,1183131,1196054,1204460,1210595,1218626,1227127
"10","2","Manufacturing industries","KP300",388488,398238,406268,409753,413160,411011,410956,420212,423320,425110,427971,431647,431128,437010,432769,427646,420391,407969,402722,401611,402253,408805,408037,404956,403362,402553,410004,411407,410139,412450,416539,422173,428218,433667,435115,438826,443243,439710,436804,437782,445841,446584,450799,457212,449960,441067,421200,393275,371455,358739,367092,377869,381416,382545,392566,396148,402758,396753,402181,408369,412002,409833,411337,417242,419712,416760,418980,426364,426651,426234,429683,430397,434625,433922,434918,436577
"11","3","  Durable goods manufacturing industries","KP30D0",186861,193374,198851,200809,203260,202581,202840,211903,213286,215607,217267,219009,219736,223065,220409,217386,211565,205147,198850,196355,196538,201791,201637,198652,199578,198719,202478,205291,204966,204441,205335,208487,211096,214419,215232,223182,224092,221815,219167,221976,223759,228786,231876,229881,228333,223133,214510,193698,173929,165711,171928,177068,181112,185457,193990,194194,198273,197038,202754,206325,210966,213383,211197,212538,213717,214642,214312,217404,218264,220971,227567,225204,224554,226181,229484,226544
"12","4","    Wood product manufacturing","KP3210",7598,7683,7943,7837,8100,7957,7875,8196,8357,8463,8304,8428,8842,8327,8039,7863,7665,7856,7866,7761,7990,8061,8015,8072,7905,7867,8106,8212,7963,8285,8380,8323,8491,8578,8757,9403,9655,8825,8569,8637,8109,8215,8186,8008,7644,7231,6870,6240,5413,5416,5423,5449,5622,5751,5565,5756,5614,5664,5744,5823,5959,5846,5909,6034,6322,6196,6301,6416,6329,6822,6725,6536,6726,6567,6732,6924
"13","5","    Nonmetallic mineral product manufacturing","KP3270",9360,9655,9755,9695,9957,10253,10143,10284,10277,10172,10276,10465,10361,10336,10345,10114,9988,10063,9975,9840,9854,10103,9973,9749,9835,9950,10319,10061,9997,10281,10402,10517,10616,10779,10828,11174,11527,11052,10873,11018,11255,11248,10957,10685,10292,10170,9775,8698,7701,7286,7575,7363,7408,7720,7692,7535,7686,7602,7666,7974,7838,7901,7894,8053,8058,8192,8319,8348,8613,8832,8924,8884,8723,8498,8611,8601
"14","6","    Primary metal manufacturing","KP3310",18402,18600,18740,19084,19563,19162,18923,18697,18676,18663,18967,19158,18807,18262,17966,17499,16932,16594,16645,16305,16385,17033,16904,16646,16302,15922,15991,16658,17250,17339,17954,17996,18028,17897,18251,18806,18626,18411,18256,17886,18436,18352,18825,20083,19968,19126,18706,16566,13993,13042,14317,15367,16050,16608,17572,17336,17482,17624,18447,20138,20067,19495,19196,19330,19541,19786,20205,20513,20368,21044,21295,21043,20628,20521,20334,20299
"15","7","    Fabricated metal product manufacturing","KP3320",26996,27893,28124,28430,28729,28740,28862,28946,28869,28888,28935,29532,29954,30301,29938,29409,28825,28834,27552,26786,26732,27487,27423,27070,27129,26785,26775,26920,26635,26659,26839,27183,27597,28291,28238,29360,30114,29975,29425,29762,30517,31246,31252,31252,31325,31300,29769,27189,24370,22800,23169,23455,23646,24435,24646,25267,25817,25838,26406,27127,27565,27049,27039,27126,27394,27485,27435,27806,27992,28384,28821,28891,28570,28201,27971,27989
"16","8","    Machinery manufacturing","KP3330",27558,28503,29123,29879,29975,29951,28997,28850,28007,28547,28841,29688,29674,30292,30356,29850,29240,27534,26627,25465,25105,26046,26248,26134,25730,26188,25906,25785,25632,26355,27086,27704,28260,28435,28714,29686,29642,30020,30061,30596,29856,31934,31894,31324,31444,30923,30235,28866,25130,23605,23180,24180,24974,26346,26694,27703,28388,28876,30764,30885,31419,32155,31871,31570,31428,30411,29424,30317,30678,30772,32009,30997,30157,30537,30480,29743
"17","9","    Computer and electronic product manufacturing","KP3340",21696,22811,24098,23931,24214,24643,25079,26085,26538,27824,28840,28672,29644,31564,32549,32874,31309,27662,26079,25428,24826,24264,23732,22973,23542,24173,25126,26295,26046,26479,26850,27328,27652,27606,27947,28814,29902,29796,30009,29716,30602,31336,31466,32210,32920,32258,31264,29295,26832,25998,26907,27167,27975,27511,29155,29332,29647,29863,30156,30005,29995,30806,29706,29966,29291,28781,28558,29356,30032,30163,30662,29883,30213,31167,31467,31927
"18","10","    Electrical equipment, appliance, and component manufacturing","KP3350",11103,11426,11565,11879,11968,11763,11958,11997,11984,12126,12373,12297,12801,12850,12811,12888,12730,12200,11200,10643,10514,10814,10472,10555,10349,10155,10287,10602,10396,10456,10705,10702,10731,10687,10956,11090,10966,10916,10763,10776,11294,11381,11278,11228,11202,11197,11100,10086,9057,8748,8627,8746,8709,8925,9051,9378,9457,9447,9607,9613,9845,9829,9652,9645,9830,9805,9639,9631,9752,9828,10104,10071,9990,9786,9761,9563
"19","11","    Transportation equipment manufacturing","KP3360",50655,52900,54897,55506,55671,54834,55079,62251,63159,63041,62480,62645,61198,60924,57471,55603,54375,55771,54680,56135,56596,59369,60199,58774,60040,59010,60497,60818,61536,59139,57756,58462,59030,61453,61018,63820,62248,61556,59966,62714,63204,64964,67657,64183,62972,60278,56855,48151,44135,41930,45706,48427,49524,50832,56331,54656,56661,54684,56565,56962,60429,62688,62342,63183,63902,65763,65768,66174,65738,66078,69776,69311,69963,71409,74322,71430
"20","12","      Motor vehicle and parts manufacturing","KP3MV0",34829,35455,37291,37873,37402,36568,36330,41580,42969,43117,42866,43375,43161,41663,39460,37988,36606,37527,36179,37651,38316,41964,42738,41562,42942,42235,43497,43774,44255,42419,41169,42240,42204,43384,43637,44289,44457,44005,41791,43382,42709,43517,45073,41520,40039,36908,34447,28900,24149,22412,26111,28418,29501,31770,36088,35304,36906,35113,36499,36728,38372,40693,40098,39779,41498,42573,42326,42659,42115,42649,44993,44400,44935,46568,48801,47390
"21","13","      Other transportation equipment manufacturing","KP3OT0",15903,17821,17840,17820,18634,18706,19309,21150,20446,20114,19764,19314,17868,19444,18144,17792,18070,18554,18943,18822,18543,17313,17329,17117,16917,16596,16786,16820,17058,16522,16431,15992,16653,17952,17209,19468,17643,17401,18081,19248,20451,21415,22556,22661,22946,23384,22414,19250,19985,19516,19595,20011,20027,19078,20278,19395,19813,19613,20116,20282,22095,22052,22292,23437,22464,23250,23495,23570,23671,23485,24840,24958,25078,24908,25600,24129
"22","14","    Furniture and related product manufacturing","KP3370",6834,6752,6793,6990,7288,7173,7415,7408,7615,7553,7526,7483,7438,7772,7748,7663,7504,7232,7237,7179,7378,7606,7602,7740,7554,7287,7534,7468,7466,7579,7656,7682,7850,7963,7815,8011,8037,7907,7666,7647,7597,7581,7670,7625,7273,7217,6851,6069,5277,5021,4989,4840,4865,4944,4887,4959,5132,5125,5009,4994,5169,5235,5244,5250,5312,5392,5410,5421,5372,5428,5475,5643,5622,5690,5816,5840
"23","15","    Miscellaneous durable goods manufacturing","KP3390",9962,10138,10108,10309,10612,10567,10595,10684,10955,10761,10738,10982,10823,11389,11596,11654,11510,11311,11273,10996,11586,12016,12204,12254,12133,11990,12214,12514,12214,12025,11921,12807,13057,13016,12934,13201,13411,13512,13652,13514,13063,12828,12960,13212,13164,13410,12935,12463,12030,11861,12048,12054,12274,12271,12269,12185,12347,12246,12232,12315,12260,12174,12092,12133,12266,12400,12756,12944,12988,13105,13300,13442,13526,13493,13664,13981
"24","16","  Nondurable goods manufacturing industries","KP30N0",205194,207862,209893,211345,212032,210416,210007,208594,210421,209411,210556,212533,211010,213476,212025,210040,209098,203141,205010,206876,207387,208201,207530,207731,204870,204988,208694,206951,205992,209083,212430,214845,218272,220309,220917,216491,220051,218807,218572,216659,223037,218689,219863,228168,222639,218852,207672,199775,197640,193054,195116,200711,200321,197337,199084,202327,204947,200421,200643,203347,202808,198814,202005,206315,207609,204125,206434,210636,210158,207506,205189,207862,212496,210292,208186,212613
"25","17","    Food manufacturing","KP3110",45258,45662,45945,46429,48013,47302,47222,47343,47634,47561,47614,47846,47251,48123,48342,48122,48911,47744,47698,48515,49222,48522,49088,50339,49626,50306,50979,49299,48291,48431,50391,50978,50921,50907,51196,50882,51305,51433,50925,51481,51238,51703,52566,52862,52016,52990,52160,51997,52702,52412,52189,51963,52798,51927,51445,51178,51907,51866,51437,51569,51200,51950,51716,51715,52093,52334,52674,53173,54390,53325,52792,53330,54507,54677,55172,55534
"26","18","    Beverage and tobacco product manufacturing","KP3120",12959,12939,13239,13610,13403,13374,13277,12616,12369,12213,11966,11943,12010,12172,12022,12157,12028,12209,12298,11751,10915,10477,10324,10144,10660,11086,11185,11003,10899,11263,11398,11372,11079,11983,12248,11973,11613,11776,11644,11569,11475,11920,11836,11459,10743,10992,11009,10901,10693,10791,10682,10498,10337,10573,11131,10750,10481,10915,10701,10797,10741,11148,11035,10876,10743,11321,11418,11125,10792,11033,11082,11101,10745,10991,10935,10935
"27","19","    Textile mills","KP3130",5336,5208,5153,5194,5364,5077,5071,5000,5009,5039,4950,5022,4896,4852,4801,4639,4504,4260,4135,4097,4159,4381,4405,4331,4246,4006,3991,3979,3823,3760,3832,3906,3988,3995,3727,3660,3593,3412,3342,3252,3278,3154,3058,2987,2831,2745,2676,2387,2137,2125,2204,2335,2373,2378,2365,2361,2391,2309,2290,2269,2322,2299,2295,2307,2347,2375,2390,2411,2358,2378,2369,2334,2333,2336,2356,2356
"28","20","    Textile product mills","KP3140",3009,3059,3118,3153,3116,3056,3051,3102,3162,3214,3278,3319,3419,3356,3265,3130,3137,3069,3145,3050,3085,3218,3061,3056,2918,2920,2992,3194,3251,3143,3169,3177,3221,3154,3240,3212,3174,3043,2898,2754,2624,2525,2476,2456,2405,2439,2298,2023,1860,1743,1757,1785,1800,1772,1717,1742,1776,1778,1758,1795,1798,1772,1735,1730,1800,1800,1803,1834,1687,1726,1736,1720,1750,1718,1746,1753
"29","21","    Apparel manufacturing","KP3150",5732,5902,6008,6012,5759,5674,5618,5415,5505,5425,5310,5231,5302,5184,5122,5038,5064,4808,4631,4219,3907,3717,3502,3354,3366,3390,3410,3185,2982,2859,2763,2723,2709,2749,2659,2743,2735,2810,2538,2389,2240,2050,1947,1844,1757,1696,1609,1393,1264,1157,1099,1128,1116,1136,1102,1088,1058,1042,1021,1057,1050,1013,1040,1017,1002,988,985,968,992,1045,1063,1128,1109,1062,1096,1099
"30","22","    Leather and allied product manufacturing","KP3160",1056,1042,1018,1004,1028,978,941,937,903,905,936,940,880,926,907,914,925,869,729,714,587,543,512,514,524,516,518,516,494,518,532,507,567,581,524,516,534,521,512,498,507,474,456,417,355,506,466,398,364,351,358,373,395,399,418,440,444,448,448,441,435,424,405,400,413,396,396,405,401,398,400,406,404,411,411,386
"31","23","    Paper manufacturing","KP3220",16396,16649,16562,16885,16717,16869,16755,16726,17015,16618,17063,17228,17135,16697,16433,16358,16038,15279,15860,15616,15369,15792,16148,15992,15949,15556,15190,15158,15592,15571,15462,15281,15754,15752,15081,15310,15501,15363,15036,15461,15425,15649,15665,15583,15397,15146,14889,13886,13398,13332,13506,13709,13853,13625,13720,13644,13864,13715,13619,13645,13640,13787,13912,13853,14014,13821,13806,13690,13782,14277,14479,14471,14186,14140,14150,14257
"32","24","    Printing and related support activities","KP3230",9514,9572,9574,9625,9645,9600,9693,9684,9767,9629,9703,9745,9659,9915,9780,9600,9682,9359,9159,8913,8791,8711,8825,8888,8690,8569,8335,8361,8305,8444,8480,8529,8682,8574,8600,8527,8539,8718,8634,8697,8753,8741,8756,8878,8598,8475,8020,7606,7228,6873,6844,6752,6821,6995,6863,6830,6867,6828,6704,6598,6477,6645,6635,6704,6749,6689,6567,6555,6606,6662,6688,6694,6764,6839,6875,6900
"33","25","    Petroleum and coal product manufacturing","KP3240",36083,37806,39506,37727,37077,38167,38535,37430,38393,37628,38199,39303,37799,37999,37561,37474,37125,36461,37293,41831,42482,39409,39146,37636,34257,37148,37518,38486,38397,39725,40003,40737,43223,44209,44113,40751,43286,41382,42190,40867,45517,39594,40304,46398,45555,42818,39037,40292,43351,39146,39834,43154,40895,38233,38290,40842,41756,37885,39010,41315,40896,37920,39783,42578,43439,40899,42322,44917,44853,43201,41787,43867,48311,45442,41896,46027
"34","26","    Chemical manufacturing","KP3250",51295,51675,51783,52232,52113,51434,50897,50633,50850,51221,51688,52018,52215,53428,53568,53002,52418,50629,50607,51232,52295,55229,54608,55099,55368,53343,56117,55853,56233,57675,58486,59739,60186,60512,61531,60880,61507,62530,63045,62366,64220,66085,66175,66979,64955,64097,60443,53969,51095,51209,52152,53830,54843,55583,57381,57973,58666,59575,58663,57666,57963,56905,57565,58161,57571,57077,57108,57630,56184,55631,55384,54957,54622,54788,55540,55913
"35","27","    Plastics and rubber product manufacturing","KP3260",16675,16974,17261,17754,17617,17541,17813,18034,18485,18372,18496,18927,18952,19347,18772,18270,17852,17220,18426,17999,18171,18604,18260,18262,18425,17996,18410,18311,18239,18458,18550,18585,18696,18656,18808,19216,19114,19067,18882,18581,18677,18796,18407,18422,17863,17767,16833,15352,14099,13898,14374,14769,15135,15304,15294,15516,15495,15423,15627,15848,16127,16068,16334,16444,16616,16465,16528,16682,16784,17060,17072,17058,16792,16769,16771,16644
"36","28","Merchant wholesale industries","KP42W0",222745,225916,229502,231281,237540,241321,244765,249133,254090,260981,265243,271020,271819,276310,278572,279492,279770,276185,278285,279025,281833,287247,289209,288038,287961,289994,294259,297772,303197,309295,311671,314970,319739,322706,326321,330550,334649,336285,340609,341132,341944,348212,348457,346872,344479,347527,338072,324739,309867,304815,308792,309732,311365,324071,330831,328229,329237,332626,338473,336659,341287,348801,347163,349147,351967,356188,357822,367959,366295,374142,377628,384515,384084,387837,390124,392756
"37","29","  Durable goods merchant wholesale industries","KP42WD0",92262,94437,96735,98256,101442,103539,104908,106286,110697,114281,117285,121121,122619,124030,125033,125073,124831,122590,122374,120983,122808,125490,126771,124936,125652,127630,130323,133778,137973,144121,144883,147953,150288,152625,155693,161239,164295,164788,168079,170751,171058,172072,172948,173725,173188,174368,168212,153846,139327,135424,139005,142666,145833,152761,157093,159021,162811,164015,171447,172662,176898,176731,177540,179462,182037,183039,183875,186339,186120,191983,194836,198449,194522,196232,197596,198126
