"","Table 1#3#4# Price Indexes for Gross Value Added by Sector","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Index numbers, 2009=100]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published October 29, 2015  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/4/2015 6:20:58 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","    Gross domestic product","A191RG3",9.9,9.519,8.578,7.6,7.396,7.757,7.913,8.009,8.303,8.151,8.049,8.123,8.656,9.375,9.821,10.055,10.308,11.603,12.903,13.629,13.622,13.746,14.675,14.996,15.19,15.346,15.566,16.101,16.663,17.05,17.277,17.516,17.709,17.927,18.129,18.407,18.744,19.271,19.831,20.674,21.691
"9","2","Business \1\","B195RG3",12.961,12.433,11.07,9.722,9.54,10.091,10.329,10.409,10.803,10.53,10.387,10.509,11.286,12.244,12.949,13.13,13.21,14.118,15.812,16.795,16.665,16.79,18.016,18.335,18.491,18.605,18.78,19.403,20.064,20.435,20.643,20.869,21.027,21.226,21.362,21.606,21.936,22.477,23.073,23.977,25.075
"10","3","  Nonfarm \2\","B358RG3",12.603,12.277,11.243,10.064,9.774,10.138,10.18,10.206,10.559,10.507,10.491,10.486,11.112,11.802,12.312,12.491,12.524,13.257,14.749,15.755,15.902,16.019,17.004,17.456,17.804,17.99,18.246,18.896,19.542,19.836,20.137,20.373,20.534,20.716,20.876,21.147,21.424,21.911,22.592,23.466,24.521
