"","Table 3#16# Government Current Expenditures by Function","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published November 04, 2015 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/26/2016 1:49:48 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"8","1","      Government \1\","W022RC1",283.5,317.5,352.4,385.9,416.6,468.3,543.5,582.4,630.5,692,765.1,880.2,1000.3,1110.3,1205.4,1285.9,1391.8,1484.5,1557.2,1646.9,1780.6,1920.2,2034.6,2218.4,2301.4,2377.2,2495.1,2578.3,2654.5,2719.6,2832.2,2971.8,3174,3363.3,3572.2,3777.9,4040.3,4274.3,4547.2,4916.6,5220.3,5502.5,5592.2,5623.1,5655.7,5794.6
"9","2","General public service","G160021",47.4,56.8,62.9,69.4,77.8,88.9,100.2,109.7,120.6,138.7,156.6,179.9,211.3,240.6,265.1,300.6,334.9,354.7,366.9,387.6,422.2,447.4,434.2,495.6,499.7,511.1,546.2,554.8,562.6,561.6,554.3,559,557.3,562.9,594.7,617.8,679.9,723.4,776.1,777.7,819.8,855,900,906,895.3,904.8
"10","3","  Executive and legislative","G160031",5.1,6.1,7.5,8.6,8.2,9.6,11.7,12.6,12.6,13.1,14.4,16.6,16.7,19.2,18.6,22.1,25.8,27.6,26.4,26.8,27.9,30.7,-6.8,39.1,40.2,39.8,36.8,41.1,39.9,42.2,44.2,50.1,47.5,58.4,67.6,78.4,90.6,87.9,100.1,107.9,119.3,121.3,129.8,126.7,122.5,123.4
"11","4","  Tax collection and financial management","G160041",4.4,5.1,5.5,6,6.3,7.2,8.3,8.3,9.5,10.2,10.5,11.1,11.6,13.4,16.3,16.4,20.6,21.6,22,24.4,25.8,26.9,28.6,31.2,29.9,31.2,32.1,31.5,33.8,34.4,37.8,36.7,40.8,40.9,41.1,42.5,43.3,44,45.4,52.3,51.8,53.6,48.1,48.9,48.9,49.7
