"","Table 6#19B# Corporate Profits After Tax by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"1","[Millions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 06, 2015   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/26/2016 2:04:47 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987
"8","1","      Corporate profits after tax","A055RC0",56675,51506,61106,73544,96158,108742,103127,130926,154052,185552,211126,195568,192286,165828,183239,200709,190243,156519,200350
"9","2","Domestic industries","A3202C0",50080,44406,53251,64010,81260,91273,88496,114378,134939,162683,176515,160097,162607,133241,148183,164141,152145,117045,152340
"10","3","  Agriculture, forestry, and fishing","A3203BC0",116,-10,95,335,626,256,558,496,383,945,890,275,59,-18,-280,-126,-383,1092,1342
"11","4","    Farms","B3204BC0",43,-60,7,194,507,121,433,283,180,679,587,97,-140,-135,-298,-318,-527,536,500
"12","5","    Agricultural services, forestry, and fishing","B3205BC0",74,50,88,140,119,135,125,214,203,266,303,178,199,116,18,192,144,556,842
