TABLE 1A.  ESTIMATED ADVANCE MONTHLY SALES FOR RETAIL AND FOOD SERVICES--July 2001

Adjusted for Seasonal, Holiday and Trading-day Differences
                 (Millions of dollars)


                                                                     2001     2001     2001     2000     2000
   NAICS                       Kind of business                      Jul      Jun      May
   code                                                              adv.     prel.    final    Jul(r)   Jun(r)

                Retail & food services, total....................   291,672  291,603  291,691  283,308  281,701

                 Total (excl. motor vehicle & parts)............    220,162  219,737  220,170  213,826  212,952

                   Retail .......................................   264,550  264,751  265,022  257,733  256,316

                GAFO.............................................       (*)   74,477   74,288   73,313   72,782

   441          Motor vehicle & parts dealers....................    71,510   71,866   71,521   69,482   68,749
   4411,4412     Auto & other motor veh. dealers.................    65,348   65,704   65,407   63,392   62,607

   442          Furniture & home furnishings stores..............     7,697    7,666    7,648    7,732    7,685

   443          Electronics & appliance stores....................    7,308    7,258    7,133    7,146    7,166
   44311         Appl., T.V., &  camera..........................       (*)    5,202    5,119    4,945    4,995
   44312         Computer & software stores......................       (*)    2,056    2,014    2,201    2,171

   444          Building material & garden eq. & supplies dealers    24,506   24,526   24,550   22,901   22,971
   4441          Building mat. & supplies dealers................       (*)   21,345   21,309   19,862   19,897

   445          Food & beverage stores...........................    40,088   39,990   39,975   38,937   38,994
   4451          Grocery stores..................................    36,220   36,109   36,138   35,286   35,378
   4453          Beer, wine & liquor stores......................       (*)    2,518    2,499    2,405    2,394

   446          Health & personal care stores....................    14,529   14,293   14,241   13,205   13,094
   44611         Pharmacies & drug stores........................       (*)   12,294   12,217   11,289   11,110

   447          Gasoline stations................................    19,890   20,756   21,531   20,659   20,495

   448          Clothing & clothing accessories stores...........    14,225   14,093   14,160   13,925   13,943
   44811         Men's clothing stores...........................       (*)      885      883      897      866
   44812         Women's clothing stores.........................       (*)    2,539    2,557    2,707    2,703
   4482          Shoe stores.....................................       (*)    1,815    1,830    1,821    1,813

   451          Sporting goods, hobby, book & music stores.......     7,169    7,085    7,037    6,741    6,641

   452          General merchandise stores.......................    34,998   34,702   34,591   34,216   33,842
   4521          Department stores (ex. L.D.)....................    19,798   19,708   19,581   19,740   19,616
   4521          Department stores (incl. L.D.)..................       (*)     (NA)     (NA)     (NA)     (NA)
   4529          Other general merchandise stores................       (*)   14,994   15,010   14,476   14,226
   45291          Warehouse clubs & superstores..................       (*)   11,921   11,888   11,574   11,412
   45299          All other gen. merchandise stores..............       (*)    3,073    3,122    2,902    2,814

   453          Miscellaneous store retailers....................     9,592    9,510    9,538    9,020    8,906

   454          Nonstore retailers...............................    13,038   13,006   13,097   13,769   13,830
   4541          Electronic shopping & mail-order houses.........       (*)    9,118    9,139    9,368    9,372

   722          Food services & drinking places..................    27,122   26,852   26,669   25,575   25,385
 
 
 
