TABLE 1A.  ESTIMATED MONTHLY SALES FOR RETAIL AND FOOD SERVICES, BY KIND OF BUSINESS--June 2005

(Total sales estimates are shown in millions of dollars and are based on data from the Advance Monthly Retail Trade Survey,
 Monthly Retail Trade Survey, and administrative records.)(2)

                 (In Millions of dollars)


                                                                     2005     2005     2005     2004     2004
   NAICS(1)                    Kind of Business                      Jun(3)   May      Apr      Jun      May
   Code                                                              (a)      (p)      (r)      (r)      (r)

                Retail & food services, total....................   350,775  345,072  346,081  320,016  324,439

                 Total (excl. motor vehicle &  parts)............   270,235  268,238  268,207  249,542  249,368

                   Retail .......................................   317,036  311,451  312,363  288,670  293,227

                GAFO(4)..........................................       (*)   88,007   88,011   83,172   83,537

   441          Motor vehicle & parts dealers....................    80,540   76,834   77,874   70,474   75,071
   4411,4412     Auto & other motor veh. dealers.................    74,541   70,876   71,826   64,966   69,534

   442          Furniture & home furnishings stores..............     8,973    8,889    8,887    8,609    8,374

   443          Electronics & appliance stores....................    8,291    8,276    8,277    7,889    7,828
   44311,13      Appl., T.V. &  camera...........................       (*)    6,698    6,698    6,359    6,303
   44312         Computer & software stores......................       (*)    1,578    1,579    1,530    1,525

   444          Building material & garden eq. & supplies dealers    27,612   27,555   27,349   25,261   25,074
   4441          Building mat. & supplies dealers................       (*)   24,328   24,280   22,503   22,265

   445          Food & beverage stores...........................    43,429   43,262   43,158   41,272   41,227
   4451          Grocery stores..................................    38,876   38,731   38,626   37,081   37,049
   4453          Beer, wine & liquor stores......................       (*)    2,792    2,783    2,655    2,656

   446          Health & personal care stores....................    18,095   18,137   17,978   17,118   16,907
   44611         Pharmacies & drug stores........................       (*)   15,566   15,411   14,663   14,460

   447          Gasoline stations................................    30,946   30,366   30,531   26,631   26,726

   448          Clothing & clothing accessories stores...........    16,780   16,622   16,765   15,602   15,704
   44811         Men's clothing stores...........................       (*)      840      829      768      769
   44812         Women's clothing stores.........................       (*)    3,104    3,099    2,921    2,914
   4482          Shoe stores.....................................       (*)    2,005    2,012    1,933    1,957

   451          Sporting goods, hobby, book & music stores.......     6,887    6,862    6,825    6,573    6,555

   452          General merchandise stores.......................    44,602   44,072   44,018   41,247   41,850
   4521          Department stores (ex. L.D.)....................    18,151   17,919   18,063   17,753   17,984
   4521          Department stores (incl. L.D.)(5)...............       (*)     (NA)     (NA)     (NA)     (NA)
   4529          Other general merchandise stores................       (*)   26,153   25,955   23,494   23,866
   45291          Warehouse clubs & superstores..................       (*)   22,734   22,557   20,272   20,590
   45299          All other gen. merchandise stores..............       (*)    3,419    3,398    3,222    3,276

   453          Miscellaneous store retailers....................     9,471    9,520    9,396    8,868    9,085

   454          Nonstore retailers...............................    21,410   21,056   21,305   19,126   18,826
   4541          Electronic shopping & mail-order houses.........       (*)   13,368   13,252   12,198   12,369

   722          Food services & drinking places..................    33,739   33,621   33,718   31,346   31,212
 
 


        TABLE 1B.  ESTIMATED MONTHLY SALES FOR RETAIL AND FOOD SERVICES, BY KIND OF BUSINESS--June 2005

Data not adjusted for seasonal variations, holiday, trading-day differences, and price changes.
                 (In Millions of dollars and Annual Percent Change)

                                                                       6 month total
                                                                                 % Chg.   2005     2005     2005     2004     2004
   NAICS(1)                    Kind of Business                        2005       from    Jun(2)   May      Apr      Jun      May
   Code                                                                           2004    (a)      (p)      (r)      (r)      (r)

                Retail & food services, total....................   2,002,633      7.2   359,471  353,359  343,199  325,584  332,446

                 Total (excl. motor vehicle &  parts)............   1,537,887      7.5   270,821  272,549  263,115  248,937  253,704

                   Retail .......................................   1,804,640      7.2   325,023  318,528  308,840  293,642  299,767

                GAFO(3)..........................................         (*)       (*)      (*)   84,551   81,399   78,458   81,116

   441          Motor vehicle & parts dealers....................     464,746      6.3    88,650   80,810   80,084   76,647   78,742
   4411,4412     Auto & other motor veh. dealers.................     429,078      6.1    82,219   74,703   73,909   70,748   73,150
   44111          New car dealers................................         (*)       (*)      (*)   60,615   59,651   58,727   60,776
   4413          Auto parts, acc. & tire stores..................         (*)       (*)      (*)    6,107    6,175    5,899    5,592

   442          Furniture & home furnishings stores..............      50,312      3.6     8,803    8,605    8,354    8,463    8,140
   4421          Furniture stores................................         (*)       (*)      (*)    4,651    4,609    4,661    4,542
   4422          Home furnishings stores.........................         (*)       (*)      (*)    3,954    3,745    3,802    3,598

   443          Electronics & appliance stores....................     45,223      5.6     7,788    7,556    7,111    7,419    7,149
   44311,13      Appl., T.V. &  camera...........................         (*)       (*)      (*)    6,142    5,680    5,952    5,786
   44312         Computer & software stores......................         (*)       (*)      (*)    1,414    1,431    1,467    1,363

   444          Building material & garden eq. & supplies dealers     163,050      9.4    31,969   32,576   30,433   29,296   28,965
   4441          Building mat. & supplies dealers................         (*)       (*)      (*)   26,858   25,421   25,316   24,024

   445          Food & beverage stores...........................     252,837      4.4    43,612   44,072   41,943   41,110   42,544
   4451          Grocery stores..................................     227,732      4.1    39,032   39,506   37,622   36,933   38,272
   4453          Beer, wine & liquor stores......................         (*)       (*)      (*)    2,747    2,672    2,618    2,659

   446          Health & personal care stores....................     106,957      5.6    17,860   18,318   17,780   16,913   17,025
   44611         Pharmacies & drug stores........................         (*)       (*)      (*)   15,691   15,180   14,443   14,561

   447          Gasoline stations................................     176,670     16.3    32,555   31,854   31,203   27,963   28,143

   448          Clothing & clothing accessories stores...........      89,027      5.4    15,529   16,006   15,736   14,214   15,357
   44811         Men's clothing stores...........................         (*)       (*)      (*)      792      761      723      741
   44812         Women's clothing stores.........................         (*)       (*)      (*)    3,175    3,186    2,801    3,033
   44814         Family clothing stores..........................         (*)       (*)      (*)    5,851    5,859    5,189    5,532
   4482          Shoe stores.....................................         (*)       (*)      (*)    2,011    2,060    1,829    2,016

   451          Sporting goods, hobby, book & music stores.......      35,876      2.0     6,295    5,977    5,972    6,060    5,736

   452          General merchandise stores.......................     243,735      6.0    43,259   43,333   41,393   39,393   41,780
   4521          Department stores (ex. L.D.)....................      96,236      0.0    17,045   16,913   16,633   16,286   17,482
   4521          Department stores (incl. L.D.)(4)...............         (*)       (*)      (*)   17,098   16,804   16,511   17,730
   4529          Other general merchandise stores................         (*)       (*)      (*)   26,420   24,760   23,107   24,298
   45291          Warehouse clubs & superstores..................         (*)       (*)      (*)   22,984   21,542   19,988   21,002
   45299          All other gen. merchandise stores..............         (*)       (*)      (*)    3,436    3,218    3,119    3,296

   453          Miscellaneous store retailers....................      54,035      5.5     9,443    9,974    8,851    8,835    9,333

