TABLE 1A.  ESTIMATED MONTHLY SALES FOR RETAIL AND FOOD SERVICES, BY KIND OF BUSINESS--July 2005

(Total sales estimates are shown in millions of dollars and are based on data from the Advance Monthly Retail Trade Survey,
 Monthly Retail Trade Survey, and administrative records.)(2)

                 (In Millions of dollars)


                                                                     2005     2005     2005     2004     2004
   NAICS(1)                    Kind of Business                      Jul(3)   Jun      May      Jul      Jun
   Code                                                              (a)      (p)      (r)      (r)      (r)

                Retail & food services, total....................   357,013  350,801  344,933  323,604  319,926

                 Total (excl. motor vehicle &  parts)............   271,396  270,576  268,253  250,977  249,342

                   Retail .......................................   323,245  317,092  311,296  291,912  288,580

                GAFO(4)..........................................       (*)   88,902   87,969   84,031   83,106

   441          Motor vehicle & parts dealers....................    85,617   80,225   76,680   72,627   70,584
   4411,4412     Auto & other motor veh. dealers.................    79,568   74,168   70,717   67,064   65,086

   442          Furniture & home furnishings stores..............     8,948    9,066    8,875    8,820    8,592

   443          Electronics & appliance stores....................    8,410    8,328    8,291    7,880    7,897
   44311,13      Appl., T.V. &  camera...........................       (*)    6,748    6,707    6,312    6,359
   44312         Computer & software stores......................       (*)    1,580    1,584    1,568    1,538

   444          Building material & garden eq. & supplies dealers    27,402   27,512   27,427   25,270   25,225
   4441          Building mat. & supplies dealers................       (*)   24,390   24,298   22,410   22,463

   445          Food & beverage stores...........................    43,301   43,323   43,200   41,344   41,230
   4451          Grocery stores..................................    38,722   38,754   38,656   37,149   37,044
   4453          Beer, wine & liquor stores......................       (*)    2,831    2,799    2,657    2,647

   446          Health & personal care stores....................    18,208   18,092   18,136   17,070   17,118
   44611         Pharmacies & drug stores........................       (*)   15,482   15,533   14,607   14,693

   447          Gasoline stations................................    31,898   31,161   30,557   26,523   26,657

   448          Clothing & clothing accessories stores...........    16,726   16,805   16,629   15,653   15,576
   44811         Men's clothing stores...........................       (*)      852      837      785      768
   44812         Women's clothing stores.........................       (*)    3,131    3,092    2,891    2,924
   4482          Shoe stores.....................................       (*)    2,000    2,004    1,938    1,935

   451          Sporting goods, hobby, book & music stores.......     6,813    6,778    6,831    6,736    6,609

   452          General merchandise stores.......................    44,600   44,599   44,036   41,696   41,213
   4521          Department stores (ex. L.D.)....................    17,968   18,147   17,897   17,867   17,726
   4521          Department stores (incl. L.D.)(5)...............       (*)     (NA)     (NA)     (NA)     (NA)
   4529          Other general merchandise stores................       (*)   26,452   26,139   23,829   23,487
   45291          Warehouse clubs & superstores..................       (*)   23,006   22,734   20,570   20,272
   45299          All other gen. merchandise stores..............       (*)    3,446    3,405    3,259    3,215

   453          Miscellaneous store retailers....................     9,710    9,570    9,565    8,877    8,833

   454          Nonstore retailers...............................    21,612   21,633   21,069   19,416   19,046
   4541          Electronic shopping & mail-order houses.........       (*)   13,551   13,335   12,299   12,172

   722          Food services & drinking places..................    33,768   33,709   33,637   31,692   31,346
 
 
 
 

TABLE 1B.  ESTIMATED MONTHLY SALES FOR RETAIL AND FOOD SERVICES, BY KIND OF BUSINESS--July 2005

Data not adjusted for seasonal variations, holiday, trading-day differences, and price changes.
                 (In Millions of dollars and Annual Percent Change)

                                                                       7 month total
                                                                                 % Chg.   2005     2005     2005     2004     2004
   NAICS(1)                    Kind of Business                        2005       from    Jul(2)   Jun      May      Jul      Jun
   Code                                                                           2004    (a)      (p)      (r)      (r)      (r)

                Retail & food services, total....................   2,363,105      7.3   360,496  359,512  353,294  333,020  325,584

                 Total (excl. motor vehicle &  parts)............   1,808,037      7.4   269,599  271,410  272,511  252,710  248,937

                   Retail .......................................   2,129,298      7.4   324,702  325,095  318,412  299,236  293,642

                GAFO(3)..........................................         (*)       (*)      (*)   84,773   84,574   80,227   78,458

   441          Motor vehicle & parts dealers....................     555,068      7.2    90,897   88,102   80,783   80,310   76,647
   4411,4412     Auto & other motor veh. dealers.................     513,078      7.2    84,660   81,585   74,677   74,374   70,748
   44111          New car dealers................................         (*)       (*)      (*)   66,778   60,595   62,452   58,727
   4413          Auto parts, acc. & tire stores..................         (*)       (*)      (*)    6,517    6,106    5,936    5,899

   442          Furniture & home furnishings stores..............      59,302      3.3     8,841    8,939    8,618    8,873    8,463
   4421          Furniture stores................................         (*)       (*)      (*)    4,835    4,661    4,936    4,661
   4422          Home furnishings stores.........................         (*)       (*)      (*)    4,104    3,957    3,937    3,802

   443          Electronics & appliance stores....................     53,124      5.7     7,888    7,803    7,554    7,446    7,419
   44311,13      Appl., T.V. &  camera...........................         (*)       (*)      (*)    6,289    6,144    5,952    5,952
   44312         Computer & software stores......................         (*)       (*)      (*)    1,514    1,410    1,494    1,467

   444          Building material & garden eq. & supplies dealers     191,058      8.5    28,237   31,906   32,410   26,974   29,296
   4441          Building mat. & supplies dealers................         (*)       (*)      (*)   27,439   26,849   24,068   25,316

   445          Food & beverage stores...........................     297,498      4.2    44,664   43,592   44,089   43,223   41,110
   4451          Grocery stores..................................     267,571      3.9    39,884   38,987   39,506   38,784   36,933
   4453          Beer, wine & liquor stores......................         (*)       (*)      (*)    2,831    2,749    2,840    2,618

   446          Health & personal care stores....................     124,578      5.5    17,625   17,857   18,317   16,848   16,913
   44611         Pharmacies & drug stores........................         (*)       (*)      (*)   15,234   15,688   14,329   14,443

   447          Gasoline stations................................     211,141     16.8    34,290   32,688   31,902   28,857   27,963

   448          Clothing & clothing accessories stores...........     104,415      5.4    15,335   15,574   16,014   14,636   14,214
   44811         Men's clothing stores...........................         (*)       (*)      (*)      816      792      706      723
   44812         Women's clothing stores.........................         (*)       (*)      (*)    3,062    3,175    2,616    2,801
   44814         Family clothing stores..........................         (*)       (*)      (*)    5,849    5,849    5,693    5,189
   4482          Shoe stores.....................................         (*)       (*)      (*)    1,912    2,010    1,952    1,829

   451          Sporting goods, hobby, book & music stores.......      41,956      1.5     6,241    6,134    5,977    6,177    6,060

   452          General merchandise stores.......................     286,636      6.2    42,846   43,314   43,333   40,111   39,393
   4521          Department stores (ex. L.D.)....................     112,720      0.1    16,421   17,108   16,913   16,440   16,286
   4521          Department stores (incl. L.D.)(4)...............         (*)       (*)      (*)   17,292   17,098   16,651   16,511
   4529          Other general merchandise stores................         (*)       (*)      (*)   26,206   26,420   23,671   23,107
   45291          Warehouse clubs & superstores..................         (*)       (*)      (*)   22,822   22,984   20,549   19,988
   45299          All other gen. merchandise stores..............         (*)       (*)      (*)    3,384    3,436    3,122    3,119

   453          Miscellaneous store retailers....................      63,538      5.9     9,328    9,624    9,968    8,749    8,835

   454          Nonstore retailers...............................     140,984     11.8    18,510   19,562   19,447   17,032   17,329
