TABLE 1A.  ESTIMATED MONTHLY SALES FOR RETAIL AND FOOD SERVICES, BY KIND OF BUSINESS--February 2007

(Total sales estimates are shown in millions of dollars and are based on data from the Advance Monthly Retail Trade Survey,
 Monthly Retail Trade Survey, and administrative records.)(2)

                 (In Millions of dollars)


                                                                     2007     2007     2006     2006     2006
   NAICS(1)                    Kind of Business                      Feb(3)   Jan      Dec      Feb      Jan
   Code                                                              (a)      (p)      (r)      (r)      (r)

                Retail & food services, total....................   370,495  370,169  370,314  358,926  362,063

                 Total (excl. motor vehicle &  parts)............   292,712  293,066  292,512  284,004  284,141

                   Retail .......................................   333,999  333,218  332,967  324,051  326,799

                GAFO(4)..........................................       (*)   96,914   95,804   92,494   92,741

   441          Motor vehicle & parts dealers....................    77,783   77,103   77,802   74,922   77,922
   4411,4412     Auto & other motor veh. dealers.................    71,646   70,929   71,492   68,569   71,521

   442          Furniture & home furnishings stores..............    10,207   10,380   10,053    9,842    9,977

   443          Electronics & appliance stores....................    9,150    9,180    9,427    8,785    8,992
   44311,13      Appl., T.V. &  camera...........................       (*)    7,499    7,464    7,212    7,395
   44312         Computer & software stores......................       (*)    1,681    1,963    1,573    1,597

   444          Building material & garden eq. & supplies dealers    28,628   29,034   29,095   30,621   30,431
   4441          Building mat. & supplies dealers................       (*)   25,379   25,376   27,161   26,898

   445          Food & beverage stores...........................    47,006   46,705   46,615   44,660   44,286
   4451          Grocery stores..................................    41,644   41,409   41,258   39,639   39,292
   4453          Beer, wine & liquor stores......................       (*)    3,305    3,287    3,141    3,102

   446          Health & personal care stores....................    19,292   19,284   19,243   18,190   18,033
   44611         Pharmacies & drug stores........................       (*)   16,382   16,240   15,080   14,979

   447          Gasoline stations................................    34,749   34,342   34,511   34,528   35,146

   448          Clothing & clothing accessories stores...........    18,354   18,685   18,234   17,441   17,524
   44811         Men's clothing stores...........................       (*)      875      843      780      772
   44812         Women's clothing stores.........................       (*)    3,304    3,314    3,164    3,268
   4482          Shoe stores.....................................       (*)    2,210    2,197    2,171    2,218

   451          Sporting goods, hobby, book & music stores.......     7,063    7,123    7,067    7,315    7,343

   452          General merchandise stores.......................    47,443   47,743   47,234   45,581   45,420
   4521          Department stores (ex. L.D.)....................    17,633   17,915   17,742   17,908   17,994
   4521          Department stores (incl. L.D.)(5)...............       (*)     (NA)     (NA)     (NA)     (NA)
   4529          Other general merchandise stores................       (*)   29,828   29,492   27,673   27,426
   45291          Warehouse clubs & supercenters.................       (*)   26,232   25,972   24,218   23,916
   45299          All other gen. merchandise stores..............       (*)    3,596    3,520    3,455    3,510

   453          Miscellaneous store retailers....................    10,015    9,984   10,148    9,876    9,870

   454          Nonstore retailers...............................    24,309   23,655   23,538   22,290   21,855
   4541          Electronic shopping & mail-order houses.........       (*)   15,793   15,955   14,638   14,595

   722          Food services & drinking places..................    36,496   36,951   37,347   34,875   35,264
 
 
 
