TABLE 1A.  ESTIMATED MONTHLY SALES FOR RETAIL AND FOOD SERVICES, BY KIND OF BUSINESS--December 2007

Estimates adjusted for seasonal variations and holiday and trading-day differences, but not for price changes.
(Total sales estimates are shown in millions of dollars and are based on data from the Advance Monthly Retail Trade Survey, Monthly Retail Trade Survey, and administrative records.)(2)

                 (In Millions of dollars)


                                                                     2007     2007     2007     2006     2006
   NAICS(1)                    Kind of Business                      Dec(3)   Nov      Oct      Dec      Nov
   Code                                                              (a)      (p)      (r)      (r)      (r)

                Retail & food services, total....................   382,928  384,342  380,349  367,929  363,067

                 Total (excl. motor vehicle &  parts)............   305,803  306,904  301,775  290,724  286,792

                   Retail .......................................   344,880  346,352  342,295  330,700  326,885

                GAFO(4)..........................................       (*)   99,469   98,396   96,214   95,168

   441          Motor vehicle & parts dealers....................    77,125   77,438   78,574   77,205   76,275
   4411,4412     Auto & other motor veh. dealers.................    70,826   71,061   72,063   70,977   70,170

   442          Furniture & home furnishings stores..............    10,267   10,201   10,207   10,209   10,215

   443          Electronics & appliance stores....................    9,588    9,770    9,460    9,394    9,246
   44311,13      Appl., T.V. &  camera...........................       (*)    7,919    7,625    7,426    7,375
   44312         Computer & software stores......................       (*)    1,851    1,835    1,968    1,871

   444          Building material & garden eq. & supplies dealers    28,675   29,523   29,055   29,683   28,957
   4441          Building mat. & supplies dealers................       (*)   25,308   25,037   26,024   25,563

   445          Food & beverage stores...........................    49,100   48,767   48,423   46,312   46,058
   4451          Grocery stores..................................    43,751   43,416   43,084   41,213   40,967
   4453          Beer, wine & liquor stores......................       (*)    3,414    3,408    3,234    3,224

   446          Health & personal care stores....................    20,080   19,933   19,898   19,327   19,440
   44611         Pharmacies & drug stores........................       (*)   16,646   16,684   16,369   16,471

   447          Gasoline stations................................    38,767   39,427   36,648   32,717   31,628

   448          Clothing & clothing accessories stores...........    18,689   19,068   18,759   18,370   18,084
   44811         Men's clothing stores...........................       (*)      (S)      (S)      (S)      (S)
   44812         Women's clothing stores.........................       (*)    3,450    3,410    3,392    3,263
   4482          Shoe stores.....................................       (*)    2,281    2,212    2,298    2,293

   451          Sporting goods, hobby, book & music stores.......     7,474    7,626    7,542    7,204    7,132

   452          General merchandise stores.......................    48,951   48,790   48,369   47,141   46,553
   4521          Department stores (ex. L.D.)....................    17,287   17,352   17,273   17,691   17,592
   4521          Department stores (incl. L.D.)(5)...............       (*)     (NA)     (NA)     (NA)     (NA)
   4529          Other general merchandise stores................       (*)   31,438   31,096   29,450   28,961
   45291          Warehouse clubs & supercenters.................       (*)   27,844   27,502   25,906   25,442
   45299          All other gen. merchandise stores..............       (*)    3,594    3,594    3,544    3,519

   453          Miscellaneous store retailers....................    10,405   10,297   10,371   10,168   10,163

   454          Nonstore retailers...............................    25,759   25,512   24,989   22,970   23,134
   4541          Electronic shopping & mail-order houses.........       (*)   17,137   16,908   15,892   15,623

   722          Food services & drinking places..................    38,048   37,990   38,054   37,229   36,182
 
 
 
