TABLE 1A.  ESTIMATED MONTHLY SALES FOR RETAIL AND FOOD SERVICES, BY KIND OF BUSINESS--April 2008

Estimates adjusted for seasonal variations and holiday and trading-day differences, but not for price changes.
(Total sales estimates are shown in millions of dollars and are based on data from the Advance Monthly Retail Trade Survey, Monthly Retail Trade Survey, and administrative records.)(2)

                 (In Millions of dollars)


                                                                     2008     2008     2008     2007     2007
   NAICS(1)                    Kind of Business                      Apr(3)   Mar      Feb      Apr      Mar
   Code                                                              (a)      (p)      (r)      (r)      (r)

                Retail & food services, total....................   378,148  378,852  378,106  370,636  371,322

                 Total (excl. motor vehicle &  parts)............   306,191  304,815  303,690  293,041  294,134

                   Retail .......................................   340,219  341,247  340,599  334,219  334,880

                GAFO(4)..........................................       (*)   97,827   97,551   95,920   97,276

   441          Motor vehicle & parts dealers....................    71,957   74,037   74,416   77,595   77,188
   4411,4412     Auto & other motor veh. dealers.................    65,628   67,677   68,047   71,323   70,850

   442          Furniture & home furnishings stores..............     9,505    9,494    9,476   10,019   10,037

   443          Electronics & appliance stores....................    9,511    9,377    9,372    9,142    9,161
   44311,13      Appl., T.V. &  camera...........................       (*)    7,549    7,538    7,300    7,335
   44312         Computer & software stores......................       (*)    1,828    1,834    1,842    1,826

   444          Building material & garden eq. & supplies dealers    27,126   26,608   27,020   27,686   28,765
   4441          Building mat. & supplies dealers................       (*)   22,862   23,238   24,575   25,175

   445          Food & beverage stores...........................    48,784   48,546   48,179   46,151   45,997
   4451          Grocery stores..................................    43,799   43,540   43,217   41,277   41,059
   4453          Beer, wine & liquor stores......................       (*)    3,423    3,397    3,216    3,254

   446          Health & personal care stores....................    20,286   20,208   20,220   19,710   19,602
   44611         Pharmacies & drug stores........................       (*)   16,764   16,796   16,548   16,471

   447          Gasoline stations................................    41,719   41,902   41,243   35,858   35,218

   448          Clothing & clothing accessories stores...........    19,020   18,892   18,752   18,458   19,008
   44811         Men's clothing stores...........................       (*)      (S)      (S)      (S)      (S)
   44812         Women's clothing stores.........................       (*)    3,343    3,359    3,305    3,377
   4482          Shoe stores.....................................       (*)    2,195    2,224    2,165    2,274

   451          Sporting goods, hobby, book & music stores.......     7,428    7,395    7,346    7,229    7,295

   452          General merchandise stores.......................    49,327   49,103   49,065   47,323   47,950
   4521          Department stores (ex. L.D.)....................    16,968   16,989   17,050   17,363   17,807
   4521          Department stores (incl. L.D.)(5)...............       (*)     (NA)     (NA)     (NA)     (NA)
   4529          Other general merchandise stores................       (*)   32,114   32,015   29,960   30,143
   45291          Warehouse clubs & supercenters.................       (*)   28,470   28,324   26,385   26,493
   45299          All other gen. merchandise stores..............       (*)    3,644    3,691    3,575    3,650

   453          Miscellaneous store retailers....................     9,679    9,796    9,762    9,775    9,950

   454          Nonstore retailers...............................    25,877   25,889   25,748   25,273   24,709
   4541          Electronic shopping & mail-order houses.........       (*)   17,701   17,673   17,334   17,306

   722          Food services & drinking places..................    37,929   37,605   37,507   36,417   36,442
 

 
