TABLE 1A.  ESTIMATED MONTHLY SALES FOR RETAIL AND FOOD SERVICES, BY KIND OF BUSINESS--February 2010

Estimates adjusted for seasonal variations and holiday and trading-day differences, but not for price changes.
(Total sales estimates are shown in millions of dollars and are based on data from the Advance Monthly Retail Trade Survey, Monthly Retail Trade Survey, and administrative records.)(2)

                 (In Millions of dollars)


                                                                     2010     2010     2009     2009     2009
   NAICS(1)                    Kind of Business                      Feb(3)   Jan      Dec      Feb      Jan
   Code                                                              (a)      (p)      (r)      (r)      (r)

                Retail & food services, total....................   355,546  354,339  353,817  342,356  340,439

                 Total (excl. motor vehicle &  parts)............   297,662  295,288  293,849  285,640  283,159

                   Retail .......................................   317,306  316,446  315,927  304,018  302,263

                GAFO(4)..........................................       (*)   95,190   94,208   94,957   94,321

   441          Motor vehicle & parts dealers....................    57,884   59,051   59,968   56,716   57,280
   4411,4412     Auto & other motor veh. dealers.................    51,483   52,738   53,671   50,103   50,653

   442          Furniture & home furnishings stores..............     7,854    7,803    7,883    8,021    8,013

   443          Electronics & appliance stores....................    8,953    8,636    8,453    9,096    9,129
   44311,13      Appl., T.V. &  camera...........................       (*)    6,657    6,549    7,260    7,317
   44312         Computer & software stores......................       (*)    1,979    1,904    1,836    1,812

   444          Building material & garden eq. & supplies dealers    23,429   23,323   23,516   24,392   24,680
   4441          Building mat. & supplies dealers................       (*)   19,006   19,336   20,441   20,570

   445          Food & beverage stores...........................    50,547   49,888   49,499   48,693   49,072
   4451          Grocery stores..................................    45,207   44,610   44,199   43,450   43,870
   4453          Beer, wine & liquor stores......................       (*)    3,473    3,475    3,486    3,506

   446          Health & personal care stores....................    21,269   21,409   21,492   20,931   20,726
   44611         Pharmacies & drug stores........................       (*)   17,654   17,738   17,316   17,235

   447          Gasoline stations................................    34,776   34,677   34,490   28,034   26,798

   448          Clothing & clothing accessories stores...........    17,700   17,598   17,337   17,827   17,285
   44811         Men's clothing stores...........................       (*)      (S)      (S)      (S)      (S)
   44812         Women's clothing stores.........................       (*)    2,937    2,909    2,936    2,900
   4482          Shoe stores.....................................       (*)    2,198    2,206    2,178    2,107

   451          Sporting goods, hobby, book & music stores.......     7,450    7,364    7,412    7,222    7,264

   452          General merchandise stores.......................    51,167   50,650   50,022   49,558   49,336
   4521          Department stores (ex. L.D.)....................    15,913   15,733   15,704   15,892   15,851
   4521          Department stores (incl. L.D.)(5)...............       (*)     (NA)     (NA)     (NA)     (NA)
   4529          Other general merchandise stores................       (*)   34,917   34,318   33,666   33,485
   45291          Warehouse clubs & supercenters.................       (*)   30,787   30,426   29,844   29,753
   45299          All other gen. merchandise stores..............       (*)    4,130    3,892    3,822    3,732

   453          Miscellaneous store retailers....................     9,582    9,352    9,637    9,654    9,031

   454          Nonstore retailers...............................    26,695   26,695   26,218   23,874   23,649
   4541          Electronic shopping & mail-order houses.........       (*)   19,183   18,957   16,911   16,765

   722          Food services & drinking places..................    38,240   37,893   37,890   38,338   38,176
 
 
