TABLE 1A.  ESTIMATED MONTHLY SALES FOR RETAIL AND FOOD SERVICES, BY KIND OF BUSINESS--December 2010

Estimates adjusted for seasonal variations and holiday and trading-day differences, but not for price changes.
(Total sales estimates are shown in millions of dollars and are based on data from the Advance Monthly Retail Trade Survey, Monthly Retail Trade Survey, and administrative records.)(2)

                 (In Millions of dollars)


                                                                     2010     2010     2010     2009     2009
   NAICS(1)                    Kind of Business                      Dec(3)   Nov      Oct      Dec      Nov
   Code                                                              (a)      (p)      (r)      (r)      (r)

                Retail & food services, total....................   380,869  378,578  375,460  352,888  352,231

                 Total (excl. motor vehicle &  parts)............   312,789  311,207  308,196  293,258  292,619

                   Retail .......................................   340,675  338,472  335,571  314,733  313,851

                GAFO(4)..........................................       (*)   97,319   96,373   93,369   92,765

   441          Motor vehicle & parts dealers....................    68,080   67,371   67,264   59,630   59,612
   4411,4412     Auto & other motor veh. dealers.................    61,335   60,667   60,585   53,473   53,480

   442          Furniture & home furnishings stores..............     7,647    7,568    7,573    7,539    7,466

   443          Electronics & appliance stores....................    8,441    8,495    8,600    8,288    8,525
   44311,13      Appl., T.V. &  camera...........................       (*)    6,561    6,640    6,556    6,790
   44312         Computer & software stores......................       (*)    1,934    1,960    1,732    1,735

   444          Building material & garden eq. & supplies dealers    25,224   24,734   25,003   22,298   22,247
   4441          Building mat. & supplies dealers................       (*)   19,676   19,701   18,750   18,871

   445          Food & beverage stores...........................    49,669   49,951   49,656   48,381   48,574
   4451          Grocery stores..................................    44,295   44,521   44,245   43,149   43,328
   4453          Beer, wine & liquor stores......................       (*)    3,530    3,532    3,387    3,366

   446          Health & personal care stores....................    22,803   22,445   22,378   21,402   21,536
   44611         Pharmacies & drug stores........................       (*)   18,900   18,756   18,338   18,399

   447          Gasoline stations................................    38,717   38,125   36,726   35,109   35,018

   448          Clothing & clothing accessories stores...........    18,682   18,719   18,346   17,397   17,395
   44811         Men's clothing stores...........................       (*)      (S)      (S)      (S)      (S)
   44812         Women's clothing stores.........................       (*)    3,146    3,104    2,928    2,988
   4482          Shoe stores.....................................       (*)    2,352    2,316    2,225    2,184

   451          Sporting goods, hobby, book & music stores.......     7,583    7,552    7,449    7,077    6,840

   452          General merchandise stores.......................    51,365   51,727   51,172   49,953   49,428
   4521          Department stores (ex. L.D.)....................    15,420   15,725   15,290   15,621   15,500
   4521          Department stores (incl. L.D.)(5)...............       (*)     (NA)     (NA)     (NA)     (NA)
   4529          Other general merchandise stores................       (*)   36,002   35,882   34,332   33,928
   45291          Warehouse clubs & supercenters.................       (*)   31,562   31,451   30,256   29,843
   45299          All other gen. merchandise stores..............       (*)    4,440    4,431    4,076    4,085

   453          Miscellaneous store retailers....................    10,122   10,253   10,460    9,531    9,469

   454          Nonstore retailers...............................    32,342   31,532   30,944   28,128   27,741
   4541          Electronic shopping & mail-order houses.........       (*)   24,025   23,635   20,931   20,644

   722          Food services & drinking places..................    40,194   40,106   39,889   38,155   38,380
   

