"","Table.1.1.6D..Real.Gross.Domestic.Product..Chained..1982..Dollars","NA.","NA..1","NA..2","NA..3","NA..4","NA..5","NA..6","NA..7","NA..8","NA..9","NA..10","NA..11","NA..12","NA..13","NA..14","NA..15","NA..16","NA..17","NA..18","NA..19","NA..20","NA..21","NA..22","NA..23","NA..24","NA..25","NA..26","NA..27","NA..28","NA..29","NA..30","NA..31","NA..32","NA..33","NA..34","NA..35","NA..36","NA..37","NA..38","NA..39","NA..40","NA..41","NA..42","NA..43","NA..44","NA..45","NA..46","NA..47","NA..48","NA..49","NA..50","NA..51","NA..52","NA..53","NA..54","NA..55","NA..56","NA..57","NA..58","NA..59","NA..60","NA..61","NA..62","NA..63","NA..64","NA..65","NA..66","NA..67","NA..68","NA..69","NA..70","NA..71","NA..72","NA..73","NA..74","NA..75","NA..76","NA..77","NA..78","NA..79","NA..80","NA..81","NA..82","NA..83","NA..84","NA..85"
"1","[Billions of chained (1982) dollars]; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1972 To 1992",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published March 19, 2004    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/21/2005 12:02:39 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Line",NA,NA,1972,1972,1972,1972,1973,1973,1973,1973,1974,1974,1974,1974,1975,1975,1975,1975,1976,1976,1976,1976,1977,1977,1977,1977,1978,1978,1978,1978,1979,1979,1979,1979,1980,1980,1980,1980,1981,1981,1981,1981,1982,1982,1982,1982,1983,1983,1983,1983,1984,1984,1984,1984,1985,1985,1985,1985,1986,1986,1986,1986,1987,1987,1987,1987,1988,1988,1988,1988,1989,1989,1989,1989,1990,1990,1990,1990,1991,1991,1991,1991,1992,1992,1992,1992
"7",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
"8","1","    Gross domestic product","A191DX1",2507.6,2566.8,2591.3,2633.7,2700.6,2731.8,2717.3,2743.2,2719.4,2727.3,2700.8,2690.3,2658.1,2677.5,2722.8,2758.6,2820.6,2841.7,2855.3,2875.8,2910.5,2967.6,3020.7,3020.5,3030.2,3149.6,3180.6,3222.5,3228.8,3231.9,3255.1,3264.7,3275.1,3209,3203.6,3263,3329.2,3303.2,3343.2,3301.5,3247.4,3264.8,3252.5,3255.4,3295.5,3369.9,3436.4,3506.7,3575.3,3636.8,3672.1,3702.3,3736.6,3768.4,3827.4,3856.7,3893.6,3909.1,3946.5,3966.4,3992.5,4036.4,4073.1,4144.2,4164.5,4217.4,4239.9,4295.9,4339.5,4367.9,4399,4410.2,4461.2,4472.5,4472.8,4439,4416.4,4445,4466.6,4487.5,4533.9,4577.7,4622.6,4673.5
"9","2","Personal consumption expenditures","A002DX1",1572.8,1602.6,1627.2,1665.1,1695.2,1694.3,1700.3,1695.3,1680.7,1687.4,1695,1670.5,1684.8,1712.3,1736.6,1754.7,1789.6,1805.6,1824.4,1848.4,1870.3,1880.4,1898.4,1926.9,1937.8,1979.2,1987.8,2003.9,2014.4,2013.7,2033.6,2039.4,2036.2,1990.8,2012.4,2039.2,2047.9,2048.4,2056.5,2041,2054.5,2061.7,2077.6,2115.3,2136.1,2178.5,2217.2,2252.2,2271.6,2304.2,2321.9,2352.6,2392.1,2413.8,2459.7,2465.2,2485.8,2512.1,2555.7,2571.9,2573.1,2608.2,2637.5,2644,2688,2707.2,2729.8,2761.9,2772.1,2785.2,2811.7,2824.6,2847.5,2857.1,2868.8,2848.2,2836.1,2860.9,2873.3,2870.8,2918.1,2934.9,2964.1,2998.5
"10","3","  Durable goods","B003DX1",185.5,190,195,205.6,218.7,215.8,213.6,208.2,202.9,204.1,205.4,185.1,189,192.4,204.9,210.9,221.8,222.8,225.3,229.1,238.8,244.2,247.4,252.3,245.6,264.8,261,263,260.3,254.3,261.6,254.8,251.4,223.3,233.9,241.5,248.7,238.6,246.3,228.1,235.9,236.6,238.5,249.9,252.2,271.2,281.9,296.2,307.7,314.8,314.7,325,336.8,340.6,363,349.5,356.8,369.3,402.1,395.9,370.7,386.4,402.6,390.9,410.7,410.9,405.6,416.9,414.4,420.3,429.8,416,434.9,420.5,416,404,392.2,394.2,400.5,393.9,409.3,412.5,421.5,430.2
