"","Table.2.2A..Wage.and.Salary.Disbursements.by.Industry.....................................................................................................................................................................................................","NA.","NA..1","NA..2","NA..3","NA..4","NA..5","NA..6","NA..7","NA..8","NA..9","NA..10","NA..11","NA..12","NA..13","NA..14","NA..15","NA..16","NA..17","NA..18","NA..19","NA..20","NA..21","NA..22","NA..23","NA..24","NA..25","NA..26","NA..27","NA..28","NA..29","NA..30","NA..31","NA..32","NA..33","NA..34","NA..35","NA..36","NA..37","NA..38","NA..39","NA..40","NA..41","NA..42","NA..43","NA..44","NA..45","NA..46","NA..47","NA..48","NA..49","NA..50","NA..51","NA..52","NA..53","NA..54","NA..55","NA..56","NA..57","NA..58","NA..59","NA..60","NA..61","NA..62","NA..63","NA..64","NA..65","NA..66","NA..67","NA..68","NA..69","NA..70","NA..71","NA..72","NA..73"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published January  9, 2004  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/21/2005 2:23:40 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
"7","1","Wage and salary disbursements","A576RC1",50.5,46.2,39.2,30.5,29,33.7,36.7,42,46.1,43,46,49.9,62.1,82.1,105.6,116.9,117.5,112,123.1,135.5,134.8,147.2,171.5,185.7,199.1,197.3,212.2,229,240,241.3,259.8,272.9,280.5,299.4,314.9,337.8,363.8,400.3,429,472,518.3,551.6,584,638.8,708.8,772.8,814.7,899.6,994.1,1120.9,1256,1377.7,1517.5,1593.7,1685,1854.9,1995.7,2114.8,2270.7,2452.9,2596.3,2754,2823,2980.3,3082.7,3232.1,3419.3,3619.6,3877.6,4183.4,4466.3,4829.2
"8","2","  Private industries","A132RC1",45.5,41,33.9,25.5,23.9,27.6,30.2,34.1,38.6,34.8,37.7,41.4,51.9,66.1,79,84,82.6,91.3,105.6,116.5,114,124.6,142.3,152.3,164.7,162.4,175.6,190.2,198.9,197.2,213.8,223.7,228,243,254.8,272.9,293.8,321.9,342.5,375.3,412.7,434.3,457.4,501.2,560,611.8,638.6,710.8,791.6,901.2,1018.7,1116.2,1231.7,1286.2,1359.8,1507,1621.6,1717.9,1848.1,2001.6,2116.2,2236.3,2276.2,2411.1,2496,2625.9,2793.8,2975.2,3209.5,3486.2,3736.9,4054.5
"9","3","    Goods-producing industries","A206RC1",21.5,18.5,14.3,9.9,9.8,12.1,13.5,15.8,18.4,15.3,17.4,19.7,27.5,39.1,49,50.4,45.9,46,54.2,61.1,57.8,64.8,76.4,82.1,89.8,85.8,93.3,100.8,104.4,100.3,109.9,113.4,114,122.2,127.4,136,146.6,161.6,169,184.1,200.4,203.7,209.1,228.2,255.9,276.5,277.1,309.7,346.1,392.6,442.3,472.3,514.5,514.6,527.7,586.1,620.2,636.8,660.1,706.6,732.1,754.2,745.9,764.6,780.2,823.3,862.7,906.3,971.7,1034.8,1086.4,1161.4
"10","4","      Manufacturing","A552RC1",16.1,13.9,10.8,7.7,7.8,9.6,10.8,12.4,14.6,11.8,13.6,15.6,21.7,30.9,40.9,42.9,38.2,36.5,42.5,47.1,44.6,50.3,59.4,64.2,71.3,67.6,73.9,79.5,82.5,78.7,86.9,89.8,89.9,96.8,100.7,107.3,115.7,128.2,134.3,146,157.7,158.4,160.5,175.6,196.6,211.8,211.6,238,266.7,300.1,335.2,356.2,387.6,385.7,400.7,445.4,468.5,480.7,496.9,529.9,547.9,561.3,562.3,583.4,592.3,620.4,647.4,673.6,717.6,755.8,782.2,829.7
