"","Table.5.1..Saving.and.Investment..........................................................................................................................................................................................................................","NA.","NA..1","NA..2","NA..3","NA..4","NA..5","NA..6","NA..7","NA..8","NA..9","NA..10","NA..11","NA..12","NA..13","NA..14","NA..15","NA..16","NA..17","NA..18","NA..19","NA..20","NA..21","NA..22","NA..23","NA..24","NA..25","NA..26","NA..27","NA..28","NA..29","NA..30","NA..31","NA..32","NA..33","NA..34","NA..35","NA..36","NA..37","NA..38","NA..39","NA..40","NA..41","NA..42","NA..43","NA..44","NA..45","NA..46","NA..47","NA..48","NA..49","NA..50","NA..51","NA..52","NA..53","NA..54","NA..55","NA..56","NA..57","NA..58","NA..59","NA..60","NA..61","NA..62","NA..63","NA..64","NA..65","NA..66","NA..67","NA..68","NA..69","NA..70","NA..71","NA..72","NA..73","NA..74","NA..75","NA..76","NA..77"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published December 21, 2005 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/20/2005 11:38:23 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Line",NA,NA,"1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981",1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004
"7","1","    Gross saving","A929RC1","19.3","15","8.3","3.3","3.3","6.4","9.6","11.5","16.2","11.7","13.6","18.5","29.8","39.8","44.9","39.9","29.8","38.4","46.6","58","45.6","60.6","75","74.2","75.1","73.4","88","99.4","99.6","90.8","106.2","111.3","114.3","124.9","133.2","143.4","158.5","168.7","170.5","182","198.3","192.7","208.9","237.5","292","301.5","297","342.1","397.5","478","536.7","549.4","654.7",629.1,609.4,773.4,767.5,733.5,796.8,915,944.7,940.4,964.1,948.2,962.4,1070.7,1184.5,1291.1,1461.1,1598.7,1674.3,1770.5,1657.6,1489.1,1474.1,1572
"8","2","Net saving","W201RC1","9.9","5.8","-0.3","-4.2","-3.9","-1.2","2.1","3.6","7.5","2.8","4.6","9","19","26.4","28.6","20.5","8.7","15.1","20.2","29.9","16.9","31.2","41.8","38.5","37.4","33.5","45.9","53","49.7","38.8","53.2","55.8","57.1","65.7","70.8","78.4","89.1","93.1","89","93.6","100.4","86","93.9","111","152.7","139","109.2","137","167.5","215.7","236.6","206.5","266.6",202.2,165.6,300.9,260.7,202.2,234.9,317.4,300.4,258,238.2,196.3,186,237.1,306.2,373,486.6,568.6,573,582.7,376.1,197.1,142.7,136.8
"9","3","  Net private saving","W202RC1","7.4","4.2","0.9","-3.6","-3.4","-0.2","2.8","4.5","5.2","2.1","4.6","7.4","14.9","33.6","41.2","45.8","36.1","18.6","13.5","25.1","21.1","24.4","29.6","31.8","32.1","31.9","36.7","41","42.2","41.3","46","44.3","50.2","57.9","59.7","71","79.2","83.1","91.4","88.4","83.7","94","115.8","119.8","148.3","143.4","175.8","181.3","198.5","223.5","234.9","251.3","312.3",336.2,333.7,445,413.4,372,367.4,434,409.7,422.7,456.1,493,458.6,438.9,491.1,489,503.3,477.8,419,343.3,324.6,479.2,549.3,549.1
"10","4","    Personal saving","A071RC1","3.8","3.1","2.5","-0.5","-0.7","0.5","2.6","4.3","4.3","1.3","3.2","4.4","11.5","28.6","34.6","38.7","31.1","15.5","7.4","13.4","9.5","15.1","19.5","20.5","21.5","20","19.7","25.8","27","28.3","26.7","26.7","32.2","33.8","33.3","40.8","43","44.4","54.4","52.8","52.5","69.5","80.6","77.2","102.7","113.6","125.6","122.3","125.3","142.5","159.1","201.4","244.3",270.8,233.6,314.8,280,268.4,241.4,272.9,287.1,299.4,324.2,366,284,249.5,250.9,228.4,218.3,276.8,158.6,168.5,132.3,184.7,172.8,151.8
