"","Table.5.8.6B..Real.Gross.Government.Fixed.Investment.by.Type..Chained.Dollars.............................................................................................................................................................................","NA.","NA..1","NA..2","NA..3","NA..4","NA..5","NA..6","NA..7","NA..8","NA..9"
"1","[Billions of chained (2000) dollars]                                                                                                                                                                                                                      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1997 To 2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 04, 2005   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/20/2005 11:45:42 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Line",NA,NA,"1997","1998","1999","2000","2001","2002","2003","2004"
"7","1","      Gross government fixed investment \1\","A782RX1","264.5","273.6","294","304.5","319.3","335.5","342.2","350.1"
"8","2","        Federal","A787RX1","73.3","76.8","81","79.5","81.5","89.5","94.4","101.9"
"9","3","          National defense","A788RX1","45.1","45.6","47.6","48.8","50.8","56.7","61.3","68.5"
"10","4","          Nondefense","A798RX1","28.2","31.2","33.4","30.7","30.7","32.9","33.1","33.4"
"11","5","        State and local","A799RX1","191.1","196.7","212.9","225","237.8","246.1","248.2","248.9"
"12","6","Structures \2\","A760RX1","173.1","172.7","183.3","189.3","198.5","207","208.4","205.4"
"13","7","  Federal","A801RX1","17.3","17","16.3","13.3","12.4","13.5","14.1","12.7"
"14","8","    National defense","A808RX1","6.4","5.5","5.2","5","4.4","4.2","4.7","4.4"
"15","9","      New","A814RX1","6.4","5.5","5.2","5","4.4","4.2","4.7","4.4"
"16","10","        Residential","B816RX1","1.6","1.5","1.4","1.3","1.4","1.4","1.4","1.3"
"17","11","        Industrial","B817RX1","0.5","0.3","0.2","0.3","0.4","0.3","0.6","0.5"
"18","12","        Military facilities \3\","B818RX1","4.3","3.8","3.5","3.4","2.6","2.4","2.7","2.6"
"19","13","      Net purchases of used structures","B819RX1","0","0","0","0","0","0","0","0"
"20","14","    Nondefense","A830RX1","10.9","11.5","11.1","8.3","8","9.3","9.4","8.3"
"21","15","      New","A831RX1","11.3","10.7","10.3","9.5","8.9","9.4","9.7","9.6"
"22","16","        Residential","ZZZZZZ1",".....",".....",".....",".....",".....",".....",".....","....."
"23","17","        Office","W182RX1","2.1","2","1.8","1.6","1.4","1.3","1.7","2"
"24","18","        Commercial","W183RX1","0.8","0.9","0.9","0.8","0.6","0.4","0.8","1.2"
"25","19","        Health care","W184RX1","1.5","1.1","0.9","0.8","0.7","0.8","0.6","0.6"
"26","20","        Educational","W185RX1","0.4","0.3","0.3","0.4","0.5","0.7","0.6","0.6"
"27","21","        Public safety","W186RX1","2.3","2.2","2","1.7","1.2","1.3","0.8","0.4"
"28","22","        Amusement and recreation","W187RX1","0.7","0.7","0.7","0.6","0.4","0.4","0.4","0.2"
"29","23","        Transportation","W188RX1","0.4","0.4","0.4","0.4","0.4","0.6","0.3","0.4"
