"","Table.6.14C..Inventory.Valuation.Adjustment.to.Nonfarm.Incomes.by.Legal.Form.of.Organization.and.by.Industry..............................................................................................................................................","NA.","NA..1","NA..2","NA..3","NA..4","NA..5","NA..6","NA..7","NA..8","NA..9","NA..10","NA..11","NA..12","NA..13","NA..14","NA..15"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1987 To 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published February 20, 2004 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/20/2005 11:50:06 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Line",NA,NA,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
"7","1","      Inventory valuation adjustment to nonfarm incomes","A1830C0",-17050,-23374,-17668,-14010,4807,-3358,-4452,-13174,-19753,2667,15115,21810,474,-15684
"8","2","Corporate business","B058RC0",-16239,-22174,-16348,-12892,4927,-2821,-4021,-12436,-18284,3071,14115,20203,950,-14077
"9","3","  Mining","B1831C0",-327,-33,-308,-480,354,-31,198,-135,-271,-418,45,180,-138,-172
"10","4","  Construction","B1832C0",-251,-237,-87,-14,-25,-169,-386,-274,-86,-152,-18,55,-176,71
"11","5","  Manufacturing","A672RC0",-7524,-11330,-6247,-4369,5816,806,693,-5140,-6453,5370,6776,10353,2479,-9005
"12","6","    Durable goods","A674RC0",-3206,-6658,-3220,-637,2336,1123,1028,-1938,264,5790,5544,7030,2351,-3137
"13","7","    Nondurable goods","A673RC0",-4318,-4672,-3027,-3732,3480,-317,-335,-3202,-6717,-420,1232,3323,128,-5868
"14","8","  Transportation and public utilities","A676RC0",-1486,604,-1165,-1560,1278,45,251,-52,-100,-631,307,434,-381,-656
"15","9","    Transportation","C528RC0",-1143,649,-992,-1496,1156,7,270,-62,-210,-549,118,228,-396,-261
"16","10","    Communications","C529RC0",-344,-86,-113,18,10,109,-56,-68,106,144,108,66,167,77
"17","11","    Electric, gas, and sanitary services","C530RC0",1,41,-60,-82,112,-71,37,78,4,-226,81,140,-152,-472
"18","12","  Wholesale trade","C526RC0",-3824,-6319,-3382,-2071,-220,-567,-2446,-3807,-6159,1013,3900,7611,349,-2117
"19","13","  Retail trade","C527RC0",-2439,-4123,-3951,-3878,-1872,-2608,-2139,-2598,-3338,-1908,3006,1227,-991,-1718
"20","14","  Other","B1833C0",-388,-736,-1208,-520,-404,-297,-192,-430,-1877,-203,99,343,-192,-480
"21","15","Noncorporate business","B179RC0",-811,-1200,-1320,-1118,-120,-537,-431,-738,-1469,-404,1000,1607,-476,-1607
"22","16","  Mining","B1834C0",-24,-3,-55,-98,95,-6,45,-27,-31,-75,12,27,-84,-135
"23","17","  Construction","B1835C0",-37,-35,-9,-2,-4,-23,-62,-42,-15,-30,-9,29,-79,31
"24","18","  Manufacturing","A1836C0",-103,-225,-95,-53,68,15,-48,-117,-167,156,137,545,-36,-770
"25","19","    Durable goods","B1837C0",-67,-100,-60,-8,49,20,-3,-39,17,169,46,243,48,-195
"26","20","    Nondurable goods","B1838C0",-36,-125,-35,-45,19,-5,-45,-78,-184,-13,91,302,-84,-575
"27","21","  Wholesale trade","B1839C0",-90,-135,-89,-53,-7,-17,-65,-110,-232,46,286,525,-7,-187
"28","22","  Retail trade","B1840C0",-392,-617,-629,-682,-206,-365,-246,-324,-455,-296,475,292,-122,-278
"29","23","  Other","B1841C0",-165,-185,-443,-230,-66,-141,-55,-118,-569,-205,99,189,-148,-268
"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Note.  Estimates in this table are based on the 1987 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
